Base,equiv(Base),Reactant1,equiv(Reactant1),Reactant2,equiv(Reactant2),Product,yield,solvent,DielectricConstant,time,T,Additive1,equiv(Additive1),Additive2,equiv(Additive2),MS,MWI,doi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(C)N,0.833333333,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)NC(C)(C)C)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,99,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,C[C@H](N)C1=CC=C(Cl)C=C1,0.833333333,CC1=CC(S(=O)(=O)F)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,1,CC1=CC(S(=O)(=O)N[C@@H](C)C2=CC=C(Cl)C=C2)=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,99,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(C)N,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,CC1=CC(C)=C(S(=O)(=O)NC(C)(C)C)C(C)=C1,98,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,NC12CC3CC(CC(C3)C1)C2,0.833333333,CC1=CC=C(S(=O)(=O)F)C=C1,1,CC1=CC=C(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)C=C1,98,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(C)N,0.833333333,CC1=C(S(=O)(=O)F)C=CC=C1,1,CC1=C(S(=O)(=O)NC(C)(C)C)C=CC=C1,97,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,COC1=CC=C(CN)C=C1,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,COC1=CC=C(CNS(=O)(=O)C2=C(C)C=C(C)C=C2C)C=C1,96,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,0.5,C[C@@H](N)C1=CC=CC2=C1C=CC=C2,0.5,C[C@@H](C1=CC(OS(=O)(=O)F)=CC=C1)N(C)C,1,C[C@@H](NS(=O)(=O)OC1=CC([C@H](C)N(C)C)=CC=C1)C1=CC=CC2=C1C=CC=C2,96,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.025,C[Si](O[Si]([H])(C)C)([H])C,1,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,COC(=O)[C@@H](N)CC1=CNC2=CC=CC=C12,0.833333333,CC1=CC(C)=C(S(=O)(=O)F)C(C)=C1,1,COC(=O)[C@H](CC1=CNC2=CC=CC=C12)NS(=O)(=O)C1=C(C)C=C(C)C=C1C,96,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.333333333,C1=CC=C(CNCC2=CC=CC=C2)C=C1,0.666666667,[H][C@@]12CC[C@@](CS(=O)(=O)F)(C(=O)C1)C2(C)C,1,[H][C@@]12CC[C@@](CS(=O)(=O)N(CC3=CC=CC=C3)CC3=CC=CC=C3)(C(=O)C1)C2(C)C,95,CS(=O)C,46.8,48,25,C1=CC=C2C(=C1)N=NN2O,0.006666667,C[Si](O[Si]([H])(C)C)([H])C,1.333333333,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,2,COC1=CC=C(N)C=C1,2,CC1=CC=C(S(=O)(=O)F)C=C1,1,COC1=CC=C(NS(=O)(=O)C2=CC=C(C)C=C2)C=C1,95,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.01,C[Si](O[Si]([H])(C)C)([H])C,2,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(C)C)C(C)C,1.666666667,CC(C)(N)C1=CC=CC=C1,0.833333333,CC(C)(C)C1=CC=C(S(=O)(=O)F)C=C1,1,CC(C)(C)C1=CC=C(S(=O)(=O)NC(C)(C)C2=CC=CC=C2)C=C1,95,CS(=O)C,46.8,24,25,C1=CC=C2C(=C1)N=NN2O,0.008333333,C[Si](O[Si]([H])(C)C)([H])C,1.666666667,0,0,10.1002/anie.202013976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
