substrate,well,dioxazolone,OH,product,yield (%),predicted
A1-C1,W1277,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1,O=C(NC1=CC=C(C)C=C1)OCC2=CC=CC=C2,76,67.27902222
A1-C2,W1278,CC1=CC=C(C(O2)=NOC2=O)C=C1,CC1=CC=C(CO)C=C1,CC1=CC=C(COC(NC2=CC=C(C)C=C2)=O)C=C1,79,75.06300354
A1-C3,W1279,CC1=CC=C(C(O2)=NOC2=O)C=C1,ClC1=CC=C(CO)C=C1,ClC1=CC=C(COC(NC2=CC=C(C)C=C2)=O)C=C1,82,72.79501343
A1-C4,W1280,CC1=CC=C(C(O2)=NOC2=O)C=C1,ClC1=CC(CO)=CC=C1,ClC1=CC(COC(NC2=CC=C(C)C=C2)=O)=CC=C1,76,79.62458801
A1-C5,W1281,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=CC(Br)=C1,BrC1=CC(COC(NC2=CC=C(C)C=C2)=O)=CC=C1,89,79.33129883
A1-C6,W1282,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1Cl,ClC1=CC=CC=C1COC(NC2=CC=C(C)C=C2)=O,80,76.98027039
A1-C7,W1283,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1I,IC1=CC=CC=C1COC(NC2=CC=C(C)C=C2)=O,85,77.76132965
A1-C8,W1284,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC(Cl)=CC(Cl)=C1,ClC1=CC(COC(NC2=CC=C(C)C=C2)=O)=CC(Cl)=C1,80,77.46376801
A1-C9,W1285,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,CC(C=C1)=CC=C1NC(OCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=O,51,42.9677887
A1-C10,W1286,CC1=CC=C(C(O2)=NOC2=O)C=C1,COC1=CC=C(Br)C=C1CO,COC1=CC=C(Br)C=C1COC(NC2=CC=C(C)C=C2)=O,66,69.94182587
A1-C11,W1287,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC(F)=CC=C1Br,BrC1=CC=C(F)C=C1COC(NC2=CC=C(C)C=C2)=O,77,78.1058197
A1-C12,W1288,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=C([N+]([O-])=O)C=C(OC)C(OC)=C1,COC1=CC([N+]([O-])=O)=C(COC(NC2=CC=C(C)C=C2)=O)C=C1OC,50,37.7713089
A1-C13,W1289,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=C(F)C(F)=C(F)C(F)=C1F,FC1=C(COC(NC2=CC=C(C)C=C2)=O)C(F)=C(F)C(F)=C1F,67,47.53755188
A1-C14,W1290,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC(OC2=CC=CC=C2)=CC=C1,CC(C=C1)=CC=C1NC(OCC2=CC(OC3=CC=CC=C3)=CC=C2)=O,53,48.94376755
A1-C15,W1291,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1,CC1(C)C(C)(C)OB(O1)C2=CC=C(COC(NC3=CC=C(C)C=C3)=O)C=C2,47,37.24920654
A1-C16,W1292,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=C(N2C(C)=NC=C2)C=C1,CC1=NC=CN1C2=CC=C(COC(NC3=CC=C(C)C=C3)=O)C=C2,34,35.11561203
A1-C17,W1293,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=CC=CC=C1N2C=NC=C2,CC(C=C1)=CC=C1NC(OCC2=CC=CC=C2N3C=NC=C3)=O,36,32.46208191
A1-C18,W1294,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCC1=C2C(C=CC=C2)=CC3=CC=CC=C31,CC(C=C1)=CC=C1NC(OCC2=C3C(C=CC=C3)=CC4=CC=CC=C42)=O,39,31.86166763
A1-C19,W1295,CC1=CC=C(C(O2)=NOC2=O)C=C1,CC(O)C1=CC=CC=C1,CC(OC(NC1=CC=C(C)C=C1)=O)C2=CC=CC=C2,73,76.80950165
A1-C20,W1296,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC(C)C1=C(C=CC=C2)C2=CC=C1,CC(OC(NC1=CC=C(C)C=C1)=O)C2=C(C=CC=C3)C3=CC=C2,39,40.60336304
A1-C21,W1297,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC(C1=CC=CC=C1)C2=CC=CC=C2,CC(C=C1)=CC=C1NC(OC(C2=CC=CC=C2)C3=CC=CC=C3)=O,43,44.9697113
A1-C22,W1298,CC1=CC=C(C(O2)=NOC2=O)C=C1,OC(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,COC(C=C1)=CC=C1C(OC(NC2=CC=C(C)C=C2)=O)C3=CC=C(OC)C=C3,35,38.48992538
A1-C23,W1299,CC1=CC=C(C(O2)=NOC2=O)C=C1,CC(O)(C)C1=CC=CC=C1,CC(OC(NC1=CC=C(C)C=C1)=O)(C)C2=CC=CC=C2,51,53.78630447
A1-C24,W1300,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=CC=C1,CC(C=C1)=CC=C1NC(OCCC2=CC=CC=C2)=O,85,74.67946625
A1-C25,W1301,CC1=CC=C(C(O2)=NOC2=O)C=C1,CC(C)(C)C1=CC=C(CCO)C=C1,CC(C)(C)C1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,55,41.31367493
A1-C26,W1302,CC1=CC=C(C(O2)=NOC2=O)C=C1,COC1=CC=C(CCO)C=C1,COC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,50,43.52290344
A1-C27,W1303,CC1=CC=C(C(O2)=NOC2=O)C=C1,FC1=CC=C(CCO)C=C1,FC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,79,74.95580292
A1-C28,W1304,CC1=CC=C(C(O2)=NOC2=O)C=C1,BrC1=CC=C(CCO)C=C1,BrC1=CC=C(CCOC(NC2=CC=C(C)C=C2)=O)C=C1,83,70.50095367
A1-C29,W1305,CC1=CC=C(C(O2)=NOC2=O)C=C1,OCCC1=CC=CC(Br)=C1,BrC1=CC(CCOC(NC2=CC=C(C)C=C2)=O)=CC=C1,84,72.81725311
