substrate,well,dioxazolone,OH,product,yield (%),predicted
A1-B1,W1,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=CC=CC=C1C,O=C(NC1=CC=C(C)C=C1)OC2=CC=CC=C2C,72,73.19750977
A2-B1,W2,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=CC=CC=C1C,O=C(NC1=CC=CC=C1C)OC2=CC=CC=C2C,84,82.94103241
A3-B1,W3,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=CC=CC=C1C,O=C(NC1=CC=CC(C)=C1)OC2=CC=CC=C2C,92,89.32754517
A4-B1,W4,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=CC=CC=C1C,O=C(NC1=CC=C(OC)C=C1)OC2=CC=CC=C2C,84,83.87062073
A5-B1,W5,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=CC=CC=C1C,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=CC=CC=C2C,83,77.84314728
A6-B1,W6,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=CC=CC=C1C,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=CC=CC=C2C,43,57.69403458
A7-B1,W7,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=CC=CC=C1C,O=C(NC1=CC(C)=CC(C)=C1)OC2=CC=CC=C2C,55,55.45478058
A8-B1,W8,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=CC=CC=C1C,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=CC=CC=C3C,78,77.07315826
A9-B1,W9,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=CC=CC=C1C,O=C(NCC1=CC=CC=C1)OC2=C(C)C=CC=C2,55,54.9403038
A10-B1,W10,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=CC=CC=C1C,O=C(NCC1=CC=C(F)C=C1)OC2=C(C)C=CC=C2,46,47.48343658
A11-B1,W11,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=CC=CC=C1C,O=C(NCC1=C(Cl)C=CC=C1)OC2=C(C)C=CC=C2,58,58.68408203
A12-B1,W12,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=CC=CC=C1C,O=C(NCC1=CC(Br)=CC=C1)OC2=C(C)C=CC=C2,77,76.86837769
