substrate,well,dioxazolone,OH,product,yield (%),predicted
A21-B25,W585,O=C(O1)ON=C1C2=CC=C(N(C)C)C=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NC1=CC=C(N(C)C)C=C1)OC2=C(C(C)(C)C)C=CC=C2,38,41.19620132
A22-B25,W689,O=C(O1)ON=C1/C=C/C2=CC=C(C)C=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(N/C=C/C1=CC=C(C)C=C1)OC2=C(C(C)(C)C)C=CC=C2,40,46.7380867
A23-B25,W753,O=C(O1)ON=C1CC2=CC=C(C)C=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NCC1=CC=C(C)C=C1)OC2=C(C(C)(C)C)C=CC=C2,43,44.15753937
A24-B25,W817,O=C(O1)ON=C1CC2=CC=C(Cl)C=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OC2=C(C(C)(C)C)C=CC=C2,41,43.84571838
A25-B25,W921,O=C(O1)ON=C1CC2=CC(C)=CC(C)=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NCC1=CC(C)=CC(C)=C1)OC2=C(C(C)(C)C)C=CC=C2,39,46.56413269
A26-B25,W1005,O=C(O1)ON=C1CC2=CC=CS2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NCC1=CC=CS1)OC2=C(C(C)(C)C)C=CC=C2,37,40.21098328
A27-B25,W1109,O=C(O1)ON=C1C2CCC2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NC1CCC1)OC2=C(C(C)(C)C)C=CC=C2,34,26.34935188
A28-B25,W1193,O=C(O1)ON=C1CCCC2=CC(C=CC3=CC=C4)=C(C3=C4C=C5)C5=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NCCCC1=C(CC=C2CC=C3)C(C2=C3C=C4)=C4C=C1)OC5=C(C(C)(C)C)C=CC=C5,5,7.841376781
A29-B25,W1237,O=C(O1)ON=C1C2=CC=C(S(=O)(N(CCC)CCC)=O)C=C2,OC1=C(C(C)(C)C)C=CC=C1,O=C(NC1=CC=C(S(=O)(N(CCC)CCC)=O)C=C1)OC2=C(C(C)(C)C)C=CC=C2,24,27.72735596
A21-B26,W587,O=C(O1)ON=C1C2=CC=C(N(C)C)C=C2,OC1=CC=CC(OC)=C1,O=C(NC1=CC=C(N(C)C)C=C1)OC2=CC=CC(OC)=C2,72,78.33747101
A22-B26,W691,O=C(O1)ON=C1/C=C/C2=CC=C(C)C=C2,OC1=CC=CC(OC)=C1,O=C(N/C=C/C1=CC=C(C)C=C1)OC2=CC=CC(OC)=C2,68,58.42012787
A23-B26,W755,O=C(O1)ON=C1CC2=CC=C(C)C=C2,OC1=CC=CC(OC)=C1,O=C(NCC1=CC=C(C)C=C1)OC2=CC=CC(OC)=C2,62,59.28040695
A24-B26,W819,O=C(O1)ON=C1CC2=CC=C(Cl)C=C2,OC1=CC=CC(OC)=C1,O=C(NCC1=CC=C(Cl)C=C1)OC2=CC=CC(OC)=C2,64,69.07334137
A25-B26,W923,O=C(O1)ON=C1CC2=CC(C)=CC(C)=C2,OC1=CC=CC(OC)=C1,O=C(NCC1=CC(C)=CC(C)=C1)OC2=CC=CC(OC)=C2,58,61.52701187
A26-B26,W1007,O=C(O1)ON=C1CC2=CC=CS2,OC1=CC=CC(OC)=C1,O=C(NCC1=CC=CS1)OC2=CC=CC(OC)=C2,57,52.49702835
A27-B26,W1111,O=C(O1)ON=C1C2CCC2,OC1=CC=CC(OC)=C1,O=C(NC1CCC1)OC2=CC=CC(OC)=C2,42,45.89697266
A28-B26,W1195,O=C(O1)ON=C1CCCC2=CC(C=CC3=CC=C4)=C(C3=C4C=C5)C5=C2,OC1=CC=CC(OC)=C1,O=C(NCCCC1=C(CC=C2CC=C3)C(C2=C3C=C4)=C4C=C1)OC5=CC=CC(OC)=C5,6,7.766441345
A29-B26,W1239,O=C(O1)ON=C1C2=CC=C(S(=O)(N(CCC)CCC)=O)C=C2,OC1=CC=CC(OC)=C1,O=C(NC1=CC=C(S(=O)(N(CCC)CCC)=O)C=C1)OC2=CC=CC(OC)=C2,30,28.18517494
A21-B27,W588,O=C(O1)ON=C1C2=CC=C(N(C)C)C=C2,OC1=C(N(C)C)C=CC=C1,O=C(NC1=CC=C(N(C)C)C=C1)OC2=C(N(C)C)C=CC=C2,76,76.25821686
A22-B27,W692,O=C(O1)ON=C1/C=C/C2=CC=C(C)C=C2,OC1=C(N(C)C)C=CC=C1,O=C(N/C=C/C1=CC=C(C)C=C1)OC2=C(N(C)C)C=CC=C2,60,64.72760773
A23-B27,W756,O=C(O1)ON=C1CC2=CC=C(C)C=C2,OC1=C(N(C)C)C=CC=C1,O=C(NCC1=CC=C(C)C=C1)OC2=C(N(C)C)C=CC=C2,44,58.38294601
A24-B27,W820,O=C(O1)ON=C1CC2=CC=C(Cl)C=C2,OC1=C(N(C)C)C=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OC2=C(N(C)C)C=CC=C2,54,67.16246796
A25-B27,W924,O=C(O1)ON=C1CC2=CC(C)=CC(C)=C2,OC1=C(N(C)C)C=CC=C1,O=C(NCC1=CC(C)=CC(C)=C1)OC2=C(N(C)C)C=CC=C2,51,62.2749939
