run_id,descriptor,repeat,fold,feature_dim,feature_elapsed_s,invalid_smiles
core_rf_5x5_20260825_150126,ohe,1,1,13,0.028249,0
core_rf_5x5_20260825_150126,ohe,1,2,13,0.003294,0
core_rf_5x5_20260825_150126,ohe,1,3,16,0.005279,0
core_rf_5x5_20260825_150126,ohe,1,4,15,0.003743,0
core_rf_5x5_20260825_150126,ohe,1,5,14,0.006195,0
core_rf_5x5_20260825_150126,ohe,2,1,15,0.004995,0
core_rf_5x5_20260825_150126,ohe,2,2,13,0.003672,0
core_rf_5x5_20260825_150126,ohe,2,3,14,0.006579,0
core_rf_5x5_20260825_150126,ohe,2,4,15,0.002881,0
core_rf_5x5_20260825_150126,ohe,2,5,14,0.003799,0
core_rf_5x5_20260825_150126,ohe,3,1,16,0.003136,0
core_rf_5x5_20260825_150126,ohe,3,2,14,0.00274,0
core_rf_5x5_20260825_150126,ohe,3,3,13,0.003333,0
core_rf_5x5_20260825_150126,ohe,3,4,13,0.00295,0
core_rf_5x5_20260825_150126,ohe,3,5,15,0.00416,0
core_rf_5x5_20260825_150126,ohe,4,1,14,0.00352,0
core_rf_5x5_20260825_150126,ohe,4,2,13,0.002925,0
core_rf_5x5_20260825_150126,ohe,4,3,14,0.002782,0
core_rf_5x5_20260825_150126,ohe,4,4,15,0.003019,0
core_rf_5x5_20260825_150126,ohe,4,5,14,0.002947,0
core_rf_5x5_20260825_150126,ohe,5,1,15,0.002624,0
core_rf_5x5_20260825_150126,ohe,5,2,14,0.003397,0
core_rf_5x5_20260825_150126,ohe,5,3,14,0.002871,0
core_rf_5x5_20260825_150126,ohe,5,4,14,0.002957,0
core_rf_5x5_20260825_150126,ohe,5,5,13,0.00292,0
core_rf_5x5_20260825_150126,morgan,1,1,4096,0.006345,0
core_rf_5x5_20260825_150126,morgan,1,2,4096,0.003127,0
core_rf_5x5_20260825_150126,morgan,1,3,4096,0.00355,0
core_rf_5x5_20260825_150126,morgan,1,4,4096,0.003575,0
core_rf_5x5_20260825_150126,morgan,1,5,4096,0.003896,0
core_rf_5x5_20260825_150126,morgan,2,1,4096,0.004279,0
core_rf_5x5_20260825_150126,morgan,2,2,4096,0.003135,0
core_rf_5x5_20260825_150126,morgan,2,3,4096,0.003751,0
core_rf_5x5_20260825_150126,morgan,2,4,4096,0.003255,0
core_rf_5x5_20260825_150126,morgan,2,5,4096,0.003532,0
core_rf_5x5_20260825_150126,morgan,3,1,4096,0.006186,0
core_rf_5x5_20260825_150126,morgan,3,2,4096,0.00339,0
core_rf_5x5_20260825_150126,morgan,3,3,4096,0.003594,0
core_rf_5x5_20260825_150126,morgan,3,4,4096,0.003475,0
core_rf_5x5_20260825_150126,morgan,3,5,4096,0.005582,0
core_rf_5x5_20260825_150126,morgan,4,1,4096,0.003715,0
core_rf_5x5_20260825_150126,morgan,4,2,4096,0.005047,0
core_rf_5x5_20260825_150126,morgan,4,3,4096,0.003948,0
core_rf_5x5_20260825_150126,morgan,4,4,4096,0.003803,0
core_rf_5x5_20260825_150126,morgan,4,5,4096,0.004639,0
core_rf_5x5_20260825_150126,morgan,5,1,4096,0.004205,0
core_rf_5x5_20260825_150126,morgan,5,2,4096,0.003363,0
core_rf_5x5_20260825_150126,morgan,5,3,4096,0.004051,0
core_rf_5x5_20260825_150126,morgan,5,4,4096,0.00353,0
core_rf_5x5_20260825_150126,morgan,5,5,4096,0.003646,0
core_rf_5x5_20260825_150126,physchem,1,1,434,0.123992,0
core_rf_5x5_20260825_150126,physchem,1,2,434,0.13154,0
core_rf_5x5_20260825_150126,physchem,1,3,434,0.103816,0
core_rf_5x5_20260825_150126,physchem,1,4,434,0.103143,0
core_rf_5x5_20260825_150126,physchem,1,5,434,0.108624,0
core_rf_5x5_20260825_150126,physchem,2,1,434,0.11378,0
core_rf_5x5_20260825_150126,physchem,2,2,434,0.123301,0
core_rf_5x5_20260825_150126,physchem,2,3,434,0.10987,0
core_rf_5x5_20260825_150126,physchem,2,4,434,0.113299,0
core_rf_5x5_20260825_150126,physchem,2,5,434,0.123057,0
core_rf_5x5_20260825_150126,physchem,3,1,434,0.105048,0
core_rf_5x5_20260825_150126,physchem,3,2,434,0.112817,0
core_rf_5x5_20260825_150126,physchem,3,3,434,0.104209,0
core_rf_5x5_20260825_150126,physchem,3,4,434,0.101822,0
core_rf_5x5_20260825_150126,physchem,3,5,434,0.108663,0
core_rf_5x5_20260825_150126,physchem,4,1,434,0.107878,0
core_rf_5x5_20260825_150126,physchem,4,2,434,0.110907,0
core_rf_5x5_20260825_150126,physchem,4,3,434,0.113383,0
core_rf_5x5_20260825_150126,physchem,4,4,434,0.110279,0
core_rf_5x5_20260825_150126,physchem,4,5,434,0.113208,0
core_rf_5x5_20260825_150126,physchem,5,1,434,0.109171,0
core_rf_5x5_20260825_150126,physchem,5,2,434,0.101588,0
core_rf_5x5_20260825_150126,physchem,5,3,434,0.120879,0
core_rf_5x5_20260825_150126,physchem,5,4,434,0.109705,0
core_rf_5x5_20260825_150126,physchem,5,5,434,0.108089,0
