repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,0.431968,19.947026085081607,37.11647764170662,0.7084249709469913,0.5477824281589033
1,2,0.379996,19.668687207327224,38.51804152149512,0.8025044014133782,0.47422445913906874
1,3,0.385092,17.026134896429483,29.97174738175218,0.7611175224942714,0.4645392222536233
1,4,0.382083,17.695554761613845,31.148090512098992,0.8232530945570047,0.4664128452900196
1,5,0.395137,17.60472272527035,35.65943240848089,0.7966160424656522,0.4938496005370382
2,1,0.378744,21.346680178526906,46.03266985183035,0.7670121629912807,0.5340823903885449
2,2,0.382299,17.610339079996532,29.7640480313377,0.874665009953253,0.46052044012915266
2,3,0.378864,16.308409219964627,28.919952665101654,0.8149852676427372,0.5331546665559834
2,4,0.382096,18.15799759555573,31.86861416100818,0.6587285487863753,0.4592565366006013
2,5,0.387058,19.24381799522822,36.6709918857364,0.6592995252682098,0.4932958778193504
3,1,0.385139,16.167088100374325,30.442612323134707,0.745366973264115,0.4350673953677594
3,2,0.388564,21.929572032495994,40.27794471589484,0.7241899340195159,0.433998800098373
3,3,0.379495,18.645697236864457,32.811722306156945,0.7854317127243091,0.5141254750148193
3,4,0.398528,21.565835121743326,47.47932128321662,0.7287400704923247,0.5634960785671724
3,5,0.435819,15.969954267091731,27.87738941270412,0.837926719090206,0.466293817010127
4,1,0.401542,17.991772585038465,33.363352417727654,0.7660618422227455,0.4683229147286101
4,2,0.402749,21.90572228047144,42.644033265027865,0.7327105392074498,0.4499332340698302
4,3,0.39974,16.537220982027996,30.07289414172487,0.7833855770576732,0.4645102859014968
4,4,0.414532,19.788672124703876,40.744175991438745,0.7580116047907762,0.5204895689362342
4,5,0.403927,16.607090622144973,29.716538124517538,0.8284473710143129,0.5548158702362158
5,1,0.401767,16.61997645832102,27.324113714872595,0.866285189529772,0.4929895055655441
5,2,0.406305,18.920346867653898,32.872401503705625,0.7835722877256683,0.4613893135309752
5,3,0.376641,18.51240550854823,33.67859685273246,0.7398592423577937,0.4780132238243553
5,4,0.381948,16.88334078742989,34.243238833679655,0.8080779198967815,0.524772628991526
5,5,0.379951,17.97890707864685,37.95978716691048,0.7846456281432304,0.49705932111615775
