repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,0.462473,14.983899053562403,21.291430529045734,0.618202836627882,0.638200174755121
1,2,0.451071,13.424062337427813,18.66951037243862,0.7026725904132873,0.6851406672085149
1,3,0.462212,12.948304046596123,18.168008689616254,0.7164974072372776,0.6658017336888908
1,4,0.446937,14.143169876961284,20.046273645319705,0.6546541466960283,0.658365991356838
1,5,0.462836,13.9229149078416,19.682176198226337,0.6637255256899433,0.6592035378464367
2,1,0.460793,13.430915445422464,19.264014281299634,0.6620635809271505,0.659064374301864
2,2,0.459394,14.107653629729427,19.3351742359155,0.6905387959286748,0.6759432244715984
2,3,0.440071,13.551945412598814,18.819772358539492,0.680008888814288,0.6456720798640118
2,4,0.459855,13.936341811893012,19.40880049121373,0.6870032299613993,0.6650982603875164
2,5,0.451156,14.174201206362058,19.98911626546966,0.6719607651754849,0.6729698702346777
3,1,0.459615,13.796057108242017,19.48732570131655,0.6722879485705968,0.6465159181190848
3,2,0.452179,14.384715516679805,20.71945997210301,0.6347076112009535,0.6417199461244324
3,3,0.512684,13.034963337367131,18.56833488332297,0.7017752411174738,0.6634450261257474
3,4,0.51701,13.52900105913607,18.625868472775135,0.7063008660915291,0.6799303591049266
3,5,0.46821,14.072269471196787,19.617295839894467,0.6704788398411691,0.6700427280014721
4,1,0.549986,14.395490335452141,20.706467230591045,0.6592605994497345,0.65541889517991
4,2,0.474795,13.33833859517705,18.369046157353274,0.6932120066602889,0.6711434416594554
4,3,0.4868,14.635177238522896,20.337361872260033,0.6250613484974886,0.6364231961921899
4,4,0.498526,13.574978071136101,19.35756910404063,0.6865807308140874,0.6671928182165802
4,5,0.487805,13.9568460857339,19.52317753590296,0.6742699380239562,0.6642487888133163
5,1,0.455853,13.924516846528812,19.100619496954852,0.6933470487753035,0.6640574987929351
5,2,0.459491,13.917408316754832,19.642370741268802,0.6650433894478525,0.649799097065037
5,3,0.452894,13.832388834433292,19.37293481970912,0.6854403419799837,0.6653945156180137
5,4,0.453465,13.150328335241571,18.890375279807444,0.682328123413342,0.6634627468000258
5,5,0.445842,14.362405606257772,20.011301162125363,0.6599313335227803,0.662138429351529
