repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,8.447948,4.1432311434598965,6.0921913046707585,0.9481435989606175,0.8654291923706658
1,2,7.232355,4.178194405755546,6.2013422488352345,0.9516785533553679,0.859119109757297
1,3,7.026633,4.7263584734091415,6.886221589876236,0.9372130032721633,0.8482645903066196
1,4,6.55486,4.442457583415422,6.94213044662073,0.9328295132582766,0.8395102349549372
1,5,6.679242,4.722069004982321,6.971181333869972,0.9336525051898179,0.8449078248263653
2,1,7.098547,4.580817918153765,6.875919218772362,0.9385182444591449,0.8467083700020978
2,2,6.632912,4.822608363009199,7.322053792917115,0.9235990808234859,0.8288579828184407
2,3,6.706164,4.656151279756262,7.0452201120704325,0.9308048257765728,0.8434838067996919
2,4,6.753297,4.180424673769961,6.373442082410858,0.9477949223079748,0.8644201642910455
2,5,7.451117,4.403279902016709,6.809711798214932,0.9384901917404929,0.8597928926251195
3,1,6.741014,4.499370487972116,6.618704167490716,0.9405311533970223,0.8494017955572031
3,2,7.628051,4.503035283653436,7.07592964109417,0.9295346175614386,0.844246169035599
3,3,7.469472,4.483283039189237,6.7360779920616745,0.9398436739547004,0.8476379416730131
3,4,9.586661,4.73911939633579,7.554749362964369,0.924646364511104,0.8429513380756826
3,5,9.602722,4.537387715733108,6.512524910493008,0.9443287920403646,0.8527345587652729
4,1,8.738039,4.877268292293387,7.468769641357839,0.9258825467001536,0.8375112087259129
4,2,8.765983,4.467656158630871,6.672788487847186,0.9373812281117336,0.8501197535878168
4,3,9.407596,4.62555868904832,6.904039120936653,0.9367985990612624,0.846588913837095
4,4,9.296976,4.774096695598443,7.330503530747449,0.9249354754407831,0.837293961375178
4,5,9.001399,4.216115466457899,6.085318312125709,0.9529651925146025,0.8592477905896798
5,1,9.615757,4.3250028299494,6.346529630214023,0.9453477567476165,0.8573271571375194
5,2,9.294539,4.551650794379478,7.239184836656976,0.9311299668894822,0.848142553933109
5,3,9.422684,4.504713297229213,6.68078458415524,0.9401863736279135,0.8472766140169053
5,4,9.023635,4.4070035295122825,6.445993755434408,0.9432270907509501,0.8538968887568853
5,5,9.179186,4.921532884985494,8.107578781224497,0.9119264118555152,0.8357784738956897
