repeat,fold,train_elapsed_s,mae,rmse,r2,kendall_tau
1,1,13.030582,7.7220833248292005,11.534934413074454,0.8348107024612852,0.747948926007187
1,2,11.225145,7.22636022334882,10.865292915312965,0.8576875083207203,0.7681578024347835
1,3,11.369354,7.597294646813095,11.249869876176202,0.8515929211495507,0.7562600194318579
1,4,11.193414,7.535970705535067,11.196991763642623,0.8458999343237642,0.7564563687149122
1,5,11.980147,6.903753844666662,10.308788425306066,0.8706941417494689,0.7800712613917238
2,1,11.720775,7.429257293330082,10.953680258152156,0.8516225994088573,0.7623815825652446
2,2,11.750985,7.317740695523701,10.767843776658754,0.8626662786834778,0.7668895881347351
2,3,11.251607,7.33492277163895,11.325065498437631,0.8396101737064733,0.7538164115798824
2,4,11.630676,7.483636501541441,10.991066905935707,0.8598489908034335,0.7678591706894169
2,5,13.770536,7.443782641186469,10.973367785670353,0.8508229895964724,0.7622137044906406
3,1,12.91662,7.372661826175653,10.91216152941618,0.8504584299578108,0.7608872674214388
3,2,11.432391,7.625559488387744,11.405998900510204,0.8444970787916235,0.7499621063767408
3,3,11.807306,7.518421938234505,11.160990579101798,0.8495020700577447,0.7509185940183617
3,4,12.622665,7.214609493859662,10.783255189502139,0.8558434720839971,0.7708319989230515
3,5,11.489952,6.907389606385161,10.295432509020474,0.8763519529653767,0.7805996345692878
4,1,14.596177,7.499207828474289,11.078396000851411,0.852103907064806,0.7542150617493144
4,2,13.334875,7.336823350560136,10.770139346453021,0.8539297298469299,0.7619643984132746
4,3,12.278823,7.314889502882223,11.168927019865379,0.8506767295482263,0.7695525713875097
4,4,10.808445,7.668387063669158,11.589935335163212,0.8459156893314633,0.7541322814626384
4,5,11.413167,7.405674078346631,10.932231351741782,0.8490147186117433,0.7578886973982266
5,1,10.771165,7.774057542495265,11.173499715037345,0.8512381345155091,0.7537253531263968
5,2,10.641099,7.565305989410851,11.348359415661916,0.8473695861127024,0.7577297112435565
5,3,10.641776,7.267232856454573,10.95316580858955,0.8505609374872144,0.7628738885062535
5,4,10.612573,7.464381943410509,10.950590987233634,0.8568657681483043,0.7634084898674734
5,5,10.679696,7.044235375650112,10.52444982981722,0.8604025752243841,0.7670448115302927
