official_source,source_folder,dataset_id,source_dataset,descriptor,model,split,metric,mean,std,splits,outer_splits,seed,descriptors_npz,relative_json_path
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,train,mae,7.835986000269644,0.2052156661978815,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,train,rmse,14.022780566282723,0.41250194767078624,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,train,r2,0.9643675447579337,0.0035751374835865176,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,train,medae,3.142945327455814,0.1799300862714024,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,train,kendall_tau,0.6990233748483324,0.006242981668807808,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,test,mae,17.721599892321116,1.6729380724059797,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,test,rmse,33.656527143485604,4.8221864408156305,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,test,r2,0.7849379035036215,0.05765674746861982,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,test,medae,7.286830695341707,0.8907279576962943,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,DFT,RF,test,kendall_tau,0.5017736049167911,0.03433705527613825,5,,1000,../../Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/DFT/Bode_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,train,mae,7.99195663534869,0.20080839299571684,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,train,rmse,14.798013471496475,0.3416535217681976,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,train,r2,0.9603636531463419,0.003258226866447531,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,train,medae,2.8081201132441516,0.16368497911347238,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,train,kendall_tau,0.7081376307153029,0.007007479591474841,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,test,mae,18.04338125379474,1.8406673610385011,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,test,rmse,35.122995676523296,5.089889091350841,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,test,r2,0.7681948782217961,0.0522919478029916,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,test,medae,6.609975303113936,0.9413947390613621,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,MFP,RF,test,kendall_tau,0.5095152925758325,0.0357339404447818,5,,1000,../../Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/MFP/Bode_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,train,mae,9.398706638097975,0.3196969378459707,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,train,rmse,18.215403803836573,0.6970149720032511,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,train,r2,0.9400423451498484,0.004401222855351079,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,train,medae,3.1550881358718685,0.16623819119892044,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,train,kendall_tau,0.6915734243766772,0.007688979215468966,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,mae,21.97424643008989,2.7945483963591373,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,rmse,45.86110395137582,7.604913666751052,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,r2,0.6058283436285762,0.0970297253603709,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,medae,7.389319675233489,1.076318561609976,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,OHE,RF,test,kendall_tau,0.4817051582235913,0.03874786224449629,5,,1000,,yieldsmarter/Results/Compare_Complexity/Bode_2023/OHE/Bode_OHE_metrics_summaries_RF.json
