dataset,split_name,holdout_dim,heldout_component,n_rows,component_cols,folds,min_test_size,max_test_size,mean_test_size,leakage_check_scope,status
BH,holdout_0d_random_kfold_seed1000,0d,,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,5,791,791,791.0,random split; component leakage not constrained,schema_summary_only
BH,holdout_1d_Aryl_halide_SMILES,1d,Aryl_halide_SMILES,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,15,262,264,263.6666666666667,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH,holdout_1d_Additive_SMILES,1d,Additive_SMILES,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,22,178,180,179.77272727272728,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH,holdout_1d_Base_SMILES,1d,Base_SMILES,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,3,1317,1320,1318.3333333333333,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH,holdout_1d_Ligand_SMILES,1d,Ligand_SMILES,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,4,986,990,988.75,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH,holdout_2d_Aryl_halide_SMILES__Additive_SMILES,2d,Aryl_halide_SMILES+Additive_SMILES,3955,Aryl_halide_SMILES|Additive_SMILES|Base_SMILES|Ligand_SMILES,330,11,12,11.984848484848484,leave-one-component-pair-out for first two configured component columns; full manifest intentionally not materialized,schema_summary_only
BH2,holdout_0d_random_kfold_seed1000,0d,,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,5,671,672,671.8,random split; component leakage not constrained,schema_summary_only
BH2,holdout_1d_Amine_SMILES,1d,Amine_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,32,48,168,104.96875,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH2,holdout_1d_Bromide_SMILES,1d,Bromide_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,37,24,240,90.78378378378379,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH2,holdout_1d_Ligand_SMILES,1d,Ligand_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,20,71,295,167.95,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH2,holdout_1d_Solvent_SMILES,1d,Solvent_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,3,1108,1129,1119.6666666666667,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH2,holdout_1d_Base_SMILES,1d,Base_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,3,476,1905,1119.6666666666667,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
BH2,holdout_2d_Amine_SMILES__Bromide_SMILES,2d,Amine_SMILES+Bromide_SMILES,3359,Amine_SMILES|Bromide_SMILES|Ligand_SMILES|Solvent_SMILES|Base_SMILES,123,12,49,27.308943089430894,leave-one-component-pair-out for first two configured component columns; full manifest intentionally not materialized,schema_summary_only
SM,holdout_0d_random_kfold_seed1000,0d,,5760,reactant_1_smiles|reactant_2_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles,5,1152,1152,1152.0,random split; component leakage not constrained,schema_summary_only
SM,holdout_1d_reactant_1_smiles,1d,reactant_1_smiles,5760,reactant_1_smiles|reactant_2_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles,7,384,1152,822.8571428571429,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
SM,holdout_1d_reactant_2_smiles,1d,reactant_2_smiles,5760,reactant_1_smiles|reactant_2_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles,4,1152,1536,1440.0,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
SM,holdout_1d_ligand_smiles,1d,ligand_smiles,5760,reactant_1_smiles|reactant_2_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles,12,480,480,480.0,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
SM,holdout_1d_reagent_1_smiles,1d,reagent_1_smiles,5760,reactant_1_smiles|reactant_2_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles,8,720,720,720.0,leave-one-component-value-out; no same component value appears in train by construction,schema_summary_only
