dataset,descriptor,bucket,rows,mae,rmse,prediction_file,status
BH,OHE,<20,8160,5.29616087338752,8.234982599702072,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_oof_predictions_RF.npz,official_oof_predictions
BH,OHE,20-40,4165,6.74933410957891,9.274732781076137,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_oof_predictions_RF.npz,official_oof_predictions
BH,OHE,40-60,3400,6.565817062049282,8.966319412917398,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_oof_predictions_RF.npz,official_oof_predictions
BH,OHE,60-80,2650,8.097159215976093,11.454473242588067,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_oof_predictions_RF.npz,official_oof_predictions
BH,OHE,80-100,1400,8.640756475327574,11.446601431228768,yieldsmarter/Results/Compare_Complexity/Doyle_2018/OHE/Doyle_OHE_oof_predictions_RF.npz,official_oof_predictions
BH,MFP,<20,8160,3.5058839726618003,5.955161583600518,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_oof_predictions_RF.npz,official_oof_predictions
BH,MFP,20-40,4165,4.8945668128053725,6.830378089808699,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_oof_predictions_RF.npz,official_oof_predictions
BH,MFP,40-60,3400,5.344278541876945,7.317417068016568,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_oof_predictions_RF.npz,official_oof_predictions
BH,MFP,60-80,2650,5.559824378115301,8.415131018743162,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_oof_predictions_RF.npz,official_oof_predictions
BH,MFP,80-100,1400,5.50939194609804,7.5347199232338,yieldsmarter/Results/Compare_Complexity/Doyle_2018/MFP/Doyle_MFP_oof_predictions_RF.npz,official_oof_predictions
BH,PhysChem,<20,8160,5.056587134184478,7.8795141760101455,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH,PhysChem,20-40,4165,6.011559319614518,8.125472864174892,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH,PhysChem,40-60,3400,6.4237134051258264,8.46478289954757,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH,PhysChem,60-80,2650,7.800074549162223,10.992072761688984,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH,PhysChem,80-100,1400,7.658431763803067,11.158278625898042,yieldsmarter/Results/Compare_Complexity/Doyle_2018/PhysChem/Doyle_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,<20,10530,10.650749304235742,16.39357291472081,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,20-40,1260,14.65021435329659,18.478702451687813,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,40-60,1035,14.175625860646054,17.83515652146797,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,60-80,1565,20.224062983865675,25.763568305146148,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,80-100,2290,32.68601420127494,37.29329034459874,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,OHE,>100,115,37.89797224839819,43.814149795888625,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,<20,10530,8.614946834519746,13.698641643172037,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,20-40,1260,12.719981439850567,16.498076004637767,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,40-60,1035,13.677838669340895,16.870091441026176,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,60-80,1565,16.316039826632117,21.67957414718874,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,80-100,2290,22.89078964746396,28.542005446156065,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,MFP,>100,115,31.518328139008016,38.87914958022402,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,<20,10530,10.393133937805521,15.398264195997669,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,20-40,1260,12.279419727017833,15.712432035172078,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,40-60,1035,13.626406842671301,16.71500719019869,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,60-80,1565,18.542941445552277,23.455854156424973,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,80-100,2290,26.512358615924484,31.206363443713098,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
BH2,PhysChem,>100,115,35.203643629828555,41.14763451751907,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,<20,9715,6.583085360490549,11.454004541675786,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,20-40,6260,8.157579921151866,11.113092057732747,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,40-60,4880,10.546602035303263,13.27385770448346,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,60-80,4275,12.659841759167822,15.452547786570051,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,80-100,3655,13.334764211275758,16.374349608620115,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,OHE,>100,15,20.30353032651492,20.629204162921816,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/OHE/Suzuki_OHE_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,<20,7485,5.691904002822333,10.703144833712843,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,20-40,4725,7.629135734348585,10.237158403530826,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,40-60,3925,9.041926525346943,11.828146157474567,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,60-80,3615,8.750052163833475,11.579472446424871,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,80-100,3335,7.49853681811116,11.14359416650209,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,MFP,>100,15,9.030371583246627,9.13296097404195,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/MFP/Suzuki_MFP_oof_predictions_RF.npz,official_oof_predictions
SM,PhysChem,<20,7485,5.855526021563486,10.878807867589119,yieldsmarter/Results/Compare_Complexity/Suzuki_2018/PhysChem/Suzuki_PhysChem_oof_predictions_RF.npz,official_oof_predictions
