dataset,descriptor,threshold,true_high,pred_high,tp,fp,fn,precision,recall,status
BH,OHE,80,1400,846,763,83,637,0.9018912529550828,0.545,official_oof_predictions
BH,MFP,80,1400,954,867,87,533,0.9088050314465409,0.6192857142857143,official_oof_predictions
BH,PhysChem,80,1400,819,764,55,636,0.9328449328449329,0.5457142857142857,official_oof_predictions
BH2,OHE,80,2405,213,149,64,2256,0.6995305164319249,0.06195426195426196,official_oof_predictions
BH2,MFP,80,2405,614,552,62,1853,0.8990228013029316,0.22952182952182953,official_oof_predictions
BH2,PhysChem,80,2405,380,337,43,2068,0.8868421052631579,0.14012474012474013,official_oof_predictions
SM,OHE,80,3670,1656,1422,234,2248,0.8586956521739131,0.3874659400544959,official_oof_predictions
SM,MFP,80,3350,2657,2344,313,1006,0.8821979676326684,0.6997014925373134,official_oof_predictions
SM,PhysChem,80,3350,2535,2273,262,1077,0.8966469428007889,0.6785074626865671,official_oof_predictions
SLAP,OHE,80,525,629,416,213,109,0.6613672496025437,0.7923809523809524,official_oof_predictions
SLAP,MFP,80,525,597,449,148,76,0.7520938023450586,0.8552380952380952,official_oof_predictions
SLAP,PhysChem,80,525,592,456,136,69,0.7702702702702703,0.8685714285714285,official_oof_predictions
