dataset,bucket,rows,fraction,target_min,target_max,target_mean
BH,<20,1632,0.4126422250316056,0.0,99.99999,33.08525887932819
BH,20-40,833,0.21061946902654868,0.0,99.99999,33.08525887932819
BH,40-60,680,0.17193426042983564,0.0,99.99999,33.08525887932819
BH,60-80,530,0.13400758533501897,0.0,99.99999,33.08525887932819
BH,80-100,280,0.07079646017699115,0.0,99.99999,33.08525887932819
BH,>100,0,0.0,0.0,99.99999,33.08525887932819
BH2,<20,2106,0.6269723131884489,0.0,101.0,26.240988010248586
BH2,20-40,252,0.0750223280738315,0.0,101.0,26.240988010248586
BH2,40-60,207,0.061625483774933015,0.0,101.0,26.240988010248586
BH2,60-80,313,0.0931824947901161,0.0,101.0,26.240988010248586
BH2,80-100,458,0.13635010419767787,0.0,101.0,26.240988010248586
BH2,>100,23,0.006847275974992557,0.0,101.0,26.240988010248586
SM,<20,1943,0.3373263888888889,0.0,100.0,40.10945768153987
SM,20-40,1252,0.21736111111111112,0.0,100.0,40.10945768153987
SM,40-60,976,0.16944444444444445,0.0,100.0,40.10945768153987
SM,60-80,855,0.1484375,0.0,100.0,40.10945768153987
SM,80-100,731,0.12690972222222222,0.0,100.0,40.10945768153987
SM,>100,3,0.0005208333333333333,0.0,100.0,40.10945768153987
SLAP,<20,818,0.711304347826087,0.0,630.473598,31.514673429291307
SLAP,20-40,111,0.09652173913043478,0.0,630.473598,31.514673429291307
SLAP,40-60,83,0.07217391304347825,0.0,630.473598,31.514673429291307
SLAP,60-80,33,0.028695652173913042,0.0,630.473598,31.514673429291307
SLAP,80-100,18,0.01565217391304348,0.0,630.473598,31.514673429291307
SLAP,>100,87,0.07565217391304348,0.0,630.473598,31.514673429291307
