check,value
sm_csv_shape,5760x6
two_sm_csv_shape,5760x7
two_sm_extra_columns,catalyst_smiles
shared_columns_equal,True
official_y_true_sequence_equal_generated_kfold,True
official_fold_id_equal_generated_kfold,True
sm_csv_sha256,111da4e67305f0e00ae7551a0252b78aee4438d434dd5f20e80917e2d0ab596a
two_sm_csv_sha256,feb007f46b94948041e897fca3bf4e7a2ee5bab8dd513af846eab40c028ed8e0
float64_variant_mae,7.839955389107668
float64_variant_rmse,11.165822306155633
float64_variant_r2,0.8416078818262736
float64_variant_kendall_tau,0.7513819976006316
float64_variant_prediction_max_abs_diff_vs_official,44.543776579883286
two_sm_catalyst_variant_columns,reactant_1_smiles|reactant_2_smiles|catalyst_smiles|ligand_smiles|reagent_1_smiles|solvent_1_smiles
two_sm_catalyst_variant_mae,7.869201504815484
two_sm_catalyst_variant_rmse,11.182777194337973
two_sm_catalyst_variant_r2,0.8411250524236284
two_sm_catalyst_variant_kendall_tau,0.750876009438253
