paper_target_id,dataset,descriptor,model,split,metric,paper_value,reproduced_value,abs_diff,rel_diff,status,explanation
si_table_s3_rf_cv,smoke_local_yonod,physchem,rf,5x5_repeated_cv,mae,,0.33227828955219985,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,physchem,rf,5x5_repeated_cv,rmse,,0.36869473294843536,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,physchem,rf,5x5_repeated_cv,r2,,-86.42982152162287,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,physchem,rf,5x5_repeated_cv,kendall_tau,,0.12,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,morgan,rf,5x5_repeated_cv,mae,,0.35596457741979975,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,morgan,rf,5x5_repeated_cv,rmse,,0.38180599038785074,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,morgan,rf,5x5_repeated_cv,r2,,-75.95820668554329,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,morgan,rf,5x5_repeated_cv,kendall_tau,,0.12,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,ohe,rf,5x5_repeated_cv,mae,,0.39651660957569956,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,ohe,rf,5x5_repeated_cv,rmse,,0.42518935940079955,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,ohe,rf,5x5_repeated_cv,r2,,-132.31391377371685,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
si_table_s3_rf_cv,smoke_local_yonod,ohe,rf,5x5_repeated_cv,kendall_tau,,-0.125,,,smoke_validation_only,Pipeline shape validated on local smoke data; official VJETHBKM data and Table S3 values are not yet materialized.
