descriptor,model,bucket,count,mae,rmse
morgan,rf,"[0,0.2)",20,0.4108773103962501,0.4229878170942624
morgan,rf,"[0.2,0.4)",0,,
morgan,rf,"[0.4,0.6)",10,0.10666551330049948,0.13165974350197232
morgan,rf,"[0.6,0.8)",10,0.3528406297049993,0.3551073459393638
morgan,rf,"[0.8,1.0]",10,0.4985621233009997,0.5011036842213228
ohe,rf,"[0,0.2)",20,0.4376717000912498,0.4559936282308369
ohe,rf,"[0.2,0.4)",0,,
ohe,rf,"[0.4,0.6)",10,0.12289146210499927,0.13817791850028546
ohe,rf,"[0.6,0.8)",10,0.3862095214954995,0.3901232500586987
ohe,rf,"[0.8,1.0]",10,0.5981386640954995,0.6003273879964784
physchem,rf,"[0,0.2)",20,0.38873198912350027,0.40705868099399223
physchem,rf,"[0.2,0.4)",0,,
physchem,rf,"[0.4,0.6)",10,0.08727460238249989,0.09936967171224245
physchem,rf,"[0.6,0.8)",10,0.2577535466914994,0.2680203062033747
physchem,rf,"[0.8,1.0]",10,0.5388993204399994,0.5475429172920807
