Product,True_Yield,DFT_Yield,Amine_SMILES,Bromide_SMILES,Catalysts_SMILES,Base_SMILES,Solvent_SMILES
k,72,48,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,CC(C)(C)[P](C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2,[Na+].[O-]C(C)(C)C,Cc1ccccc1
k,21,35,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=CC=NN7C8=C(C9=CC=CC=C9)N(C%10=CC=CC=C%10)N=C8C%11=CC=CC=C%11,[Na+].[O-]C(C)(C)C,O1CCOCC1
k,16,52,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,O1CCOCC1
k,18,38,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,[Na+].[O-]C(C)(C)C,O1CCOCC1
k,30,43,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4OC,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
k,45,60,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC=C7C8=C(C(C)C)C=C(C(C)C)C(C9=C(F)C(F)=C(CCCC)C(F)=C9F)=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
k,100,74,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
k,95,83,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
k,91,102,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,65,90,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
k,2,84,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,N\2=C1\N(CCCCC1)CCC/2,CCC(C)(C)O
k,89,82,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
k,16,51,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,O1CCOCC1
k,36,37,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
k,95,93,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,87,86,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
k,99,91,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,90,79,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,18,31,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
k,83,19,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
k,31,49,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
k,96,82,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,99,81,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
k,17,36,COc1cc(C)c(c(C)c1)N,Brc1cc([N+](=O)[O-])ccc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
