Amine,Bromide,Catalysts,Solvent,Base,product,Yield,predict,ours,AE_predict,AE_ours,Amine_SMILES,Bromide_SMILES,Catalysts_SMILES,Base_SMILES,Solvent_SMILES
31,27,12,2,b,a,22,0,2.93161269,22,19.06838731,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,2,2,b,a,11,9,28.70887455,2,17.70887455,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,20,2,b,a,3,1,2.680765632,2,0.319234369,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,21,2,b,a,3,1,3.012579995,2,0.012579995,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,3,2,b,a,1,1,2.870322284,0,1.870322284,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,4,2,b,a,1,3,1.852815007,2,0.852815007,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,7,2,b,a,85,33,54.73,52,30.27,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,8,1,b,a,96,28,51.48,68,44.52,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
31,27,9,2,b,a,78,28,46.94,50,31.06,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
31,27,9,3,b,a,98,31,71.82,67,26.18,NCC1CCCCC1,Brc1cnc(N2CCCCC2)nc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
