ID,Amine_SMILES
1,C1CNCCC1
2,C1COCCN1
3,CC(=O)NC
4,CC(C)(N)C
5,CCCCNCCCC
6,CNC(C)(C)C
7,CNCc1ccccc1
8,CNc1ccccc1
9,C[C@@H](c1ccccc1)N
10,C[C@H]1N[C@H](CCC1)C
11,Cn1nc(N)cc1
12,Cn1ncc(N)c1
13,Cn1nccc1N
14,N1CCCC1
15,N=C(c1ccccc1)c1ccccc1
16,NCC1CCN(C)CC1
17,N[C@H]1CC[C@@H](CC1)C
18,Nc1ccc(C)cc1
19,Nc1ccc(OC)cc1
20,Nc1ccccc1
21,Nc1cccnc1
22,Nc1ncccc1
23,Nc1ncco1
24,O=C(N)Cc1ccccc1
25,O=C(N)c1ccccc1
26,[C@H]12CCNC[C@H]1CCCC2
27,[C@H]12N[C@H](CC1)CCC2
28,[nH]1cccc1
29,[nH]1cccn1
30,c1(CNCc2ccccc2)ccccc1
31,c12cc[nH]c1cccc2
32,c1cnc[nH]1
