ID,Bromide_SMILES
1,Brc1c(C(C)C)cc(C(C)C)cc1C(C)C
2,Brc1c(C(F)(F)F)cccc1
3,Brc1c(C)cc(OC)cc1
4,Brc1c(C)n(C)nc1C
5,Brc1c(CC)cccc1CC
6,Brc1c(OC)cccc1
7,Brc1c(OC)cccc1OC
8,Brc1c2c(cccc2)ccc1
9,Brc1c2c(cccc2)ncc1
10,Brc1c2c(n(C)nc2)ccc1
11,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1
12,Brc1cc(OC)c(OC)c(OC)c1
13,Brc1cc(O[Si](C(C)C)(C(C)C)C(C)C)ccc1
14,Brc1cc(SC)ccc1
15,Brc1cc2c(nc(NC(=O)C(C)(C)C)nc2NC(=O)C(C)(C)C)nc1
16,Brc1cc2ccccc2nc1
17,Brc1cc2cccnc2cc1
18,Brc1ccc(C(F)(F)F)cc1
19,Brc1ccc2c(c3ccccc3n2CC)c1
20,Brc1ccc2c(cccc2)c1
21,Brc1ccccc1n1nccc1
22,Brc1cccs1
23,Brc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)nc1
24,Brc1cn(cn1)C
25,Brc1cnc(C)cc1
26,Brc1cnc(C)nc1
27,Brc1cnc(N2CCCCC2)nc1
28,Brc1cnc2n1cccc2
29,Brc1cncnc1
30,Brc1csc(Oc2ccccc2)n1
31,Brc1cscc1C
32,Brc1cscn1
33,Brc1nc(OC)ccc1
34,Brc1ncccc1
35,C1=CC(=CC(=C1)Br)[N+](=O)[O-]
36,Cn1cc(Br)ccc1=O
37,O=c1n(C)cnc2c1cc(Br)cc2
