Index,Aldehyde_2
1,O=Cc1ccc(Cl)cc1
2,CC(=O)Nc1ccc(C=O)cc1
3,N#Cc1cc(C=O)ccc1F
4,O=Cc1ccc(CN2CCOCC2)cc1
5,O=Cc1cccnc1
6,O=Cc1cnc(-c2ccccc2)nc1
7,Cn1c(C=O)nc2ccccc21
8,Cn1cc(C=O)cn1
9,CCC(C=O)CC
10,O=CC1CCCC1
11,CCCC(C)C=O
12,O=CC1CCCCC1
13,Cc1cccc(C=O)c1
14,O=Cc1ccc(Cl)c(Cl)c1
15,O=Cc1ccc(F)cc1Cl
16,COc1ccc(C=O)cc1Br
17,O=Cc1cocn1
18,O=Cc1nccs1
19,O=CC1CC1
20,O=CCC(F)(F)F
21,O=Cc1ccc(C(F)(F)F)cc1
22,COc1cccc(C=O)c1
23,N#Cc1ccccc1C=O
24,O=Cc1cc(Cl)cc(Cl)c1
25,CC(C)(C)CC=O
26,O=CC1CCC1
27,O=CC1CCOCC1
28,O=Cc1ccccc1O
29,O=Cc1ccc(N2CCCC2)cc1
30,O=Cc1ccc(F)cc1
31,CC(=O)c1ccc(C=O)cc1
32,O=Cc1ccc(O)cc1
33,O=Cc1ccncc1
34,Cc1ccc(C=O)cn1
35,Cc1cc(C=O)no1
36,CCC(C)C=O
37,O=CC1CCOC1
38,COc1ccc(C=O)cc1
39,N#Cc1ccc(C=O)cc1
40,Cc1ccc(C=O)cc1
41,O=Cc1ccc(-n2cncn2)cc1
42,Cc1c(C=O)cnn1-c1ccccc1
43,CC(C)(C)c1ccc(C=O)cc1
44,O=Cc1ccc(-c2ccccn2)cc1
45,Cc1nn(-c2ccccc2)cc1C=O
46,COC(=O)c1ccc(C=O)cc1
47,Cn1nc2ccccc2c1C=O
48,O=Cc1ccc2ccccc2c1
49,CC(C)(C)OC(=O)n1cnc(C=O)c1
50,Cc1ccc(C=O)c(O)c1
51,Cn1cnc2cc(C=O)ccc21
52,O=Cc1ccc2c(c1)OCCO2
53,CCCn1nc(C)cc1C=O
54,CC(C)(C)c1cccc(C=O)c1O
55,Cc1nc(N(C)C)sc1C=O
56,O=Cc1cc(O)c(O)c(Cl)c1
57,O=Cc1cc(F)c(O)c(F)c1
58,CN1CCCCC(C=O)C1=O
59,O=CC1CCN(c2ccccc2)C1
60,COC(=O)N1C=C(C=O)OCC1
