Index,Aldehyde_1,bifunctional_reagent,Aldehyde_2,Yield
1,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1ccc(Cl)cc1,76.41316492
2,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CC(=O)Nc1ccc(C=O)cc1,33.28814007
3,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,N#Cc1cc(C=O)ccc1F,61.63542887
4,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1ccc(CN2CCOCC2)cc1,7.514262016
5,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1cccnc1,4.16621508
6,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1cnc(-c2ccccc2)nc1,9.021123579
7,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,Cn1c(C=O)nc2ccccc21,1.652978375
8,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,Cn1cc(C=O)cn1,8.429116422
9,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CCC(C=O)CC,3.355211418
10,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=CC1CCCC1,25.01153801
11,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CCCC(C)C=O,1.777042706
12,CC(C)(C)c1ccc(C=O)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=CC1CCCCC1,86.57085648
13,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1ccc(Cl)cc1,80.45026861
14,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CC(=O)Nc1ccc(C=O)cc1,26.29489037
15,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,N#Cc1cc(C=O)ccc1F,17.49668078
16,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1ccc(CN2CCOCC2)cc1,2.22071599
17,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1cccnc1,0.0
18,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1cnc(-c2ccccc2)nc1,2.680461823
19,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,Cn1c(C=O)nc2ccccc21,0.556169498
20,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,Cn1cc(C=O)cn1,12.38409287
21,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CCC(C=O)CC,39.56423533
22,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=CC1CCCC1,22.401954
23,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CCCC(C)C=O,6.88140364
24,O=Cc1ccc(Cl)cc1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=CC1CCCCC1,46.3831135
25,O=Cc1cccc(Br)c1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,O=Cc1ccc(Cl)cc1,55.97476712
26,O=Cc1cccc(Br)c1,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,CC(=O)Nc1ccc(C=O)cc1,13.36380623
