ID,Aldehyde_2
1,CC(=O)Nc1ccc(C=O)cc1
2,CC(=O)c1ccc(C=O)cc1
3,CC(C)(C)CC=O
4,CC(C)(C)OC(=O)n1cnc(C=O)c1
5,CC(C)(C)c1ccc(C=O)cc1
6,CC(C)(C)c1cccc(C=O)c1O
7,CCC(C)C=O
8,CCC(C=O)CC
9,CCCC(C)C=O
10,CCCn1nc(C)cc1C=O
11,CN1CCCCC(C=O)C1=O
12,COC(=O)N1C=C(C=O)OCC1
13,COC(=O)c1ccc(C=O)cc1
14,COc1ccc(C=O)cc1
15,COc1ccc(C=O)cc1Br
16,COc1cccc(C=O)c1
17,Cc1c(C=O)cnn1-c1ccccc1
18,Cc1cc(C=O)no1
19,Cc1ccc(C=O)c(O)c1
20,Cc1ccc(C=O)cc1
21,Cc1ccc(C=O)cn1
22,Cc1cccc(C=O)c1
23,Cc1nc(N(C)C)sc1C=O
24,Cc1nn(-c2ccccc2)cc1C=O
25,Cn1c(C=O)nc2ccccc21
26,Cn1cc(C=O)cn1
27,Cn1cnc2cc(C=O)ccc21
28,Cn1nc2ccccc2c1C=O
29,N#Cc1cc(C=O)ccc1F
30,N#Cc1ccc(C=O)cc1
31,N#Cc1ccccc1C=O
32,O=CC1CC1
33,O=CC1CCC1
34,O=CC1CCCC1
35,O=CC1CCCCC1
36,O=CC1CCN(c2ccccc2)C1
37,O=CC1CCOC1
38,O=CC1CCOCC1
39,O=CCC(F)(F)F
40,O=Cc1cc(Cl)cc(Cl)c1
41,O=Cc1cc(F)c(O)c(F)c1
42,O=Cc1cc(O)c(O)c(Cl)c1
43,O=Cc1ccc(-c2ccccn2)cc1
44,O=Cc1ccc(-n2cncn2)cc1
45,O=Cc1ccc(C(F)(F)F)cc1
46,O=Cc1ccc(CN2CCOCC2)cc1
47,O=Cc1ccc(Cl)c(Cl)c1
48,O=Cc1ccc(Cl)cc1
49,O=Cc1ccc(F)cc1
50,O=Cc1ccc(F)cc1Cl
51,O=Cc1ccc(N2CCCC2)cc1
52,O=Cc1ccc(O)cc1
53,O=Cc1ccc2c(c1)OCCO2
54,O=Cc1ccc2ccccc2c1
55,O=Cc1ccccc1O
56,O=Cc1cccnc1
57,O=Cc1ccncc1
58,O=Cc1cnc(-c2ccccc2)nc1
59,O=Cc1cocn1
60,O=Cc1nccs1
