mol_name,E_HOMO,E_LUMO,V10_frequency,V10_intensity,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,chelpg_max,chelpg_mean,chelpg_min,chelpg_std,electronegativity,gap,hardness,mulliken_max,mulliken_mean,mulliken_min,mulliken_std,smiles
Aldehyde_1_26,-6.9925,-1.0293,588.87,3.8,0.149714,0.091456,205.44,0.01,238.52,0.01,251.64,4.48,266.58,0.26,287.49,0.06,350.41,1.08,378.07,0.02,393.75,1.15,0.614835,1.3299546649155522e-18,-0.555032,0.2327419300686255,4.0108999999999995,5.9632,2.9816,0.155535,9.251858538542971e-19,-0.378608,0.14495423436167468,
Aldehyde_1_22,-6.7695,-0.6327,456.32,4.6,0.108897,0.030157,36.27,2.76,114.59,1.93,120.84,0.13,181.72,2.91,237.69,0.4,283.8,8.9,305.76,0.56,379.94,2.42,0.593999,-6.666666666309042e-08,-0.549673,0.2099682908549458,3.7011,6.1368,3.0684,0.231728,3.333333333116935e-08,-0.366364,0.1387738545427561,
Aldehyde_1_1,-7.0482,-1.8382,287.36,0.07,0.080839,0.014568,47.99,0.79,67.98,0.97,148.85,6.19,156.46,3.7,218.85,0.97,250.16,2.26,251.82,2.52,271.33,2.47,0.688736,-6.666666666682007e-08,-0.524655,0.2599110569090542,4.4432,5.209999999999999,2.6049999999999995,0.188791,-3.333333333267278e-08,-0.381941,0.16903072701332744,
Aldehyde_1_17,-6.9237,-1.0048,902.6,13.59,0.239068,0.083051,117.31,9.62,224.75,7.49,455.84,10.35,466.73,4.09,595.95,2.26,655.04,9.54,751.06,8.29,837.14,3.07,0.619879,3.3333333333829265e-08,-0.535638,0.17857571052299345,3.96425,5.918900000000001,2.9594500000000004,0.13074,6.666666666592381e-08,-0.32546,0.09964179742489779,
Aldehyde_1_11,-7.3195,-2.7136,418.37,0.05,0.115517,0.016407,50.16,0.71,77.59,4.38,150.81,3.98,156.13,1.51,157.15,2.23,247.21,13.64,277.55,3.87,331.24,4.77,0.652558,-3.3333333334002735e-08,-0.50629,0.2276860516499954,5.01655,4.6059,2.30295,0.220023,-3.333333333475445e-08,-0.36274,0.14244360993994426,
Aldehyde_1_29,-6.9087,-0.9737,702.36,18.54,0.127047,0.039825,121.12,3.24,220.09,0.02,229.57,0.0,273.15,3.47,346.04,0.01,406.61,2.03,445.65,0.08,514.93,0.7,0.370043,3.333333333415904e-08,-0.451478,0.11235285817259201,3.9412,5.935,2.9675,0.107968,-3.3333333333829265e-08,-0.265646,0.1095330993131153,
Aldehyde_1_27,-7.0195,-0.8718,519.19,15.45,0.236306,0.055933,67.72,7.12,90.1,2.41,216.61,1.64,227.9,0.15,257.26,0.63,341.02,0.28,390.22,0.52,440.8,0.42,0.559263,-6.666666666580815e-08,-0.526994,0.2332570096824432,3.94565,6.1476999999999995,3.0738499999999997,0.119227,0.0,-0.334476,0.11709003595730406,
Aldehyde_1_30,-7.0452,-0.9373,615.43,12.66,0.14228,0.038932,68.2,7.93,94.45,4.43,174.53,1.35,243.64,5.42,282.18,8.45,343.41,0.32,404.77,3.82,515.9,0.31,0.311358,1.7347234759768072e-19,-0.433915,0.1508101875084864,3.99125,6.107900000000001,3.0539500000000004,0.114205,6.666666666799824e-08,-0.325839,0.11428989978119415,
Aldehyde_2_19,-7.0402,-0.7745,944.22,85.96,0.536458,0.101012,131.1,4.95,290.92,8.13,331.39,1.9,502.61,10.21,781.49,1.18,822.36,5.83,852.97,2.0,885.27,12.12,0.359804,-2.0816681711721684e-18,-0.453774,0.14210380626608968,3.9073499999999997,6.2657,3.13285,0.120495,-5.728201477965082e-19,-0.2686,0.09127556890972033,
Aldehyde_1_31,-6.7752,-1.0969,207.0,2.36,0.031415,0.005025,12.16,0.07,19.74,0.39,28.29,1.17,45.34,1.2,90.97,4.15,114.87,2.44,131.38,0.73,137.6,0.18,0.687138,-0.012908833333333331,-0.577352,0.24706280609664938,3.93605,5.6783,2.83915,0.379938,-0.019753600000000003,-0.397783,0.17864042357254786,
Aldehyde_1_32,-7.0689,-1.8642,497.05,17.7,0.168022,0.027615,30.77,0.21,94.99,1.53,179.67,9.46,196.43,6.54,311.76,0.5,347.98,1.72,411.72,1.11,422.56,0.16,0.421206,6.666666666864515e-08,-0.563529,0.20761786548416852,4.46655,5.2047,2.60235,0.156055,3.333333333221019e-08,-0.353051,0.12436592750691013,
Aldehyde_1_19,-6.9667,-1.752,597.52,25.7,0.123761,0.030719,53.2,3.61,146.81,0.1,152.27,0.0,217.93,5.04,365.47,0.76,412.82,0.0,430.6,0.3,465.1,0.75,0.628122,3.333333333336667e-08,-0.514566,0.1958266240347847,4.35935,5.214700000000001,2.6073500000000003,0.222819,-6.666666666534556e-08,-0.360884,0.12867349261598288,
Aldehyde_1_10,-7.3834,-2.5104,431.6,3.27,0.031756,0.014328,95.79,6.71,155.51,4.29,157.61,2.09,189.76,0.77,205.44,0.13,252.44,5.17,352.23,2.61,398.62,8.02,0.360425,-1.4456028966473392e-19,-0.42074,0.12015563011189366,4.9469,4.872999999999999,2.4364999999999997,0.227967,-4.625929269271486e-19,-0.264589,0.1235971931932169,
Aldehyde_1_15,-6.8785,-0.8312,765.85,10.29,0.152634,0.059771,99.05,8.46,188.01,1.87,335.5,4.95,414.51,1.53,452.42,5.03,493.04,7.74,511.07,5.97,694.62,8.13,0.57293,2.312964634635743e-19,-0.520124,0.1841524856858464,3.85485,6.0473,3.02365,0.151765,6.666666666696464e-08,-0.311688,0.10456310551872272,
Aldehyde_1_21,-6.6762,-0.4978,457.87,2.7,0.103783,0.030794,110.34,2.43,152.19,0.46,183.44,1.55,230.3,0.0,264.17,2.72,301.02,1.07,359.89,0.53,444.38,0.0,0.630052,-3.333333333409512e-08,-0.542257,0.18820440274495454,3.5869999999999997,6.1784,3.0892,0.227961,6.66666666651504e-08,-0.356197,0.13977374965992506,
Aldehyde_1_23,-6.6663,-2.1167,394.83,3.33,0.089921,0.009463,53.88,1.03,66.67,0.29,97.61,1.18,133.82,6.41,199.04,5.51,224.68,3.49,277.03,2.0,323.36,2.49,0.363136,-4.04768811061255e-19,-0.449405,0.1588718592598754,4.3915,4.5496,2.2748,0.161365,1.61907524424502e-18,-0.279261,0.13259267131825328,
Aldehyde_1_18,-6.5524,-1.7952,515.83,9.62,0.06427,0.023968,90.91,8.16,137.01,0.59,198.7,0.88,287.33,5.56,297.49,1.23,413.86,1.7,445.66,0.41,460.66,3.3,0.618959,-1.3333333333213672e-07,-0.527047,0.2399410065565303,4.1738,4.757199999999999,2.3785999999999996,0.24971,-3.3333333334870097e-08,-0.296872,0.12919758846192975,
Aldehyde_1_12,-7.4424,-2.0402,864.28,26.08,0.284998,0.05503,139.62,8.37,206.01,7.6,259.91,8.51,500.39,0.39,631.17,21.68,677.29,5.98,761.58,92.88,829.99,3.19,0.423845,1.61907524424502e-18,-0.599796,0.18736979951256635,4.7413,5.402200000000001,2.7011000000000003,0.170876,4.625929269271486e-19,-0.274684,0.09490814100868343,
Aldehyde_1_16,-6.6685,-0.6771,415.13,0.0,0.07906,0.01257,35.38,0.33,51.75,4.0,94.47,0.01,140.21,1.28,176.53,1.14,244.44,0.42,287.31,1.2,296.49,0.02,0.559938,-6.666666666343737e-08,-0.52526,0.1925878340467616,3.6728,5.9914,2.9957,0.248872,3.333333333244148e-08,-0.272113,0.13937032884406314,
Aldehyde_1_14,-6.6752,-1.8299,589.22,0.01,0.100489,0.02025,99.03,2.92,172.91,11.26,185.62,7.53,251.45,0.78,332.28,0.14,374.81,2.19,437.88,9.81,458.45,2.41,0.457678,3.333333333434968e-08,-0.509647,0.2128528771738962,4.25255,4.8453,2.42265,0.227041,3.333333333429186e-08,-0.302228,0.14067393789613536,
Aldehyde_1_25,-7.0396,-0.7741,944.12,86.01,0.536471,0.101006,130.67,4.95,291.02,8.14,331.46,1.88,502.55,10.2,781.7,1.19,822.17,5.81,853.17,2.01,885.3,12.07,0.360314,1.1564823173178713e-18,-0.453848,0.1422378245309958,3.90685,6.2655,3.13275,0.120503,3.333333333271796e-08,-0.268461,0.09125638642988353,
Aldehyde_1_20,-7.6787,-2.5446,411.15,0.0,0.068166,0.017205,37.12,0.67,57.31,0.23,141.32,0.97,141.79,0.22,244.31,2.29,265.44,6.57,311.35,0.24,388.96,1.94,0.641199,-3.333333333498574e-08,-0.399754,0.18529653645580127,5.11165,5.1341,2.56705,0.530538,-3.333333333602658e-08,-0.245635,0.14508887473913296,
