Column,SMILES,XYZ_File
Aldehyde_1,CC(C)(C)c1ccc(C=O)cc1,Aldehyde_1_1.xyz
Aldehyde_1,O=Cc1ccc(Cl)cc1,Aldehyde_1_2.xyz
Aldehyde_1,O=Cc1cccc(Br)c1,Aldehyde_1_3.xyz
Aldehyde_1,O=Cc1ccc(C(F)(F)F)cc1,Aldehyde_1_4.xyz
Aldehyde_1,COC(=O)c1ccc(C=O)cc1,Aldehyde_1_5.xyz
Aldehyde_1,N#Cc1ccc(C=O)cc1,Aldehyde_1_6.xyz
Aldehyde_1,O=Cc1cccnc1,Aldehyde_1_7.xyz
Aldehyde_1,O=Cc1ccc(-c2ccccn2)cc1,Aldehyde_1_8.xyz
Aldehyde_1,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,Aldehyde_1_9.xyz
Aldehyde_1,O=Cc1cc(Cl)cc(Cl)c1,Aldehyde_1_10.xyz
Aldehyde_1,CC(=O)c1ccc(C=O)cc1,Aldehyde_1_11.xyz
Aldehyde_1,O=Cc1cocn1,Aldehyde_1_12.xyz
Aldehyde_1,O=Cc1ccc2ccccc2c1,Aldehyde_1_13.xyz
Aldehyde_1,O=Cc1ccc2occc2c1,Aldehyde_1_14.xyz
Aldehyde_1,O=C1CCOCC1,Aldehyde_1_15.xyz
Aldehyde_1,O=C1CCC(c2ccccc2)CC1,Aldehyde_1_16.xyz
Aldehyde_1,O=C1CCOC1,Aldehyde_1_17.xyz
Aldehyde_1,O=C1CCOc2ccccc21,Aldehyde_1_18.xyz
Aldehyde_1,CC(=O)c1ccccc1,Aldehyde_1_19.xyz
Aldehyde_1,O=C(c1ccccc1)C(F)(F)F,Aldehyde_1_20.xyz
Aldehyde_1,CC(=O)C1CCCCC1,Aldehyde_1_21.xyz
Aldehyde_1,CC(=O)C1CCOCC1,Aldehyde_1_22.xyz
Aldehyde_1,O=Cc1ccc(-c2ccccc2)cc1,Aldehyde_1_23.xyz
Aldehyde_1,CC(C)C=O,Aldehyde_1_24.xyz
Aldehyde_1,O=CC1CC1,Aldehyde_1_25.xyz
Aldehyde_1,CC(C)(C)C=O,Aldehyde_1_26.xyz
Aldehyde_1,CC(C)CC=O,Aldehyde_1_27.xyz
Aldehyde_1,O=CC1CCC1,Aldehyde_1_28.xyz
Aldehyde_1,O=CC1CCCCC1,Aldehyde_1_29.xyz
Aldehyde_1,O=CC1CCOCC1,Aldehyde_1_30.xyz
Aldehyde_1,O=CC1CCN(C(=O)OCc2ccccc2)CC1,Aldehyde_1_31.xyz
Aldehyde_1,Cc1ccc(C=O)cc1,Aldehyde_1_32.xyz
Aldehyde_1,O=Cc1ccc(F)cc1Cl,Aldehyde_1_33.xyz
Aldehyde_1,O=Cc1cccc(Cl)c1,Aldehyde_1_34.xyz
Aldehyde_1,Cc1cccc(C=O)c1,Aldehyde_1_35.xyz
Aldehyde_1,CC(=O)Nc1ccc(C=O)cc1,Aldehyde_1_36.xyz
Aldehyde_1,Cc1ccc(C=O)cn1,Aldehyde_1_37.xyz
Aldehyde_1,O=Cc1cccc(F)c1,Aldehyde_1_38.xyz
Aldehyde_1,O=Cc1ccc(Cl)c(Cl)c1,Aldehyde_1_39.xyz
Aldehyde_1,O=Cc1ccccc1,Aldehyde_1_40.xyz
Aldehyde_1,O=Cc1ccc2c(c1)OCC2,Aldehyde_1_41.xyz
Aldehyde_1,O=Cc1ccc(N2CCCC2)cc1,Aldehyde_1_42.xyz
Aldehyde_1,COc1cc2ccccc2cc1C=O,Aldehyde_1_43.xyz
Aldehyde_1,CC(C)Cc1ccc(C=O)cc1,Aldehyde_1_44.xyz
Aldehyde_1,Cc1ccc2[nH]cc(C=O)c2c1,Aldehyde_1_45.xyz
Aldehyde_1,COc1ccnc(C=O)c1,Aldehyde_1_46.xyz
Aldehyde_1,O=Cc1cccc([N+](=O)[O-])c1O,Aldehyde_1_47.xyz
Aldehyde_1,O=Cc1ccc(F)c2ccccc12,Aldehyde_1_48.xyz
Aldehyde_1,C=CCOc1ccc(C=O)cc1,Aldehyde_1_49.xyz
Aldehyde_1,O=Cc1cccc(C(F)(F)F)c1,Aldehyde_1_50.xyz
bifunctional_reagent,C[Si](C)(C)COCC(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_1.xyz
bifunctional_reagent,CCCC[Sn](CCCC)(CCCC)COC[Si](C)(C)C,bifunctional_reagent_2.xyz
bifunctional_reagent,CCCC[Sn](CCCC)(CCCC)CN(C[Si](C)(C)C)C(=O)OCC,bifunctional_reagent_3.xyz
bifunctional_reagent,CC(OC[Si](C)(C)C)C(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_4.xyz
bifunctional_reagent,CC(C)(OC[Si](C)(C)C)C(=O)ON1C(=O)c2ccccc2C1=O,bifunctional_reagent_5.xyz
Aldehyde_2,O=Cc1ccc(Cl)cc1,Aldehyde_2_1.xyz
Aldehyde_2,CC(=O)Nc1ccc(C=O)cc1,Aldehyde_2_2.xyz
Aldehyde_2,N#Cc1cc(C=O)ccc1F,Aldehyde_2_3.xyz
Aldehyde_2,O=Cc1ccc(CN2CCOCC2)cc1,Aldehyde_2_4.xyz
Aldehyde_2,O=Cc1cccnc1,Aldehyde_2_5.xyz
Aldehyde_2,O=Cc1cnc(-c2ccccc2)nc1,Aldehyde_2_6.xyz
Aldehyde_2,Cn1c(C=O)nc2ccccc21,Aldehyde_2_7.xyz
