ID,ligand_smiles
1,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3
2,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2]
3,CC(C)(C)P(C(C)(C)C)C(C)(C)C
4,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C
5,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe]
6,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C
7,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5
8,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC
9,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C
10,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4
11,c3c(P(c1ccccc1)c2ccccc2)cccc3
