ID,E_LUMO,E_HOMO,electronegativity,hardness,gap,dipole_moment,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,V10_frequency,V10_intensity
Amine_1,0.8837,-5.8555,2.4859,3.3696,6.7392,1.143895269,0.149616,0.0842,235.45,4.53,236.66,0.16,381.67,5.76,440.17,1.14,459.99,0.73,558.12,2.25,746.85,108.38,809.7,0.32,814.97,3.07
Amine_2,0.7331,-6.0554,2.6611499999999997,3.39425,6.7885,1.490477227,0.164117,0.090932,89.82,9.68,278.18,3.46,284.36,4.47,460.33,3.22,487.92,3.32,587.8,15.3,710.79,92.48,828.29,8.84,862.2,10.06
Amine_3,0.576,-6.8843,3.15415,3.7301499999999996,7.460299999999999,3.822049142,0.335556,0.095898,45.02,0.1,61.64,2.03,168.87,8.68,287.36,7.38,434.25,11.01,453.92,77.59,621.99,2.58,635.9,1.39,866.17,9.26
Amine_4,0.5953,-6.49,2.94735,3.54265,7.0853,1.179867838,0.153088,0.149192,211.15,4.6,264.32,23.26,267.9,0.01,282.23,7.54,335.89,1.21,346.09,4.36,421.21,0.15,448.76,8.22,451.2,5.75
Amine_5,0.9036,-6.01,2.5532,3.4568,6.9136,0.804858065,0.103966,0.015329,37.71,0.15,61.43,0.31,62.68,0.23,89.83,0.23,98.59,0.59,152.17,1.94,215.85,1.27,240.65,0.07,243.91,0.15
Amine_6,0.7456,-5.9345,2.59445,3.3400499999999997,6.6800999999999995,0.827470138,0.144957,0.086672,79.0,1.47,195.53,0.32,238.49,0.57,257.78,1.01,268.64,0.37,279.58,0.61,340.88,1.09,359.95,0.65,414.17,0.31
Amine_7,-0.3181,-6.1633,3.2407,2.9225999999999996,5.845199999999999,0.887417969,0.154101,0.025591,36.89,0.62,95.0,2.3,120.24,1.04,242.33,0.86,264.69,1.44,322.01,0.94,367.75,1.07,416.54,0.14,494.8,7.11
Amine_8,-0.101,-5.3953,2.74815,2.64715,5.2943,1.867626573,0.167089,0.039219,104.1,2.72,181.99,1.3,234.65,3.98,250.19,0.44,391.34,89.28,419.86,0.14,463.25,37.3,521.17,11.4,594.32,14.77
Amine_9,-0.2014,-6.4729,3.33715,3.1357500000000003,6.2715000000000005,1.272634541,0.114721,0.032695,45.96,0.45,129.07,2.08,212.69,0.81,253.48,13.44,281.85,23.64,308.16,2.11,365.4,10.45,417.01,0.07,481.82,3.42
Amine_10,0.7652,-5.9024,2.5686,3.3338,6.6676,0.831543587,0.101641,0.040593,74.32,0.27,140.59,0.44,210.97,0.16,248.93,0.15,254.2,0.08,288.96,1.46,379.32,0.01,398.94,1.05,441.9,6.31
Amine_11,0.5409,-5.5259,2.4925,3.0334,6.0668,1.772309174,0.224122,0.055692,69.09,0.61,175.16,10.35,255.67,39.43,300.3,1.45,322.98,14.5,455.21,7.91,611.73,2.41,632.76,107.84,661.61,92.31
