ID,E_LUMO,E_HOMO,electronegativity,hardness,gap,dipole_moment,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,V10_frequency,V10_intensity
Bromide_1,-0.3874,-6.3456,3.3665000000000003,2.9791,5.9582,1.595661177,0.015248,0.007033,26.2,0.01,30.81,0.0,41.35,0.02,56.69,0.25,84.6,0.48,129.91,0.16,136.8,0.04,158.0,0.38,166.66,0.22
Bromide_2,-1.4012,-7.1769,4.28905,2.88785,5.7757,3.521878166,0.031139,0.015669,52.34,0.0,107.19,0.04,135.04,0.3,173.76,0.44,265.96,1.17,268.01,0.08,339.15,0.06,385.7,5.82,426.34,2.65
Bromide_3,-0.5104,-6.0487,3.27955,2.7691500000000002,5.5383000000000004,2.787834437,0.085923,0.012833,65.58,1.1,128.5,2.68,141.21,0.39,178.43,0.98,198.17,0.94,231.82,0.32,244.92,0.43,259.28,1.5,325.9,2.3
Bromide_4,0.2519,-6.2232,2.98565,3.23755,6.4751,2.750053257,0.061431,0.018908,36.76,0.05,97.75,0.09,104.33,0.06,115.41,0.14,155.18,0.08,169.26,7.28,235.71,2.94,267.47,0.1,275.91,1.7
Bromide_5,-0.4896,-6.5561,3.52285,3.03325,6.0665,1.245785328,0.031262,0.014242,53.6,0.12,77.92,0.13,99.87,0.32,158.06,0.13,174.88,0.5,204.79,0.2,214.03,1.89,250.71,0.38,294.77,0.17
Bromide_6,-0.6144,-6.2508,3.4326,2.8182,5.6364,2.767369863,0.052184,0.019564,92.54,4.05,133.9,0.91,157.51,0.82,227.32,0.24,274.26,1.0,284.02,0.02,321.64,0.85,453.54,3.44,489.97,2.45
Bromide_7,-0.3875,-6.0928,3.2401500000000003,2.85265,5.7053,2.998789009,0.031146,0.014044,62.64,3.68,102.52,0.04,111.04,5.27,152.95,0.3,180.06,2.15,197.68,0.0,238.56,0.41,278.53,0.0,291.32,0.1
Bromide_8,-1.558,-6.1582,3.8581,2.3001,4.6002,1.797549912,0.047022,0.014105,103.73,0.0,172.47,0.38,173.72,2.38,227.32,1.64,296.64,1.37,416.96,4.06,420.27,1.57,478.03,0.0,521.61,0.04
Bromide_9,-1.9497,-6.6563,4.303,2.3533,4.7066,0.777124918,0.048317,0.01417,103.16,0.32,169.83,0.49,175.52,4.53,227.73,0.0,294.83,1.15,426.91,6.43,441.49,3.91,481.33,0.68,529.88,0.28
Bromide_10,-1.2645,-6.1627,3.7136,2.4491,4.8982,3.221823788,0.05752,0.013081,48.53,0.08,97.94,2.0,147.19,0.18,166.17,0.62,235.95,0.04,263.49,0.78,279.37,2.16,307.54,2.95,518.12,2.98
Bromide_11,-1.9874,-7.6312,4.8093,2.8219,5.6438,1.252349789,0.012695,0.006439,15.36,0.04,82.18,1.06,110.06,0.95,115.66,0.13,145.28,0.03,178.88,0.09,249.28,0.0,263.16,0.68,291.56,1.07
Bromide_12,-0.3712,-6.021,3.1961,2.8249,5.6498,1.230833452,0.024687,0.008626,34.97,3.46,57.91,3.35,84.15,3.88,101.53,0.0,139.44,0.45,152.74,0.2,164.46,1.37,179.33,2.02,199.88,0.0
Bromide_13,-0.6606,-6.4563,3.5584499999999997,2.89785,5.7957,2.38113549,0.016058,0.004688,14.54,0.07,22.17,0.1,42.41,0.14,60.26,0.0,75.39,0.02,86.97,0.06,95.84,0.12,122.01,0.05,131.21,0.11
Bromide_14,-0.7348,-6.0009,3.36785,2.63305,5.2661,1.155220493,0.058576,0.012958,48.83,2.77,123.45,0.64,146.52,0.38,184.85,0.04,235.65,0.04,257.34,0.76,302.59,1.57,352.43,1.04,434.28,0.98
Bromide_15,-2.3914,-6.5671,4.47925,2.08785,4.1757,6.654664021,0.006356,0.002224,14.88,0.08,17.58,1.39,25.83,2.8,39.22,3.04,40.47,2.07,48.26,1.43,64.46,0.34,73.93,0.0,133.74,0.19
Bromide_16,-1.9508,-6.6489,4.29985,2.34905,4.6981,2.297314678,0.091888,0.011267,85.37,0.11,173.29,0.06,183.53,0.16,265.09,1.59,270.14,1.93,416.34,1.31,416.71,3.95,488.4,8.6,511.87,0.0
Bromide_17,-1.9334,-6.6371,4.2852500000000004,2.35185,4.7037,1.935917121,0.091181,0.011216,90.22,0.06,175.55,3.84,178.58,0.41,265.01,0.14,269.59,0.94,410.04,2.66,414.28,6.65,489.16,8.88,523.34,1.76
Bromide_18,-1.4289,-7.2848,4.35685,2.92795,5.8559,1.25908424,0.094725,0.009237,7.62,0.05,68.27,0.69,144.3,1.31,199.59,0.08,223.68,0.01,269.72,0.01,378.41,3.51,402.97,1.47,416.12,0.08
Bromide_19,-1.2464,-5.6603,3.4533500000000004,2.20695,4.4139,3.910861482,0.026181,0.005691,50.92,0.15,59.35,0.29,88.6,0.0,118.38,0.65,124.63,0.23,190.59,0.1,198.75,0.35,242.0,0.47,268.33,0.49
Bromide_20,-1.5435,-6.227,3.88525,2.34175,4.6835,2.021937992,0.089196,0.011118,88.08,0.16,174.65,0.01,180.87,1.08,259.65,0.06,269.21,1.79,402.78,0.25,403.14,2.22,483.97,20.81,517.37,0.02
Bromide_21,-1.0758,-6.628,3.8519,2.7761,5.5522,1.877630281,0.029421,0.013176,52.86,2.87,88.68,1.37,110.09,0.69,167.12,2.08,210.1,2.18,274.36,0.28,319.73,0.55,404.69,2.82,459.18,4.33
Bromide_22,-0.8629,-6.454,3.6584499999999998,2.79555,5.5911,1.572644155,0.180326,0.03093,189.27,1.17,212.85,0.18,330.32,1.0,469.32,3.74,569.03,0.18,640.74,4.56,698.87,73.94,743.68,0.27,836.98,11.51
Bromide_23,-0.9744,-6.4783,3.72635,2.75195,5.5039,2.809738877,0.007565,0.004173,28.5,0.18,34.85,0.1,39.9,0.13,57.64,0.42,57.93,0.15,71.88,0.02,76.44,0.08,86.75,0.44,106.87,0.5
Bromide_24,-0.02,-6.2304,3.1252,3.1052000000000004,6.210400000000001,5.411463013,0.231816,0.025261,149.47,2.13,205.07,2.87,266.7,0.79,337.64,1.56,395.11,1.28,632.68,16.43,679.82,0.28,692.47,2.34,742.24,14.62
