ID,E_LUMO,E_HOMO,electronegativity,hardness,gap,dipole_moment,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,V10_frequency,V10_intensity
Catalysts_1,-0.6535,-5.7498,3.20165,2.5481499999999997,5.096299999999999,1.054889948,0.01238,0.007034,29.38,0.06,48.2,0.05,58.15,0.01,64.58,0.05,74.13,0.2,89.23,0.01,111.64,0.42,137.45,0.0,156.73,0.1
Catalysts_2,-0.523,-5.3498,2.9364,2.4134,4.8268,1.53379128,0.004934,0.003027,20.42,0.02,23.73,0.02,35.71,0.0,53.2,0.06,56.93,0.03,66.55,0.08,75.36,0.25,82.46,0.06,83.72,0.25
Catalysts_3,-0.6079,-5.4602,3.03405,2.4261500000000003,4.8523000000000005,2.398628824,0.005763,0.003204,18.89,0.02,20.04,0.06,36.01,0.02,54.74,0.77,59.58,0.26,72.38,0.14,78.46,1.1,89.31,0.28,95.33,0.28
Catalysts_4,-1.6374,-6.2826,3.96,2.3226000000000004,4.645200000000001,5.166657438,0.001893,0.001156,12.09,0.03,14.67,0.02,16.29,0.03,23.25,0.03,23.67,0.14,26.07,0.02,27.75,0.02,28.61,0.11,29.55,0.04
Catalysts_5,-1.4513,-5.7507,3.601,2.1497,4.2994,5.677768548,0.001963,0.001228,11.52,0.1,16.1,0.13,18.35,0.16,19.33,0.03,21.45,0.02,23.05,0.28,23.68,0.14,27.61,0.18,36.6,0.47
Catalysts_6,-0.5404,-5.8097,3.17505,2.63465,5.2693,1.668761713,0.007391,0.004319,15.11,0.13,28.95,0.11,38.28,0.54,45.05,0.32,52.17,0.17,59.07,0.41,64.79,2.26,72.65,1.67,74.52,0.12
Catalysts_7,-0.7532,-5.5333,3.1432499999999997,2.39005,4.7801,2.34712565,0.008873,0.004138,18.85,0.03,32.64,0.03,46.65,0.07,49.4,0.18,56.85,0.6,60.25,0.18,74.74,0.14,91.39,0.42,96.03,0.09
Catalysts_8,-0.6729,-5.4709,3.0719000000000003,2.399,4.798,3.567492808,0.004064,0.002581,20.71,0.01,23.92,0.04,29.72,0.02,38.98,0.08,45.09,0.15,53.46,0.32,64.14,0.18,73.97,2.29,75.62,0.2
Catalysts_9,-0.5787,-5.8108,3.19475,2.6160500000000004,5.232100000000001,1.377189434,0.005876,0.003968,18.84,0.39,24.53,0.17,30.8,0.13,44.16,0.1,50.59,0.02,56.61,0.18,62.13,0.17,67.33,0.19,77.6,0.02
Catalysts_10,-0.6381,-5.9724,3.30525,2.6671500000000004,5.334300000000001,1.162509192,0.004374,0.00299,19.49,0.02,28.68,0.01,36.49,0.02,39.77,0.01,59.7,0.02,67.08,0.15,67.93,0.03,76.86,0.22,84.49,0.29
Catalysts_11,-0.5112,-5.622,3.0665999999999998,2.5554,5.1108,1.409859806,0.005374,0.004052,20.07,0.03,33.75,0.02,46.17,0.43,48.67,0.15,57.63,0.1,73.05,0.01,76.48,0.59,91.53,0.67,101.19,0.55
Catalysts_12,-0.4488,-5.635,3.0419,2.5930999999999997,5.1861999999999995,2.636415262,0.005226,0.003274,23.47,0.01,39.04,0.19,42.05,0.5,44.17,0.15,47.57,0.18,52.5,0.01,58.68,0.2,64.62,0.07,68.74,0.75
Catalysts_13,-0.2543,-5.6991,2.9766999999999997,2.7224,5.4448,1.050947767,0.006429,0.004428,20.61,0.12,41.62,0.05,48.56,0.01,49.49,0.02,57.0,0.22,64.69,0.08,76.99,0.09,82.26,3.28,88.19,1.72
Catalysts_14,-0.6806,-5.879,3.2798,2.5991999999999997,5.1983999999999995,1.091270265,0.007863,0.004627,19.08,0.02,37.59,0.03,45.96,0.01,48.63,0.02,49.75,0.06,57.73,0.0,68.05,0.09,87.25,0.19,102.22,0.06
Catalysts_15,-0.4902,-5.7589,3.1245499999999997,2.63435,5.2687,0.651054728,0.009855,0.005954,20.01,0.02,25.3,0.08,40.58,0.01,54.43,0.19,68.05,0.2,81.66,0.42,96.46,0.45,100.08,0.04,126.12,0.08
Catalysts_16,-0.4968,-5.3276,2.9122000000000003,2.4154,4.8308,2.885236158,0.010091,0.004308,28.33,0.24,48.31,0.36,55.38,0.02,57.55,0.1,64.19,0.18,73.3,0.26,81.57,0.07,87.57,0.37,97.16,0.41
Catalysts_17,-0.5223,-5.5197,3.021,2.4987000000000004,4.997400000000001,0.835743515,0.010111,0.006303,25.53,0.19,48.65,0.02,49.33,0.02,56.99,0.2,75.75,0.25,82.52,0.85,90.8,0.61,94.55,0.96,101.33,1.53
Catalysts_18,-0.6794,-5.4538,3.0666,2.3872,4.7744,3.508509127,0.0028,0.001949,12.06,0.07,14.8,0.03,27.31,0.07,32.21,0.05,34.57,0.06,52.85,0.2,58.61,0.12,60.92,0.21,70.13,2.87
Catalysts_19,-0.7544,-5.4653,3.10985,2.3554500000000003,4.7109000000000005,2.483913748,0.001992,0.001051,7.03,0.02,10.05,0.03,12.71,0.03,17.61,0.07,21.76,0.01,27.24,0.04,30.75,0.02,39.97,0.03,43.19,0.03
Catalysts_20,-1.1451,-6.0262,3.5856500000000002,2.44055,4.8811,2.801493377,0.00283,0.001459,14.34,0.03,20.6,0.06,29.56,0.23,37.94,0.1,44.09,0.13,46.01,0.71,50.35,0.22,57.04,0.39,59.91,0.22
