,shap_values_$\log_{10} (P_{\text{sat}})$,shap_values_$\log_{10} (K_{\text{W}/\text{G}})$,shap_values_$\log_{10} (K_{\text{WIOM}/\text{G}})$,avg_all_targets
C (bit 4),1.7748558176298437,0.7097040223028961,1.6170829721087714,1.3672142706805037
MACCS key 140,0.665215048889419,0.7706173636927616,0.7175654663179527,0.7177992929667111
C (bit 3),0.899205139685145,0.3293791304162372,0.8104613594799496,0.6796818765271105
C (bit 2),0.487436766608081,0.1848804143602676,0.4447778520425304,0.3723650110036263
O (bit 2),0.3488666436575293,0.3144003639643218,0.4176568095297739,0.36030793905054165
MACCS key 114,0.2180111701282196,0.3428628379782925,0.1700179707440433,0.24363065961685182
MACCS key 131,0.2042100646152778,0.3300464143106364,0.1897509214676593,0.24133580013119116
MACCS key 148,0.1693874677416573,0.3676861602249279,0.1636392653111701,0.23357096442591843
hydroperoxide (1),0.1481705620105175,0.3083951314202353,0.1865516472062934,0.21437244687901538
C (bit 1),0.2642208028335149,0.1269758381024749,0.2429382073552089,0.2113782827637329
MACCS key 72,0.1471128971135747,0.3471225928921415,0.1231309584865923,0.20578881616410283
MACCS key 139,0.1140021861846398,0.3131512592780799,0.1773455469916669,0.20149966415146223
O (bit 1),0.1894276381895846,0.1630683794279584,0.2211697687180043,0.19122192877851577
carboxylic acid (1),0.1550243567132762,0.2603437206179688,0.1489865288990877,0.18811820207677754
hydroxyl (alkyl) (2+),0.1692798547986986,0.2771080696222651,0.0994523923999501,0.1819467722736379
hydroxyl (alkyl) (1),0.1735408065620864,0.2710844572193923,0.100822607608288,0.18181595712992224
carbonyl (1),0.1094382548009119,0.2516550893295895,0.1246621705642661,0.16191850489825585
O (bit 3),0.1729592574958817,0.0760294873674131,0.213839926089214,0.15427622365083626
carbonyl (2+),0.0818401133356177,0.2395956572356089,0.1156338824538092,0.14568988434167862
MACCS key 154,0.1464733817594964,0.1764987226331581,0.1074300892395155,0.14346739787739002
MACCS key 149,0.1183837872511413,0.1324174331965557,0.104574257859416,0.11845849276903765
O (bit 4),0.1125026652936787,0.0753685921151802,0.1541235478524525,0.11399826842043714
MACCS key 126,0.1195684791489848,0.1514495929991655,0.056929664987453,0.10931591237853444
MACCS key 146,0.1155861358529173,0.1307370982684682,0.0736473170798391,0.10665685040040819
MACCS key 150,0.0653026174357986,0.1259693606746108,0.0760737214487485,0.08911523318638596
MACCS key 109,0.0556437627861662,0.0688425911780805,0.1426180356374765,0.08903479653390774
MACCS key 153,0.0585192463309225,0.0734930684496945,0.1297053605049052,0.08723922509517407
MACCS key 155,0.0843582357381492,0.0957000696877874,0.0813983466921406,0.08715221737269241
MACCS key 159,0.0768040406873275,0.1255944970342676,0.0587959911200248,0.08706484294720664
MACCS key 48,0.0545402514269443,0.1543569395152704,0.044102542691261,0.08433324454449191
MACCS key 160,0.0810630597570899,0.0924491514986794,0.0787051179211766,0.08407244305898197
MACCS key 117,0.0655291427085721,0.1221259139654368,0.0476291643824796,0.07842807368549616
MACCS key 34,0.0732767304001168,0.0985535396041059,0.0606764469524844,0.07750223898556903
C=C (non-aromatic) (1),0.0796215568941101,0.0852684139819996,0.0646425780013996,0.07651084962583643
MACCS key 74,0.0625818863996789,0.1118383690227835,0.043227334705201,0.07254919670922115
MACCS key 165,0.0537169495557276,0.0618666629259849,0.0966001822901441,0.07072793159061887
MACCS key 147,0.0750013966460656,0.060325179122639,0.05693607455779,0.06408755010883153
MACCS key 112,0.0567811043307142,0.0920634187857869,0.0419502313354391,0.06359825148398006
MACCS key 106,0.0381431639796018,0.0949267919053641,0.0411024919695296,0.05805748261816516
carbonylperoxynitrate (1),0.0341255038770689,0.0907285587447288,0.0460183827729369,0.05695748179824486
MACCS key 95,0.0424536168625208,0.080256675841262,0.0480320047757858,0.0569140991598562
aldehyde (1),0.0548599591626805,0.0533369445801661,0.0507573285346313,0.05298474409249263
MACCS key 99,0.0504718940276735,0.0421013998375634,0.0628064961811633,0.05179326334880006
MACCS key 94,0.0400289976014717,0.0810770501943212,0.0302131948903858,0.050439747562059566
MACCS key 24,0.0400045732710402,0.0810912481414272,0.0302143907820164,0.05043673739816126
MACCS key 122,0.040042795494835,0.0810795490721189,0.0301876531264336,0.05043666589779583
MACCS key 49,0.0400122897190405,0.0810867857161177,0.0302077282900234,0.0504356012417272
MACCS key 119,0.0400207044671516,0.0810849923395856,0.0301924426505645,0.050432713152433896
MACCS key 70,0.0400386511538532,0.0810258547898269,0.0302292473258349,0.050431251089838335
MACCS key 71,0.0400385526833188,0.0810486656188495,0.0301912749335237,0.05042616441189734
MACCS key 161,0.0400223509366931,0.0810474346674916,0.0301876083097718,0.05041913130465217
MACCS key 63,0.0400273226998243,0.0810239359845856,0.0301950038643696,0.05041542084959316
"ester, all (1)",0.0305062710308499,0.0861993702301412,0.0331316442161231,0.04994576182570473
MACCS key 97,0.0180844567307463,0.1127306463343373,0.0177387337810762,0.049517945615386603
MACCS key 136,0.038881859201918,0.0581077103270139,0.05101405274327,0.04933454075740063
MACCS key 89,0.0409380482426542,0.0694582984284218,0.037175552417106,0.049190633029394006
ketone (1),0.0224620763917372,0.0846201931498345,0.0339491282906824,0.0470104659440847
MACCS key 118,0.0550169254371995,0.0406923432373145,0.0433018202840839,0.046337029652865964
MACCS key 130,0.0331296287561684,0.0802272139394123,0.0228784852760614,0.045411775990547375
MACCS key 141,0.0486341727236037,0.0405430548408044,0.0430193001489821,0.04406550923779673
MACCS key 69,0.024570385735866,0.0814326504231155,0.0246501740577679,0.043551070072249794
ketone (2+),0.0181795728397036,0.0770217441394564,0.0336764299462708,0.0429592489751436
aromatic CH (2+),0.0384828271102297,0.0514440607832094,0.0335707000124512,0.041165862635296764
MACCS key 123,0.029580099397009,0.072686053879022,0.0212143531171053,0.0411601687977121
MACCS key 66,0.0205861199870561,0.0853266214011866,0.0167633699919549,0.04089203712673253
MACCS key 116,0.0285138925211387,0.0654665084726234,0.0283287374694238,0.04076971282106197
MACCS key 129,0.0321470323207256,0.0641119398630089,0.0248113956150532,0.040356789266262565
alkene CH (2+),0.0310260721923417,0.062176688754379,0.0267864207594293,0.03999639390205
MACCS key 50,0.0312265124390212,0.0492218116190502,0.0344763005216363,0.0383082081932359
MACCS key 102,0.0466908436557912,0.0459448266676051,0.0222818071246083,0.03830582581600153
MACCS key 124,0.046673938496665,0.0459509020071154,0.0222830966557033,0.038302645719827895
MACCS key 108,0.0392451567105445,0.0409066794873326,0.0332545942028041,0.037802143466893735
MACCS key 132,0.0317410594340493,0.0523352207226009,0.028152295058481,0.037409525071710394
carbonylperoxyacid (1),0.056989995662555,0.0333927539751456,0.0216291165492476,0.03733728872898273
MACCS key 143,0.0306839643429225,0.0518208899441964,0.0289563886081158,0.0371537476317449
MACCS key 127,0.0307067183915836,0.0518008569501877,0.0289274770909375,0.037145017477569604
MACCS key 164,0.0209857100012275,0.0597898477855783,0.0272103562644516,0.03599530468375247
MACCS key 57,0.0203570687212776,0.0516124423135395,0.0338414163564775,0.03527030913043153
MACCS key 137,0.0203635164569741,0.0516222309862213,0.033812347292809,0.03526603157866814
MACCS key 53,0.0245591057629487,0.0534078041003042,0.0251632507259151,0.034376720196389335
