CAS,dvap,num,External,VOC,SMILES,Key,Family,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9
872-05-9,50.5,2,YES,YES,CCCCCCCCC=C,AFFLGGQVNFXPEV-UHFFFAOYSA-N,Hydrocarbons,2.703789901,64.4385619,7.656854249,7.234204519,7.234204519,4.914213562,4.523603362,4.523603362,2.845117222,2.845117222,1.761801681,1.761801681,1.06900522,1.06900522,0,0,0,0,0,0,44.94575136,0,6.076020107,13.50267288,0,-0.26,10,120.11,9.74,8.74,7.74,3.694651597,0.103082979,3.694651597,-0.035341293,1.200520833,0.035341293,1.200520833,-0.103082979,3.923,48.19,140.27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,60,0,0,0,0,0,0,0,0,0,6.578935684,45.10386542,12.84164325,0,0,0,0,0,0,0,51.86948856,0,12.65495579,0,0,0,0,0,0,0,0,0,51.86948856,12.65495579,0,0,0,0,0,0,0,0,0,0,0,11.55163738,5.948362623,0
16747-26-5,40.7,1,YES,YES,CCC(C)CC(C)(C)C,AFTPEBDOGXRMNQ-UHFFFAOYSA-N,Hydrocarbons,3.467261091,66.59772061,7.491563832,7.491563832,7.491563832,3.954507022,3.954507022,3.954507022,4.278204323,4.278204323,1.657757573,1.657757573,1.189722705,1.189722705,0,0,0,0,5.414990469,5.917906046,12.84164325,0,0,34.618686,0,0,9,108.099,9,3.239669421,5.87755102,2.324652778,0.065127954,2.324652778,-0.038008284,0.523240741,0.038008284,0.523240741,-0.065127954,3.4687,43.527,128.259,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,41.03950762,17.75371814,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0.523240741,0.893518519,0,2.667430556,11.49914352,0
111-84-2,46.5,6,YES,YES,CCCCCCCCC,BKIMMITUMNQMOS-UHFFFAOYSA-N,Hydrocarbons,2.595082707,33.30296891,6.949747468,6.949747468,6.949747468,4.414213562,4.414213562,4.414213562,2.767766953,2.767766953,1.707106781,1.707106781,1.030330086,1.030330086,0,0,0,0,0,0,44.94575136,0,0,13.8474744,0,0,9,108.099,9,8,8,2.263711026,0.065382383,2.263711026,-0.053306317,1.3671875,0.053306317,1.3671875,-0.065382383,3.7569,43.667,128.259,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,0,0,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,0,0,0,58.79322576,0,0,0,0,0,0,0,0,0,0,0,0,9.972577948,4.527422052,0
124-18-5,51.6,11,YES,YES,CCCCCCCCCC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,Hydrocarbons,2.647604849,40,7.656854249,7.656854249,7.656854249,4.914213562,4.914213562,4.914213562,3.121320344,3.121320344,1.957106781,1.957106781,1.207106781,1.207106781,0,0,0,0,0,0,51.36657298,0,0,13.8474744,0,0,10,120.11,10,9,8,2.269883866,0.065382383,2.269883866,-0.053306146,1.36882716,0.053306146,1.36882716,-0.065382383,4.147,48.284,142.286,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,62,0,0,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,0,0,0,65.21404738,0,0,0,0,0,0,0,0,0,0,0,0,11.46023227,4.539767731,0
3522-94-9,40.2,2,YES,YES,CC(C)CCC(C)(C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,Hydrocarbons,3.28071084,64.59772061,7.491563832,7.491563832,7.491563832,3.916502219,3.916502219,3.916502219,4.493182156,4.493182156,1.471687836,1.471687836,0.721687836,0.721687836,0,0,0,0,5.414990469,5.917906046,12.84164325,0,0,34.618686,0,0,9,108.099,9,3.239669421,8,2.300972222,0.062773265,2.300972222,-0.038251338,0.532013889,0.038251338,0.532013889,-0.062773265,3.4687,43.527,128.259,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,0,0,0,0,0,0,0,41.03950762,17.75371814,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0,11.33289652,47.46032924,0,0,0,0,0,0,0,0,0,0.532013889,0.865023148,0,2.716435185,11.46986111,0
124-11-8,45.1,2,YES,YES,CCCCCCCC=C,JRZJOMJEPLMPRA-UHFFFAOYSA-N,Hydrocarbons,2.663883887,55.05865003,6.949747468,6.527097737,6.527097737,4.414213562,4.023603362,4.023603362,2.491563832,2.491563832,1.511801681,1.511801681,0.892228525,0.892228525,0,0,0,0,0,0,38.52492974,0,6.076020107,13.50267288,0,-0.26,9,108.099,8.74,7.74,7.74,3.678478757,0.103082979,3.678478757,-0.035341293,1.198129252,0.035341293,1.198129252,-0.103082979,3.5329,43.573,126.243,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,54,0,0,0,0,0,0,0,0,0,6.578935684,38.6830438,12.84164325,0,0,0,0,0,0,0,45.44866694,0,12.65495579,0,0,0,0,0,0,0,0,0,45.44866694,12.65495579,0,0,0,0,0,0,0,0,0,0,0,10.0779684,5.922031604,0
107-40-4,39.3,1,YES,YES,CC(=CC(C)(C)C)C,LAAVYEUJEMRIGF-UHFFFAOYSA-N,Hydrocarbons,3.886007122,87.09616281,6.78445705,6.577350269,6.577350269,3.416502219,3.077350269,3.077350269,3.58771324,3.58771324,0.721687836,0.721687836,0.866025404,0.866025404,0,0,0,0,5.414990469,0,5.57310453,0,0,40.69470611,0,-0.26,8,96.088,7.74,2.340807863,5.74,2.270833333,0.080487514,2.270833333,-0.020070233,0.359953704,0.020070233,0.359953704,-0.080487514,2.9987,38.886,112.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,32.42033624,19.26246487,0,0,0,0,0,0,5.414990469,34.618686,0,11.64912464,0,0,0,0,0,0,0,0,5.414990469,34.618686,11.64912464,0,0,0,0,0,0,0,0,1.760416667,0,0,2.270833333,10.88541667,0
112-40-3,61.1,12,YES,YES,CCCCCCCCCCCC,SNRUBQQJIBEYMU-UHFFFAOYSA-N,Hydrocarbons,2.727242813,56.4385619,9.071067812,9.071067812,9.071067812,5.914213562,5.914213562,5.914213562,3.828427125,3.828427125,2.457106781,2.457106781,1.560660172,1.560660172,0,0,0,0,0,0,64.20821623,0,0,13.8474744,0,0,12,144.132,12,11,10,2.279016097,0.065382383,2.279016097,-0.053305974,1.370867769,0.053305974,1.370867769,-0.065382383,4.9272,57.518,170.34,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,74,0,0,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,0,0,0,78.05569063,0,0,0,0,0,0,0,0,0,0,0,0,14.44196781,4.558032194,0
110-81-6,45.2,5,NO,YES,CCSSCC,CETBSQOFQKLHHZ-UHFFFAOYSA-N,Organosulfur compounds,2.339092315,17.509775,4.828427125,4.230710143,5.863703305,2.914213562,2.158230498,4.64626437,0.81305253,3.853371151,0.319035594,2.871320344,0.166666667,1.5,0,0,0,0,0,0,11.50570721,0,21.58779595,13.8474744,0,0.7,6,112.178,6.7,5.7,4.7,2.173935185,0.094458912,2.173935185,0.000844287,1.23462963,0.000844287,1.23462963,-0.094458912,2.4076,36.264,122.258,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,35.43527035,0,11.50570721,0,0,21.58779595,0,0,0,13.8474744,11.50570721,0,0,0,0,0,0,21.58779595,11.50570721,0,0,13.8474744,0,0,0,0,0,0,0,0,0,0,2.469259259,0,0,4.34787037,3.849537037
75-08-1,27.3,1,NO,YES,CCS,DNJIEGIFACGWOD-UHFFFAOYSA-N,Organosulfur compounds,1.632993162,2.754887502,2.707106781,2.154320377,3.048747568,1.414213562,1.023334547,1.655790079,0.316227766,0.948683298,0,0,0,0,0,0,0,0,0,5.752853607,0,0,6.9237372,12.62878915,0,0.35,3,56.089,3.35,2.35,2.35,3.788580247,0.17965217,3.788580247,-0.012640479,0.944444444,0.012640479,0.944444444,-0.17965217,0.9361,19.527,62.137,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,12.62878915,0,6.9237372,5.752853607,0,0,0,12.62878915,0,0,0,6.9237372,5.752853607,0,0,0,0,0,0,12.62878915,5.752853607,0,0,6.9237372,0,0,0,0,0,0,3.788580247,0,0,0,0.944444444,0,0,1.989197531,0
