,Average SHAP when zero,Average SHAP when one,ma_shap
carbon atoms,0.0,-50.44072522439309,23.677702618211185
alkane CH bonds,7.653920299127484,8.078252349975743,9.00149731801593
halogen atoms,-3.718472848660127,1.5277914159660995,6.1982354490216895
methylene bridges connected by non-ring bonds,-4.258928718945497,-3.655851083526566,5.546818892273287
fluorine atoms,2.1133807472801065,-2.764729503648677,3.9490237829661328
aromatic CH bonds,2.361795507939464,0.4081473161714655,3.5443495229156357
oxygens bonded to non-ring atoms with two bonds,1.9930612384714683,-5.299241204132275,3.1758953314280456
hydroxyl groups,-1.7550063953879476,9.046088116582933,3.0294038318598324
atoms bonded with at least four bonds to other atoms,1.0280290253748945,-1.624675057086658,1.6594941473190368
alkene CH bonds,0.9718621950939237,-1.3533125913900637,1.5992336617756306
nitrogen atoms bonded to at least one hydrogen,-0.8095592801457066,10.659867377431114,1.537774753486386
two methylenes bonded together,1.039826801973086,0.6745831393499009,1.3277276549075834
two methylene groups bonded together,1.038704932752451,0.6801677004043272,1.3223270611010554
nitrogen-containing rings,-0.6256997457749996,5.303870944461594,1.1718221136811624
single bonds between an oxygen and carbon,-0.873486344909381,0.09316812642502134,1.1148840567057872
heteroatoms bonded to oxygen,-0.5512000352667935,4.32859964081886,1.0661229210363905
oxygen atoms,-0.9321593653553424,0.13711596419175193,0.9827797912797114
sulfur atoms,-0.45007256784634786,6.717355223917015,0.863206301389945
two methylene groups separated by two atoms,0.43627012840801443,-0.08639188996613517,0.7703542088886074
methylene bridges bonded to a heteroatom,-0.5564466615363233,0.5447995799824559,0.7596761101322285
heteroatoms bonded to a methylene bridge,-0.5557376600436809,0.5428067630088879,0.7594011954528477
ester groups,-0.41703502929733316,2.0927505707966017,0.734797488727623
two methylene groups separated by three atoms,0.22247607308864692,-0.07963710707715542,0.6758521614861905
ring fragments,0.23699021167775422,0.0,0.6742906307060911
heteroatoms bonded to a methyl group,-0.34300605580551097,1.7541319044868597,0.6152356398836583
oxygens bonded to an aliphatic carbon,0.3760078325992543,-0.8109842585594189,0.6072713168316216
hydrogen atoms bonded to heteroatoms,-0.368900725330621,1.1702437923175328,0.5893734492691347
ethyl groups,0.5191116577534858,-0.3364686125602805,0.5691016665044769
isobutanyl groups bonded to an aliphatic carbon,-0.31813442720277896,1.7100973456884359,0.5627259293973436
carbons bonded to two oxygens,0.3362298884290401,-1.3128042610199688,0.561504448963613
nitrogen atoms,-0.33095844449384654,0.9713713472104152,0.5457614154975926
methyl groups bonded to the same atom with a single bond between them,0.3360208691626633,-0.4890745162298227,0.5324398715465926
rings with 8 to 14 members,-0.2601658677686128,0.0,0.5110872652178838
fragments,0.0,0.25124689456935506,0.5078589288236953
non-aromatic rings,0.292144829897993,-0.8719560569072949,0.49169782217503116
heteroatoms bonded to a nitrogen atom,0.2473470813092739,-3.0047290384312046,0.48625581290742353
aromatic rings,0.2995752930809594,-0.5513063440380569,0.45112317072309843
"atoms bonded with three bonds, one which is to a halogen",0.1938306525220404,-0.08009915707304649,0.42980422311118516
halides bonded to a ring,-0.22611358304337695,0.0,0.42895486876477107
methyl groups,0.5351825537942962,0.25658890724791744,0.40712222322816327
oxygen atoms involved in double bonds,-0.19520860353215194,0.36122137794452697,0.40417755672615585
nitrogens bonded to three atoms,-0.21266678554365775,2.217829329216211,0.4033897239261655
"atoms bonded to three atoms, one which is a nitrogen",0.2097971719699158,-1.2101185250018476,0.39030123202136063
hydroxyl groups in an alkyl group,-0.204272863283181,1.7191881979600907,0.3901333762253019
carbonyl groups,0.25232183803247377,-0.6551281358473289,0.38746258215325924
methylene groups directly bonded to a nitrogen atom,0.1905072147008234,-1.5933115027275322,0.3658254651268952
carboxylic acids,-0.17623012361219986,6.823077662664126,0.35688760057641905
single bonds between nitrogen and oxygen,-0.1742922571301835,5.579829185397777,0.3520360299211771
amide groups,-0.17119182531842478,9.93821639001538,0.3469615624428154
hydroxylamine groups,0.17235443136212686,-2.760029504656299,0.34571231931237184
nitrogens bonded to three carbons,-0.16310665128572524,3.010579481644863,0.3227769570282807
ether groups,-0.1532164288155826,2.053928758879759,0.302392438836309
atoms part a ring structure with three bonds connecting them,0.15013585522030365,0.0,0.2859559484404037
heteroatoms bonded to three atoms,-0.14642630839452062,0.9341887723783936,0.2856087587609199
cyano groups,-0.13275143060073338,6.487166587982702,0.27029167494122114
oxygen-containing heterocycles,0.13347400123928513,-2.192132788623622,0.26862818725502313
bonds between two atoms that each have a ring bond,0.1239946519396129,-0.6967883265953185,0.2606464601824027
oxygens separated by 3 atoms,0.12966940028776433,-1.7610343362352643,0.2599204549230201
methyl groups separated by two bonds from a methine group,0.19234303426917354,-0.11669880998490965,0.25398132013371705
single bonds between a nitrogen and carbon,0.1272590146468324,-0.3449862300675035,0.2522157479912366
any atom connected to an oxygen atom that is in a ring,-0.12724577912837753,0.0,0.24632682576827405
heteroatoms bonded to a methylene group and a hydrogen atom,0.12600958762421452,-0.8185066788089774,0.2320409645104467
tertiary amines,0.11090486015648215,-4.106110614000308,0.22849898985224182
methylene groups attached to the same heteroatom,0.11834569035916491,-0.6709644786846509,0.22362484129704496
atoms bonded to three heteroatoms,0.10763720057770158,-0.7557435279718172,0.2104650303158768
aromatic carbon or nitrogen atoms,-0.09777082652629576,0.6831612216710856,0.20641765246050017
secondary amines,0.09098937103726819,-6.229317144004501,0.19322685652595312
methyl groups separated by three bonds from a methine group,-0.1412689941217837,-0.026034016834352854,0.18643498964605748
two heteroatoms bonded together,-0.09065332957844251,0.7578024096881555,0.1862957191269761
pairs heteroatoms bonded together,-0.09116352656004881,0.7596082788774136,0.1850909629121894
heteroatoms bonded to a hydrogen atom and separated by three atoms from a methylene group,-0.09484558200785428,0.8854307066351905,0.1817424722701947
aromatic ether groups,-0.08519735625749643,3.0459556643821144,0.18067901800957986
iodine atoms,-0.08139532862945677,6.986428450064455,0.17989172595921898
oxygens bonded non-aromatically to atoms that part an aromatic system,0.09068090839683268,0.0,0.1792498505204455
atoms have a formal charge,0.07420893773343973,-1.3315399338316538,0.16305708397688118
heteroatoms bonded to a hydrogen atom and separated by two atoms from a methylene group,-0.07756717189019421,0.6823389402153289,0.16149718393927692
non-aromatic carbons in a ring,-0.05909458688207597,0.26747450431265485,0.15470404534635177
rings contain more than one heteroatom,-0.05798075350379266,0.26517908971007365,0.15455228856011827
methyl groups separated by four bonds from a methine group,-0.08847072936482954,-0.04986043465583455,0.1480116153390679
heteroatoms bonded to the same nitrogen atom,0.06508576076639055,-1.8732396387413575,0.14385139376080452
chlorine atoms,-0.06814573058062737,0.3509709300921508,0.14170434274643295
double-bonded methylidene groups,0.06568438442262987,-1.2841703981043422,0.13621183598048764
methylene groups bonded to a heteroatom that is also bonded to a hydrogen,0.06878282974352512,-0.3382335015695281,0.13153866217938961
oxygens separated by one atom from an aliphatic carbon,-0.009163379825058937,0.051052325541351085,0.12757496450243808
nitrogens bonded to the same atom,-0.05661390890965692,1.8117531769381372,0.124624784595088
bromine atoms,-0.058029503896782055,2.7201988233487886,0.12406954139201962
aromatic hydroxyl groups,0.05356047264103461,-3.119427928608129,0.12386571474189648
nitrogen atoms involved in double bonds,-0.056858989438592536,1.6642807019930144,0.12290491546840696
six-membered rings,-0.07201595162990677,0.01707935899912266,0.1219056061524933
non-aromatic C=C groups,-0.04729199890722509,0.22126559895451128,0.1159183696689467
pairs double-bonded carbons,-0.04469043293829112,0.21958184318970614,0.11534506302480117
"pairs atoms connected via an aromatic bond, each connected to at least one other atom with a non-aromatic bond",0.05334505485805704,-0.3728105449398798,0.11281252137991357
carbons bonded to a nitrogen and an oxygen atom,0.04907247431610227,-2.5568833144026075,0.10814810813999631
ketone groups,-0.043438554112299486,1.3853722237294896,0.09943671248715147
