index,SMILES,InChIKey,pSat_Pa,ChemPot_kJmol,FreeEnergy_kJmol,HeatOfVap_kJmol,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
0,C(=O),WSFSSNUMVMOOMR-UHFFFAOYSA-N,641974.491,22.03277664,-300776.14253824,20.9174896,30.010564684,4,1,1,0,0,1.0,1.0,apin_decane_toluene,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,C(=O)(N(=O)(=O)),CAMJPMYWRKKZNK-UHFFFAOYSA-N,10295.712,22.037588239999998,-838056.42729272,35.897925040000004,74.995642892,6,1,3,1,0,1.0,1.0,toluene,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,C(=O)(N(=O)(=O))C(=O),UJDBJZXDOVXPFV-UHFFFAOYSA-N,13517.574999999999,19.622583440000003,-1135711.4474593601,35.63119504,102.99055751200001,8,2,4,1,0,2.0,2.0,toluene,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,C(=O)(N(=O)(=O))C(=O)(O),RMULBIRLFFXIEL-UHFFFAOYSA-N,241.63000000000002,22.32210024,-1333418.07757464,52.952745840000006,118.98547213200001,9,2,5,1,1,3.0,1.0,toluene,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,C(=O)(N(=O)(=O))C(=O)(OO),NVYYGCURLZHQKD-UHFFFAOYSA-N,315.357,21.0702056,-1530773.3991340802,50.0617692,134.98038675200002,10,2,6,1,1,3.0,3.0,toluene,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,C(=O)(N(=O)(=O))C(=O)C(=O)(O),ZGGYCYSMRHXGGC-UHFFFAOYSA-N,106.665,20.90489576,-1631091.3038315203,57.46657056,146.98038675200002,11,3,6,1,1,3.0,2.0,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
6,C(=O)(N(=O)(=O))C(=O)C(=O)(OO),CQOMHPXKNWDVNW-UHFFFAOYSA-N,67.529,20.89882896,-1828442.6756112801,58.36437328,162.97530137200002,12,3,7,1,1,6.0,5.0,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7,C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O),WEUSVPCNBIFPBG-UHFFFAOYSA-N,0.032969163600000004,18.89741256,-2527334.83447472,97.68652576,232.98078067600002,19,6,9,1,2,97.0,22.0,toluene,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0
8,C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O),SOTNJOFDRUYMAE-UHFFFAOYSA-N,0.147813995,18.875111840000002,-2329752.48150224,85.81275216,216.98586605600002,18,6,8,1,1,35.0,25.0,toluene,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0
9,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O),FXFHSVRWWJKYGI-UHFFFAOYSA-N,0.011259576799999999,18.96092568,-2432922.48632504,93.78502944,231.00151612000002,21,7,8,1,1,50.0,16.0,toluene,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0
10,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O),CPTOSOFYBDLMAE-UHFFFAOYSA-N,1.406,20.214786800000002,-2630609.83502024,77.82039168,246.99643074000002,22,7,9,1,1,54.0,27.0,toluene,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1
11,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O),YTZBGZCKVSHGGS-UHFFFAOYSA-N,0.078466678,23.437470960000002,-2527342.03015976,91.73896976,232.98078067600002,19,6,9,1,2,118.0,30.0,toluene,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0
