SMILES,molar_mass,log_p_sat
C(=O),30.010564684,2.807517771623312
C(=O)(N(=O)(=O)),74.995642892,1.0126563856290278
C(=O)(N(=O)(=O))C(=O),102.99055751200001,1.1308987878645131
C(=O)(N(=O)(=O))C(=O)(O),118.98547213200001,-0.6168491461038254
C(=O)(N(=O)(=O))C(=O)(OO),134.98038675200002,-0.5011975245005873
C(=O)(N(=O)(=O))C(=O)C(=O)(O),146.98038675200002,-0.9719780623040511
C(=O)(N(=O)(=O))C(=O)C(=O)(OO),162.97530137200002,-1.1705096814614775
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O),232.98078067600002,-4.481892070403472
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O),216.98586605600002,-3.8302844450783
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O),231.00151612000002,-4.94847793247568
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O),246.99643074000002,-2.852014679316195
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O),232.98078067600002,-4.105314733484926
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O),234.99643074000002,-7.226845046717582
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O),250.99134536000003,-8.148184496429822
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO),176.99095143600002,-1.5340523382350617
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C,219.00151612000002,-3.1067820598361013
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O),250.99134536000003,-6.833945949009994
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O)),307.976423568,-4.047182759303713
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO),278.98625998,-5.272462061189151
C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO),216.98586605600002,-4.101078715672589
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C,216.98586605600002,-1.2739822560777478
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO),248.97569529600003,-1.9432856704836057
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO),220.98078067600002,-2.549596913844633
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O),250.99134536000003,-4.842311935701042
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O),295.976423568,-3.829403513931183
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O),266.98625998000006,-5.121998441717584
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O),234.99643074000002,-2.9637704559137057
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O),250.99134536000003,-4.642193098236461
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO),266.98625998000006,-3.67111717372172
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O)),311.971338188,-2.6643415477106984
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O),220.98078067600002,-2.7878123955960423
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO),252.97060991600003,-4.865511622506672
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O)),297.955688124,-2.3270713095572777
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O)),295.976423568,-4.219952583815979
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO),266.98625998000006,-4.935373286450723
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C,262.9913453600001,-6.388804052293188
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C,278.98625998000006,-5.187707701378365
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O),232.98078067600002,-3.533436070986003
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O),262.99134536,-4.76591444154456
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O)),307.976423568,-4.2537273156274695
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O),220.98078067600002,-5.45506375363328
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O),248.97569529600003,-5.621084035003836
C(=O)(N(=O)(=O))C(=O)C(C(=O))OOC(=O)C(=O),232.98078067600002,-3.931394196702765
C(=O)(N(=O)(=O))C(=O)C(C(=O)C(ON(=O)(=O)))OOC(=O)C(=O),307.976423568,-5.0585996436868985
C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O),234.99643074000002,-4.557362839468088
C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)C(=O),262.99134536,-5.422466661537472
C(=O)(N(=O)(=O))C(=O)C(C(O))C(=O),175.01168688,-4.316407389214272
C(=O)(N(=O)(=O))C(=O)C(C(ON(=O)(=O)))(C(=O))OOC(=O)C(=O),307.976423568,-4.201874820650419
C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O),250.99134536000003,-5.431284929971985
C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O)C(=O),278.98625998000006,-6.144649352992568
C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O),191.00660150000002,-4.82556845513167
C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O)OOC(=O),250.99134536000003,-4.708953981835783
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O),234.99643074000002,-5.52357657119605
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O)C(=O),262.99134536,-6.043859064502535
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OO))OOC(=O),250.99134536000003,-5.364506226325924
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OON(=O)(=O)))OOC(=O),295.976423568,-2.6395959452700613
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O),219.00151612000002,-3.1372358977629524
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)C(=O),246.99643074000002,-4.036971942063332
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(O),175.01168688,-3.4825388133233472
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(OO),191.00660150000002,-4.141459831553478
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)C(=O)C(=O)(OON(=O)(=O)),291.981508948,-1.6593378011443911
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)OOC(=O),219.00151612000002,-2.414990720097539
C(=O)(N(=O)(=O))C(=O)C(C1(O))OOC1(C(=O)(O))C(=O),262.99134536,-7.316057772397925
C(=O)(N(=O)(=O))C(=O)C(N(=O)(=O))(C1(O))OOC1C(=O)(OO),295.976423568,-6.276852364283223
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(=O),204.98586605600002,-2.8787685448503786
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(OO),222.99643074000002,-6.347538010373716
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(OO))C(=O),220.98078067600002,-2.2462637778249896
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O),220.98078067600002,-2.609594843519919
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O)C(=O),248.97569529600003,-3.3166529544040424
C(=O)(N(=O)(=O))C(=O)C(O)(C(ON(=O)(=O)))C(=O)(OO),267.981508948,-3.6011567960611592
C(=O)(N(=O)(=O))C(=O)C(O)(C(OO))C(=O)(OO),238.99134536000003,-6.570702937657961
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O),175.01168688,-0.4380785268412068
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(O),191.00660150000002,-4.079948611256429
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(OO),207.00151612000002,-1.6321224933621197
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)OOC(=O),234.99643074000002,-2.1597684050418917
C(=O)(N(=O)(=O))C(=O)C(O)(C1(=O))OOC1C(=O),232.98078067600002,-3.2431367079289597
C(=O)(N(=O)(=O))C(=O)C(O)(C1(O))OOC1C(=O),234.99643074000002,-4.907345665709157
C(=O)(N(=O)(=O))C(=O)C(O)(C1(O)C(OO))OOC1C(=O),281.00191004400006,-8.024016242043437
C(=O)(N(=O)(=O))C(=O)C(O)(ON(=O)(=O))C(O)(C)C(=O)C(=O),293.997159012,-7.567083664229506
C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)(C)C(=O)C(=O),265.006995424,-7.105090974169778
C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)C(=O)C(=O),250.99134536000003,-5.33295140281243
C(=O)(N(=O)(=O))C(=O)C(O)C(=O),160.99603681600001,-0.5643626418572965
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(O),176.99095143600002,-3.724892037357189
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(OO),192.98586605600002,-3.9516785880671192
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)C(=O)(OO),220.98078067600002,-3.2616137593569823
C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))(C(OO))OC(=O),267.981508948,-4.121245844441456
C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))C(=O)C(O)(C)C(=O)(OO),309.992073632,-4.501964978321944
C(=O)(N(=O)(=O))C(=O)C(OO),148.99603681600001,-1.265760395564545
C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O),222.99643074000002,-5.425305270216634
C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)C(=O),250.99134536000003,-5.687943047864786
