,Average SHAP when zero,Average SHAP when one,ma_shap
carbon atoms,0.0,7.65296608569425,1.605782701014747
ring fragments,-0.9145079759834911,0.0,0.9704661205353522
alkane CH bonds,-0.6649872768117303,-0.547611335277363,0.4897502946997472
oxygen atoms involved in double bonds,-1.2241209176132486,-0.9982632483532338,0.41786350169481723
hydrogen atoms bonded to heteroatoms,1.0421612527234305,0.5756418628021645,0.39792807314951945
hydroxyl groups,1.0428295321977326,0.5756065013684677,0.3978988220773282
carbonyl groups,-0.937928815661629,-0.6535141104726682,0.3901530580559952
non-aromatic rings,-0.3076362268442308,0.30071498964616983,0.32787543088772564
carboxylic acids,0.18492987280210832,-0.5390005949113642,0.32261688596699306
any atom connected to an oxygen atom that is in a ring,0.25709807387447003,0.0,0.3179832081806855
oxygens separated by 3 atoms,0.4511765726996646,0.4096906475481772,0.3122274742966646
heteroatoms bonded to the same nitrogen atom,-0.49440356096748955,-0.30334219797527767,0.27617328346277614
atoms bonded with at least four bonds to other atoms,-0.4021176927498497,-0.06975492799428187,0.2687930997703317
carbon atoms bonded to two carbon atoms and one oxygen atom,0.46497730390651987,0.4129750676043775,0.25705786941397685
methylene bridges connected by non-ring bonds,0.21283867702033527,-0.17173745977197993,0.2506612745620999
hydroxyl groups in an alkyl group,-0.242914673835892,0.06597763597348616,0.21784747274851424
methyl groups,-0.19182342155878726,0.08954054004739563,0.20510248216483
single bonds between an oxygen and carbon,0.8460078579118298,0.5592186020564124,0.1945218682961876
oxygen atoms separated by exactly two bonds,-0.02990954391273938,0.03661070186633685,0.17484881654010206
two heteroatoms bonded together,0.4682860964256971,0.3427249637166152,0.15883144489025006
pairs heteroatoms bonded together,0.46735288234555783,0.3424501413531588,0.15881356172326286
heteroatoms bonded to oxygen,0.4669649081017532,0.3421752140396379,0.15869841671449234
oxygens bonded to non-ring atoms with two bonds,-0.3830894395704521,-0.2180830527421955,0.1527658697187765
isobutanyl groups bonded to an aliphatic carbon,-0.13880332294384837,0.12054561649460306,0.1442538277489338
carbons bonded to two oxygens,0.24411639660339873,0.061818024173080424,0.12738036805736702
alicyclic ether groups,-0.006588648484009102,0.02722918801559242,0.11632071740700727
bonds between two atoms that each have a ring bond,-0.005857015811498664,-0.10990204498492527,0.11608394924198975
"carbons bonded to another carbon, a nitrogen, and an oxygen atom in the structure",-0.06259976760263955,0.2447741571243067,0.1130411587699782
ketone groups,-0.12706113091531232,0.03314816631233864,0.10977875475157518
"atoms bonded to three atoms, one which is a nitrogen",0.06109666154205372,-0.17512401010778952,0.10873468103279182
nitrogen and oxygen atom pairs separated by exactly two atoms,-0.06354120446985247,0.09479563431748596,0.10550742177666748
hydroperoxide groups,-0.14113894884398598,0.04714510337686541,0.1047015434183523
aldehyde groups,0.07289168273589477,-0.08116547567091738,0.08825774944686257
three-membered rings,-0.054158841467640884,0.18451980982161803,0.08557259825892782
heteroatoms at a 2 bond distance from a ring,-0.05420125852402174,0.18446891535461263,0.08554779887843365
oxygen atoms,0.0,0.2555121288295631,0.07749473078449862
