SMILES,molar_mass,log_p_sat,c,volatility
C(=O),30.010564684,2.807517771623312,7771823697.453789,VOC
C(=O)(N(=O)(=O)),74.995642892,1.0126563856290278,311475161.2272704,VOC
C(=O)(N(=O)(=O))C(=O),102.990557512,1.1308987878645131,561600128.1327462,VOC
C(=O)(N(=O)(=O))C(=O)(O),118.985472132,-0.6168491461038254,11597804.75737677,VOC
C(=O)(N(=O)(=O))C(=O)(OO),134.98038675200002,-0.5011975245005873,17171338.315524574,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)(O),146.98038675200002,-0.9719780623040511,6324297.987293752,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)(OO),162.97530137200002,-1.1705096814614775,4439592.536267169,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)C(O)C(=O)(O),232.980780676,-4.481892070403472,3098.5536990105825,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(=O)CC(=O)(O),216.985866056,-3.8302844450783,12938.323390549745,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)C(=O),231.00151612,-4.94847793247568,1049.2232340496605,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)(C)C(=O)OC(=O),246.99643074,-2.852014679316195,140089.95616843805,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(=O)C(=O)(O),232.980780676,-4.105314733484926,7374.564253913074,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O),234.99643074,-7.226845046717582,5.622729884611798,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O),250.99134536000005,-8.148184496429822,0.7197890761221712,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO),176.99095143600002,-1.5340523382350617,2087515.5867126063,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C,219.00151612,-3.1067820598361013,69086.95678353513,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O),250.99134536000005,-6.833945949009994,14.840338214388343,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O)),307.976423568,-4.047182759303713,11144.631507761436,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO),278.98625998,-5.272462061189151,600.9685637401888,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO),216.985866056,-4.101078715672589,6935.595105461528,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C,216.985866056,-1.2739822560777478,4657793.076909414,VOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO),248.97569529600003,-1.9432856704836057,1144464.3912819147,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO),220.980780676,-2.549596913844633,251471.3949628183,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O),250.99134536000005,-4.842311935701042,1455.7198768181108,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O),295.976423568,-3.829403513931183,17684.166914488396,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O),266.98625998000006,-5.121998441717584,813.2451299157834,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O),234.99643074,-2.9637704559137057,103043.78702980233,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O),250.99134536000005,-4.642193098236461,2307.79192540105,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO),266.98625998000006,-3.67111717372172,22966.9190251304,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O)),311.971338188,-2.6643415477106984,272586.37824133306,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O),220.980780676,-2.7878123955960423,145302.507546754,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO),252.97060991600003,-4.865511622506672,1390.8793092335031,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O)),297.955688124,-2.3270713095572777,565993.4071551701,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O)),295.976423568,-4.219952583815979,7195.078482840273,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO),266.98625998000006,-4.935373286450723,1249.817572203663,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C,262.9913453600001,-6.388804052293188,43.337954144821985,SVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C,278.98625998000006,-5.187707701378365,730.4762743693484,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O),232.980780676,-3.533436070986003,27517.883421091206,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O),262.99134536,-4.76591444154456,1818.687226160731,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O)),307.976423568,-4.2537273156274695,6926.616721425291,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O),220.980780676,-5.45506375363328,312.6235937056414,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O),248.97569529600003,-5.621084035003836,240.32774977909494,SVOC
