,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
7,4096,1,8,8,9.291088924588049,223.85803774558957,0.9609594936950907,22.900381590718546,982.5316314401095,0.8274020226511464,0.09099999999999994,0.0010000000000000002,-23.92172079755442
44,8192,1,8,12,8.757916322800206,207.79671653340574,0.9637932821529926,23.062257773718777,1000.4338987515505,0.8244763713784746,0.009999999999999998,0.00010000000000000002,-24.14943252765302
6,4096,1,8,6,8.842927346272308,218.57072026752348,0.9618579519472454,23.075924839914503,994.4222042509589,0.8252764418397154,0.07299999999999997,0.0010000000000000002,-23.89730830562735
2,4096,1,7,12,8.781402700783852,205.83619807139812,0.9641220709052511,23.103939376920657,986.7953878167464,0.826700771515409,0.08199999999999996,0.0010000000000000002,-24.045911471634078
8,4096,1,8,12,8.54474111807828,192.94416793718494,0.9663521044965651,23.10858806133205,991.8869392224442,0.825833755457405,0.09099999999999994,0.0010000000000000002,-24.168905952187195
1,4096,1,7,8,10.971877936385596,279.1536291101118,0.9513601321480747,23.115888142148115,987.3471117310431,0.8267151150362186,0.09999999999999994,0.0010000000000000002,-24.08020859852109
18,4096,1,10,6,9.997845364445856,250.93770479091236,0.9562776524956116,23.13213193092679,1013.6912718413121,0.8221324263671379,0.09999999999999994,0.0010000000000000002,-24.400809476725854
12,4096,1,9,6,9.4423264771529,230.94150031058294,0.9597759282672815,23.13878463400406,998.5314732497214,0.8247741496482686,0.09099999999999994,0.0010000000000000002,-24.125567798056228
50,8192,1,9,12,8.010233280686055,181.3310321282028,0.9684047637463147,23.167562671455947,1031.2369650605951,0.8188712315830277,0.009999999999999998,0.00010000000000000002,-24.224261137914137
13,4096,1,9,8,9.508468820475128,224.00356788804356,0.9609698265531174,23.205624463752468,1010.5353180403732,0.822620797394095,0.09999999999999994,0.0010000000000000002,-24.26275832024484
10,4096,2,8,8,9.49597939731926,239.35419085211112,0.9582568514393817,23.22475849167618,1008.5116977656174,0.8228167548429406,0.09099999999999994,0.0010000000000000002,-24.22643748994101
9,4096,2,8,6,10.221307702954638,269.51870325622514,0.9530038172971562,23.261261301738564,1011.1747057006493,0.8223834335568073,0.09099999999999994,0.0010000000000000002,-24.206959031690822
0,4096,1,7,6,11.231563200231188,297.6407416207186,0.9480944781937557,23.309705066849467,999.3551294669533,0.824600651394768,0.09099999999999994,0.0010000000000000002,-24.152710987056704
14,4096,1,9,12,9.233292709600622,221.33333902133458,0.9614361988438782,23.31069187498509,1034.844226255747,0.818343834433114,0.09999999999999994,0.0010000000000000002,-24.517789456218015
