,CAS,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
0,000050-00-0,1,2,0,1,0,"30,026",6273582438,5634277589,"181,15",,"126,805"
1,000050-21-5,3,6,0,3,0,"90,079","393753,6687","138516,0507","289,95",,"202,965"
2,000050-32-8,20,12,0,0,0,"252,32","0,074449956","0,013316914","449,65",,"314,755"
3,000050-36-2,17,21,1,4,0,"303,36","3,114350973","210,340982","371,15",,"259,805"
4,000050-78-2,9,8,0,4,0,"180,16","244,0982153","635,4302748","408,15",,"285,705"
5,000051-28-5,6,4,2,5,0,"184,11","3861,659597","127,7318174","388,65",,"272,055"
6,000051-79-6,3,7,1,2,0,"89,095","1255303,055","1987603,083","322,15",,"225,505"
7,000053-70-3,22,44,0,0,0,"278,36","0,015828715","0,000230387","542,65",,"379,855"
8,000054-11-5,10,14,2,0,0,"162,24","331276,1493","278969,3889","194,15",,"135,905"
9,000055-18-5,4,10,2,1,0,"102,14","4720523,688","8398140,979",,,
10,000055-63-0,3,5,3,9,0,"227,09","4886,269389","332266,3185","286,65",,"200,655"
11,000056-49-5,21,16,0,0,0,"268,36","0,62014723","0,337475469","453,15",,"317,205"
12,000056-55-3,18,12,0,0,0,"228,3","2,576592273","3,337300467","357,15",,"250,005"
13,000056-81-5,3,8,0,3,0,"92,095","831,742067","395,0774818","291,35",,"203,945"
14,000056-86-0,5,9,1,4,0,"147,13","0,134480035","8,701649342","497,15",,"348,005"
15,000056-87-1,6,14,2,2,0,"146,19","0,041515208","0,036141173","497,65",,"348,355"
16,000057-06-7,4,5,1,0,1,"99,155","19701244,45","19445522,51","193,15",,
17,000057-10-3,16,32,0,2,0,"256,43","5,234981125","760,4498898","334,95",,"234,465"
18,000057-11-4,18,36,0,2,0,"284,49","11,03588696","127,0021058","341,95",,"239,365"
19,000057-13-6,1,4,2,1,0,"60,056","38,74574846","671592,9733","405,85",,"284,095"
20,000057-14-7,2,8,2,0,0,"60,099","526296416,6","542440478,5","215,15",,"150,605"
21,000057-55-6,3,8,0,2,0,"76,096","527587,9415","453971,0195","213,15",,"149,205"
22,000058-86-6,5,10,0,5,0,"150,13","0,00159019","6,054023197","363,65",,"254,555"
23,000059-52-9,3,8,0,1,2,"124,22","33364,39451","98091,31985",,,
24,000060-00-4,10,16,2,8,0,"292,25","2,35703E-05","5,92401E-05","518,15",,"362,705"
25,000060-09-3,12,11,3,0,0,"197,24","14,8417742","55,76266593","400,15",,"280,105"
26,000060-11-7,14,15,3,0,0,"225,3","0,847563248","450,4193259","390,15",,"273,105"
27,000060-12-8,8,10,0,1,0,"122,17","569863,8582","159535,6193","246,15",,"172,305"
28,000060-24-2,2,6,0,1,1,"78,134","7370732,882","3614009,688",,,
29,000060-29-7,4,10,0,1,0,"74,124",2142424636,2146406838,"156,85",,"109,795"
30,000060-33-3,18,32,0,2,0,"280,45","13,07884265","864,8912073","264,65",,"185,255"
31,000060-34-4,1,6,2,0,0,"46,072","123771140,9","157684433,5","220,75",,"154,525"
32,000060-35-5,2,5,1,1,0,"59,068","126999,9533","102552,4623","354,15",,"247,905"
33,000061-82-5,2,4,4,0,0,"84,081","1,988948421","3322,447931","432,15",,"302,505"
34,000062-44-2,10,13,1,2,0,"179,22","6,665775514","26297,06236","410,65",,"287,455"
35,000062-50-0,3,8,0,3,1,"124,16","1374613,054","1221136,839",,,
36,000062-53-3,6,7,1,0,0,"93,129","2452282,996","3958685,408","267,15",,"187,005"
37,000062-56-6,1,4,2,0,1,"76,12","11451,52121","239254,9967","455,15",,
38,000062-75-9,2,6,2,1,0,"74,083","10751945,2","17123468,28",,,
39,000063-25-2,12,11,1,1,0,"201,23","13,53948655","530,6284065","418,15",,"292,705"
40,000063-75-2,8,13,1,2,0,"155,2","659780,9014","1918452,684","430,65",,"301,455"
41,000064-17-5,2,6,0,1,0,"46,07","146693556,2","150753249,6","159,05",,"111,335"
42,000064-18-6,1,2,0,2,0,"46,026","105428257,8","88867679,18","281,45",,"197,015"
