,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
0,CS(S)(=O)=O,1,4,0,2,2,"112,1734",,"2553417,375",,"280,93","196,651"
1,CS(O)(=O)=O,1,4,0,3,1,"96,1068",,"138088,3171","293,15","298,92","205,205"
2,OCS(O)(=O)=O,1,4,0,4,1,"112,1062",,"587,5977808",,"340,32","238,224"
3,COS(O)(=O)=O,1,4,0,4,1,"112,1062",,"47900,68152",,"315,69","220,983"
4,OS(=O)(=O)CS(O)(=O)=O,1,4,0,6,2,"176,171",,"0,496772178","371,15","417,71","259,805"
5,COC(S)=S,2,4,0,1,2,"108,185",,"13157308,17",,"251,96","176,372"
6,OC(=O)CS,2,4,0,2,1,"92,1184","430286,4495","2057245,121","256,65","291,99","179,655"
7,OC(=O)CS,2,4,0,2,1,"92,1184",,"2057245,121","262,15","278,77","183,505"
8,O=S1OCCO1,2,4,0,3,1,"108,1178",,"7854572,031","262,15","278,77","183,505"
9,OS(=O)(=O)C=C,2,4,0,3,1,"108,1178",,"39680,13426",,"308,73","216,111"
10,OC(=O)CS(O)(=O)=O,2,4,0,5,1,"140,1166",,"39,35968841","358,15","384,98","250,705"
11,OC(=O)CS(O)(=O)=O,2,4,0,5,1,"140,1166",,"39,35968841","358,15","384,98","250,705"
12,CS(C)=O,2,6,0,1,1,"78,1348","2564873,191","2615329,712","291,65","223,44","204,155"
13,OCCS,2,6,0,1,1,"78,1348","7400289,861","3620255,438",,"227,56","159,292"
14,CSS(C)(=O)=O,2,6,0,2,2,"126,2002",,"1935514,644",,"287,86","201,502"
15,CCS(O)(=O)=O,2,6,0,3,1,"110,1336",,"49191,43435","256,15","310,01","179,305"
16,COS(=O)OC,2,6,0,3,1,"110,1336",,"71120146,05",,"259,01","181,307"
17,COS(C)(=O)=O,2,6,0,3,1,"110,1336",,"1837270,44","293,15","270,83","205,205"
18,OCCS(O)(=O)=O,2,6,0,4,1,"126,133",,"597,31436",,"350,03","245,021"
19,OS(=O)(=O)CCS(O)(=O)=O,2,6,0,6,2,"190,1978",,"0,035823259","446,15","418,39","312,305"
20,O[CH]([CH](O)S(O)(=O)=O)S(O)(=O)=O,2,6,0,8,2,"222,1966",,"8,34612E-05",,"466,76","326,732"
21,OS(=O)(=O)CC(S(O)(=O)=O)S(O)(=O)=O,2,6,0,9,3,"270,262",,"4,34858E-07",,"495,62","346,934"
22,O=C1OCCS1,3,4,0,2,1,"104,1294",,"1087092,887",,"274,49","192,143"
23,CCOC(S)=S,3,6,0,1,2,"122,2118",,"5399429,264",,"263,76","184,632"
24,CCOC(S)=S,3,6,0,1,2,"122,2118",,"5399429,264",,"263,76","184,632"
25,CCOC(S)=S,3,6,0,1,2,"122,2118",,"5399429,264",,"263,76","184,632"
26,CCOC(S)=S,3,6,0,1,2,"122,2118",,"5399429,264",,"263,76","184,632"
27,SCCOC(S)=S,3,6,0,1,3,"154,2778",,"212537,2029",,"301,3","210,91"
28,OC(=O)CCS,3,6,0,2,1,"106,1452","284460,036","885367,582","291,15","303,34","203,805"
29,OC(=O)CCS,3,6,0,2,1,"106,1452",,"885367,582",,,
30,OC(=O)CCS,3,6,0,2,1,"106,1452",,"885367,582",,,
31,O=S1(=O)CCOC1,3,6,0,3,1,"122,1446",,"1774718,98",,"298,65","213,255"
32,O=S1(=O)CCCO1,3,6,0,3,1,"122,1446",,"1570954,949","304,65","298,65","209,055"
33,OS(=O)(=O)OCC=C,3,6,0,4,1,"138,144",,"3114,853376",,"335,83","235,081"
34,O=S1(=O)CSCS(=O)(=O)C1,3,6,0,4,3,"202,276",,"251,4478318",,"398,34","278,838"
35,OC(=O)CCS(O)(=O)=O,3,6,0,5,1,"154,1434",,"8,295001949",,"393,17","275,219"
36,CS(=O)(=O)OCC(O)=O,3,6,0,5,1,"154,1434",,"4686,676101",,"363,37","254,359"
37,O=S1(=O)CS(=O)(=O)CS(=O)(=O)C1,3,6,0,6,3,"234,2748",,"8,963688066",,"428,5","299,95"
38,CSCCO,3,8,0,1,1,"92,1616",,"4731402,977",,"234,73","164,311"
39,OCCCS,3,8,0,1,1,"92,1616",,"2261551,109",,"239,53","167,671"
40,OC[CH](S)CS,3,8,0,1,2,"124,2276","33425,63432","98271,36489",,"266,96","186,872"
41,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
42,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
43,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
44,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
45,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
46,OC(CS)CS,3,8,0,1,2,"124,2276",,"143061,7149",,,
47,OC[CH](S)CS,3,8,0,1,2,"124,2276",,"98271,36489",,,
48,OC[CH](O)CS,3,8,0,2,1,"108,161",,"58787,31512",,"278,9","195,23"
49,CC(C)S(O)(=O)=O,3,8,0,3,1,"124,1604",,"35144,74572","236,15","310,24","165,305"
50,CCOS(C)(=O)=O,3,8,0,3,1,"124,1604","1376391,182","1222716,439",,"282,56","197,792"
51,CCCOS(O)(=O)=O,3,8,0,4,1,"140,1598",,"2843,520592",,"337,06","235,942"
52,CC(C)(O)S(O)(=O)=O,3,8,0,4,1,"140,1598",,"474,4229316",,"349,92","244,944"
53,CC(C)(O)S(O)(=O)=O,3,8,0,4,1,"140,1598",,"474,4229316",,,
54,C[CH](CO)S(O)(=O)=O,3,8,0,4,1,"140,1598",,"141,0446553",,"351,06","245,742"
55,CS(=O)(=O)CS(C)(=O)=O,3,8,0,4,2,"172,2258",,"6719,357925",,"354,78","248,346"
56,O[CH](C[CH](O)S(O)(=O)=O)S(O)(=O)=O,3,8,0,8,2,"236,2234",,"3,21614E-05",,"472,18","330,526"
57,CSCCCO,4,10,0,1,1,"106,1884",,"1600024,625",,"246,6","172,62"
58,SCCOCCS,4,10,0,1,2,"138,2544",,"2075748,455",,"254,62","178,234"
59,OCCSCCO,4,10,0,2,1,"122,1878","21238,40636","1591,236637","262,95","298,02","184,065"
60,CCSS(=O)(=O)CC,4,10,0,2,2,"154,2538",,"255669,0433",,"310,1","217,07"
61,OCCSSCCO,4,10,0,2,2,"154,2538",,"796,0604302","299,15","328,8","209,405"
62,OCCOSCCO,4,10,0,3,1,"138,1872",,"3390,972111",,"314,31","220,017"
63,CCCCS(O)(=O)=O,4,10,0,3,1,"138,1872",,"6551,41761","257,95","331,4","180,565"
64,CCOS(=O)OCC,4,10,0,3,1,"138,1872",,"20524304,89",,"282,04","197,428"
65,CC(C)(C)S(O)(=O)=O,4,10,0,3,1,"138,1872",,"2625,028849","386,15","320,89","270,305"
66,CC(C)(C)S(O)(=O)=O,4,10,0,3,1,"138,1872",,"2625,028849",,"294,03","205,821"
67,CCCOS(C)(=O)=O,4,10,0,3,1,"138,1872",,"1784722,164",,,
68,CC(C)COS(O)(=O)=O,4,10,0,4,1,"154,1866",,"2082,629",,"337,08","235,956"
69,CCCCOS(O)(=O)=O,4,10,0,4,1,"154,1866",,"1053,76049",,"340,51","238,357"
70,OCCS(=O)(=O)CCO,4,10,0,4,1,"154,1866",,"49,86693343",,"364,57","255,199"
