,Average SHAP when zero,Average SHAP when one,ma_shap
alkane CH bonds,73.2162196011797,64.02298703061169,45.8708870852722
carbon atoms,0.0,-77.86903926231375,30.224038991451703
aromatic CH bonds,21.412225069943,12.869945163946607,24.156163822987725
ring fragments,-14.729308937973592,0.0,13.08949756891193
sulfur atoms,-9.550220573831865,8.988373683430806,11.901757137759473
methylene bridges connected by non-ring bonds,-9.997206445293973,-5.830819155697238,11.313659097921452
hydroxyl groups,-6.6098621926233605,8.429166538383697,9.146262434445939
sulfur atoms bonded to three atoms,4.777258784661503,0.30731504182889247,7.664528426823864
two methylene groups separated by two atoms,-4.9054330094731755,-1.9016875154092001,6.888225774929793
methyl groups,-7.868841782915187,-2.6957822449899354,6.056811290447425
heteroatoms bonded to oxygen,-3.8624980915013176,1.1463621376183077,5.906307022839769
two methylene groups separated by three atoms,-3.5496761465487143,-2.6809213454984,5.4864472024831095
"sulfur atoms bonded to two non-carbon, non-hydrogen atoms",3.361969498327592,-2.1506061855722667,5.424946758988415
nitrogen atoms bonded to at least one hydrogen,-2.8994090084858906,17.42784012559298,5.132651705534607
aromatic rings,-3.7886479975037273,1.323490667512382,4.194172757941255
ester groups,2.3347494028745084,-9.456190811796858,3.995442515418232
heteroatoms bonded to three atoms,-2.6592100356395805,0.30418708047366483,3.9375544804680502
oxygens bonded to non-ring atoms with two bonds,2.7112089584763157,-4.266211774996942,3.9292542933555477
sulfur atoms double-bonded to any atom,-2.4714875645279983,2.737953210938681,3.858618341210531
carbonyl groups,-3.1272404295253726,2.876200454522168,3.7997857233924672
atoms bonded to three heteroatoms,-2.3135134329335796,6.124296981221458,3.789357171061621
single bonds between a nitrogen and carbon,1.952875203416193,-2.4828230794405814,3.2745157401426033
atoms part a ring structure with three bonds connecting them,-1.8883112604627332,0.0,3.233563702171497
oxygen atoms,-4.078362096527941,-1.6564502231715668,2.8171864766634256
six-membered rings,-2.813993548353903,0.75907563700929,2.795289537012478
carbons bonded to both sulfur and oxygen in the same bond path,-1.6213701833939322,0.4421437395742771,2.6493512962877284
oxygens bonded to an aliphatic carbon,1.7316137279625436,-2.591035339157572,2.6120617489504245
double bonds between sulfur and oxygen,-1.5354346489640807,1.9613730215271723,2.469727212317427
hydrogen atoms bonded to heteroatoms,-2.098072792335968,1.4516245331829347,2.433983914161123
heteroatoms bonded to a methylene bridge,-1.9258641178915656,0.5981017775657612,2.3497490944396775
methylene bridges bonded to a heteroatom,-1.9232005185077776,0.5917533565342116,2.348116741620597
five-membered rings,-1.2416162450282942,6.916954966376349,2.173200240967333
nitrogen atoms connected by non-aromatic bonds to two atoms,1.1722713923541066,0.0,2.155045474549193
ethyl groups,1.5261894170797485,-2.0110238041453585,2.0929038913727633
heteroatoms bonded to a methylene group and a hydrogen atom,1.1249858118077587,-7.089455852367471,2.040036088764988
atoms connected to a nitrogen atom and is in a ring,-1.024386392779308,0.0,1.8821323570844477
oxygen atoms involved in double bonds,-2.08710601245015,0.28918054207624794,1.8767781108210302
two methylene groups bonded together,-1.5033399337578337,-0.6361934040133493,1.871336800056377
two methylenes bonded together,-1.4966907984929443,-0.6378202287366634,1.8681626280440036
rings with 8 to 14 members,0.7368797569322928,0.0,1.8571830817597363
sulfur atoms bonded to two oxygen atoms,1.1228602267017043,-1.227692722470268,1.8210971201741715
nitrogen atoms,-1.1258673537015322,2.3928468683335233,1.803354223379771
heteroatoms bonded to a hydrogen atom and separated by two atoms from a methylene group,-0.9874219614567944,4.8331995336812055,1.7062048433134052
nitrogen-containing rings,-0.8885023193636473,8.266180406992143,1.6870796254463587
methyl groups separated by two bonds from a methine group,1.2321593979067842,-0.9409594482607899,1.676520658300524
aromatic carbon or nitrogen atoms,0.8706421363894868,-5.837958181816328,1.6761139728752807
