,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
1,C918NO3,CC1(C)C(CC1C(=O)CC=O)ON(=O)=O,,C9H13NO5,215.2,BPINENE,2,9,13,1,5,0,0,0,28,0.56,-0.89,0,0,1,1,0,0,0,0,1,0,0,0,3,1.8,7.18,1.53,0.84,0,0.84,7.9,7.15,8.21,7.13,8.26,5.13,5.90E-05,1.02,1.46E+04
2,C134CO,CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO,,C13H18O6,270.28,BCARY,3,13,18,0,6,0,0,0,37,0.46,-0.46,0,1,0,5,0,0,0,0,0,0,0,0,6,2.89,10.23,2.08,1.89,0.31,1.23,13,16.05,12.57,14.75,11.5,9.71,1.92E-08,1.8,1.38E+03
3,NBUTACET,CCCCOC(=O)C,,C6H12O2,116.16,NBUTACET,0,6,12,0,2,0,0,0,20,0.33,-1.33,0,0,0,0,0,1,0,0,0,0,0,0,1,0.59,3.34,1.03,0.37,0,0.06,3.3,1.69,3.87,1.84,4.49,2.62,4.23E-01,0.82,7.60E+02
4,PROL1MPAN,CCC(C)(C(=O)OON(=O)=O)O,,C5H9NO6,179.13,UNKNOWN,N/A,5,9,1,6,0,0,0,21,1.2,-0.4,0,1,0,0,0,0,0,0,0,1,0,0,2,1.14,4.42,1.18,0.81,0.17,0.36,5.5,5.85,7.09,6.78,4.85,1.55,3.11E-01,0.5,1.21E+04
5,BCCOOH,C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO,,C15H26O3,254.37,BCARY,1,15,26,0,3,0,0,0,44,0.2,-1.33,0,1,0,0,0,0,0,0,0,0,0,1,2,0.92,8.87,2.14,1.09,0.54,1.01,10,8.14,10.6,7.95,10.44,7.78,1.12E-07,3.52,1.99E+04
6,IPRHOCO2H,CC(C)(C(=O)O)O,,C4H8O3,104.1,UNKNOWN,N/A,4,8,0,3,0,0,0,15,0.75,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,2,0.61,2.72,0.81,0.67,0.74,0.28,5.1,6.36,6.13,7.75,6.48,7.1,1.09E-03,3.32,9.77E+00
7,C3EODBCO2H,CCC(=CC(=O)O)C=O,,C6H8O3,128.13,DIET35TOL,3,6,8,0,3,0,0,0,17,0.5,-0.33,0,0,1,0,1,0,0,0,0,0,0,0,2,1.22,4.53,1,0.74,0.57,0.54,6.7,7.69,7.08,7.3,6.7,6.04,2.42E-03,0.9,5.05E+01
8,DMEBPOXMUC,CCC(=O)C=C(C)C1C(C)(C=O)O1,,C10H14O3,182.22,DIME35EB,1,10,14,0,3,0,0,0,27,0.3,-0.8,0,0,1,1,0,0,1,0,0,0,0,0,3,1.45,6.32,1.46,0.98,0,0.82,6.9,6.95,7.28,6.69,7.68,5.49,2.73E-04,0.83,1.57E+03
9,DNMXYOLOOH,CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O,,C8H10N2O10,294.17,MXYL,3,8,10,2,10,0,0,0,30,1.25,0,0,2,0,0,0,0,0,2,0,0,0,2,6,2.38,9.27,1.68,2.31,0.84,1.73,13.2,19.81,13.45,14.72,13.42,11.15,8.18E-08,0.01,1.17E+01
