,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
13,8192,1,7,6,0.09933420603875744,0.02806714201965988,0.9958093244878633,0.4098302697455883,0.3532766020585302,0.9466679671252564,0.009999999999999998,0.0010000000000000002,-0.4372295113559135
14,8192,1,7,7,0.08879007050544295,0.02345626064350683,0.9964977835226435,0.41019974840703666,0.3569429085805819,0.94610414728006,0.009999999999999998,0.0010000000000000002,-0.4373927148068624
15,8192,1,7,8,0.08007610963013584,0.019687492567645275,0.997060513862586,0.411670485394655,0.35852368641584115,0.9458605093746358,0.009999999999999998,0.0010000000000000002,-0.4387341418116824
12,8192,1,7,5,0.10584595128452805,0.03208074117780773,0.9952102653698882,0.4138599255798726,0.3586728754312413,0.9458650358845675,0.0091,0.0010000000000000002,-0.44006295939419743
16,8192,1,7,9,0.07337467872416767,0.01708226016556972,0.9974495104060338,0.41407219283153623,0.36385483066001445,0.9450594985351582,0.009999999999999998,0.0010000000000000002,-0.441493296503192
5,4096,1,7,8,0.0886902752216229,0.02262025255506585,0.9966226044988264,0.41458458033037104,0.35788684605091053,0.9459694892009676,0.009999999999999998,0.0010000000000000002,-0.44292736189728626
3,4096,1,7,6,0.10802098690374659,0.03143735199248482,0.9953061155616464,0.4146809580163543,0.35592160128048084,0.9462832136186314,0.009999999999999998,0.0010000000000000002,-0.4445015618826277
17,8192,1,7,10,0.06757895391705762,0.014965478149971451,0.9977655778301692,0.4148842478600507,0.3672520477581482,0.944551611186491,0.009999999999999998,0.0010000000000000002,-0.44281252255638376
4,4096,1,7,7,0.09708702921484645,0.026296343409388002,0.9960737131589926,0.4149565914049938,0.3582493043948555,0.9459185234712658,0.009999999999999998,0.0010000000000000002,-0.4428621572499223
6,4096,1,7,9,0.08177996425591162,0.01967926252268496,0.9970617391033301,0.4154123699103283,0.3600735423927092,0.9456383964897379,0.009999999999999998,0.0010000000000000002,-0.4434982240456421
8,4096,1,7,11,0.0715356741799011,0.01580957423899768,0.9976395167709591,0.41549647772424453,0.36017421807869876,0.9456311312765321,0.009999999999999998,0.0010000000000000002,-0.4447647110457632
9,4096,1,7,12,0.06795631167190506,0.014610385895642489,0.9978185728240737,0.4159080804280387,0.3617690176302377,0.9454100957614056,0.009999999999999998,0.0010000000000000002,-0.4468240942605033
11,8192,1,7,4,0.11458895104697557,0.037519211887283695,0.9944030098570658,0.4163935699525981,0.3609166944022855,0.9455794365687294,0.0082,0.0010000000000000002,-0.4416392437516368
18,8192,1,7,11,0.06259184073612878,0.013167049314592182,0.9980341031348369,0.416593243032174,0.3709181147946842,0.9439990420993816,0.009999999999999998,0.0010000000000000002,-0.4448064512095703
7,4096,1,7,10,0.07642421924089221,0.017651753598827598,0.9973644603374229,0.4169896392482041,0.36233032859394376,0.9452983728440019,0.009999999999999998,0.0010000000000000002,-0.44507638035753416
19,8192,1,7,12,0.058717099024630404,0.0118561510987577,0.9982298366158835,0.41913046856346803,0.3754580681426589,0.943323031114739,0.009999999999999998,0.0010000000000000002,-0.4479313829538813
1,4096,1,7,4,0.14094323454036428,0.049286235817181265,0.9926410870547399,0.4204492515343666,0.35995745408201635,0.9457150298237185,0.009999999999999998,0.0010000000000000002,-0.44861023256546073
2,4096,1,7,5,0.12263753331830256,0.038858381416690055,0.9941980389460559,0.42051483608246637,0.3611678229050571,0.9454976161263634,0.009999999999999998,0.0010000000000000002,-0.44723290869179416
10,8192,1,7,3,0.08502900681826273,0.02516453021307417,0.9962348353982019,0.42813381099204656,0.3796870012740705,0.9426934099737861,0.0037000000000000006,0.0010000000000000002,-0.44490083065482394
0,4096,1,7,3,0.16769793389659404,0.06601395846585245,0.9901434925985704,0.43073762657140724,0.36732583901360427,0.9445895540329152,0.009999999999999998,0.0010000000000000002,-0.4530163163504162
