,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
24,8192,1,7,4,0.0948854002948201,0.024509274880707744,0.9943681969421793,0.2850486037052778,0.1750172106019539,0.9590017900831354,0.009999999999999998,0.0010000000000000002,-0.3039756520649017
1,4096,1,7,8,0.06641419212872675,0.014912701288199279,0.9965733646269926,0.28513823437726044,0.17499015390846576,0.9589751130137323,0.009999999999999998,0.0010000000000000002,-0.30160894662805904
0,4096,1,7,4,0.10012993698793511,0.02637542527166354,0.9939394554581217,0.28717579015289113,0.17499677151812296,0.9590140947519895,0.009999999999999998,0.0010000000000000002,-0.3056006464942707
2,4096,1,7,16,0.046830543610657374,0.01081543197287618,0.9975149411400496,0.28724178991333826,0.1764831148805031,0.9586404492097195,0.009999999999999998,0.0010000000000000002,-0.3052004818079736
6,4096,1,8,4,0.075669282250507,0.016910689179638273,0.9961143939063228,0.28760855696082194,0.17342815420143837,0.9593956361356571,0.009999999999999998,0.0010000000000000002,-0.30512165024291343
25,8192,1,7,8,0.06073188145923105,0.01340318387976897,0.9969201783304354,0.28838211866594954,0.1838917463107666,0.9569094108365818,0.009999999999999998,0.0010000000000000002,-0.30866787520321254
7,4096,1,8,8,0.05241102632969091,0.01086569660825513,0.9975035207843768,0.29073421069812444,0.17878811634834338,0.9581207638801711,0.009999999999999998,0.0010000000000000002,-0.3046340972541196
4,4096,2,7,8,0.07030479632697856,0.01876023017828935,0.9956894892914055,0.290871009162208,0.18572157482604595,0.9564756476837936,0.009999999999999998,0.0010000000000000002,-0.3088554282069193
27,8192,2,7,4,0.09935254419231712,0.029603198022470217,0.993198074834939,0.2909352141486865,0.18428811204692264,0.956858086849552,0.009999999999999998,0.0010000000000000002,-0.31024855948028757
30,8192,1,8,4,0.07006794043496896,0.015272475574686282,0.9964907409236023,0.29155733885781765,0.18844253090880891,0.9558753259105461,0.009999999999999998,0.0010000000000000002,-0.3117915265385316
5,4096,2,7,16,0.049850691223820326,0.01348118033592676,0.9969024790587986,0.29214302831944233,0.1869033409791706,0.9562007809791083,0.009999999999999998,0.0010000000000000002,-0.31235361500353276
28,8192,2,7,8,0.06439489774255493,0.01697689182307534,0.9960991963087713,0.2924722618565434,0.1917172801804595,0.9550970180189342,0.009999999999999998,0.0010000000000000002,-0.314046116192911
26,8192,1,7,16,0.06937008970288114,0.014785866289153852,0.996602392631264,0.2942315838956514,0.1849608945501388,0.9566545157981574,0.0010000000000000002,0.00010000000000000002,-0.30935660661894215
31,8192,1,8,8,0.0713948195176938,0.013974225909129851,0.9967889386008606,0.2944112540022801,0.18323831157126236,0.9570456137467739,0.0010000000000000002,0.00010000000000000002,-0.31492646327376483
12,4096,1,9,4,0.06750054356113495,0.01528698389997305,0.9964876108660572,0.2950532341350883,0.1801556483396261,0.9578332775279451,0.009999999999999998,0.0010000000000000002,-0.3136112499849516
3,4096,2,7,4,0.10487491456979958,0.031713404232868794,0.9927132580326805,0.2957249527278168,0.18718313265628533,0.9561846777832269,0.009999999999999998,0.0010000000000000002,-0.3130641722096871
9,4096,2,8,4,0.080470062706295,0.022179985364246552,0.9949039736205043,0.2958659764995192,0.18482526057723347,0.956753203666987,0.009999999999999998,0.0010000000000000002,-0.31309257289429365
10,4096,2,8,8,0.05623435668184127,0.014654980627791261,0.9966330320013823,0.29702495888710834,0.18957457778994172,0.9556099520514751,0.009999999999999998,0.0010000000000000002,-0.3121302315922142
33,8192,2,8,4,0.07449575516415122,0.02027861351603107,0.995340773405322,0.2981737404724736,0.1975595951135402,0.953771551146632,0.009999999999999998,0.0010000000000000002,-0.3185799701816111
32,8192,1,8,16,0.09116711286237153,0.02493356253727438,0.9942554717466461,0.29844627481932695,0.1847271759980968,0.9566735666393364,0.0055000000000000005,0.00010000000000000002,-0.30913521777069364
29,8192,2,7,16,0.0727694803425459,0.01775021829372033,0.9959213148316042,0.3002926408092485,0.1967830462707228,0.9538865724525885,0.0010000000000000002,0.00010000000000000002,-0.3169005133886492
13,4096,1,9,8,0.0496914584286215,0.01326789927409788,0.9969519591025557,0.30172259982353433,0.19244943015759805,0.9549411656407877,0.009999999999999998,0.0010000000000000002,-0.31354393453703927
34,8192,2,8,8,0.07496936602832308,0.01770652579754035,0.9959315239606722,0.30210064838786943,0.19499579071475093,0.954323879124652,0.0010000000000000002,0.00010000000000000002,-0.3235488621178563
8,4096,1,8,16,0.042060380341311106,0.01350316461754871,0.9968977513955444,0.3027193952643389,0.191105433825312,0.9552310844079852,0.009999999999999998,0.0010000000000000002,-0.31430810318676217
35,8192,2,8,16,0.12920921943613672,0.0445724835169074,0.9897576900958134,0.30348612000501324,0.19204796643120792,0.9550063793706798,0.0091,0.00010000000000000002,-0.3164936515678062
18,4096,1,10,4,0.06671484215779483,0.01861639037398739,0.9957229024381948,0.30497169960632825,0.19342317525843353,0.9547222336106417,0.009999999999999998,0.0010000000000000002,-0.32124706436749284
15,4096,2,9,4,0.07244357370223417,0.020636415915956212,0.9952588022987016,0.3053331532914039,0.19250469590437974,0.9549626626820901,0.009999999999999998,0.0010000000000000002,-0.32273782030567705
11,4096,2,8,16,0.04507698036844087,0.016146421555209678,0.9962904570390849,0.30796671082480953,0.20174589632104417,0.9527381426198668,0.009999999999999998,0.0010000000000000002,-0.32216921189373815
36,8192,1,9,4,0.07907380604762364,0.01760790194142034,0.9959534772578008,0.309281409053246,0.20280170623028146,0.952484687220398,0.0028000000000000004,0.00028,-0.3286960572263166
16,4096,2,9,8,0.05362648264369522,0.017101318026658,0.9960713413091252,0.3095876037525462,0.20461892721206718,0.9520993763681431,0.009999999999999998,0.0010000000000000002,-0.321861406931792
37,8192,1,9,8,0.09729127297362326,0.02898907032154776,0.9933365917372472,0.3097447185390224,0.19717338647306498,0.9538448749120201,0.004600000000000001,0.00010000000000000002,-0.3280332234402818
38,8192,1,9,16,0.12411943979066928,0.04058077259591405,0.9906760948150088,0.31013845946252055,0.19218004727470475,0.9549965875371843,0.009999999999999998,0.00010000000000000002,-0.32393283533007217
21,4096,2,10,4,0.07179067342273229,0.02399753425937352,0.9944868195459012,0.3151493818287133,0.20578386048721634,0.9518525594382327,0.009999999999999998,0.0010000000000000002,-0.3308593356233206
41,8192,2,9,16,0.12868757793483915,0.04769557275785991,0.9890416914867952,0.3154526831001994,0.20243471274116037,0.9525990158106881,0.009999999999999998,0.00010000000000000002,-0.3305633872077278
40,8192,2,9,8,0.14956215654568555,0.0596192680584699,0.986300397532094,0.3187658707638237,0.20794302111076574,0.9513161372933213,0.0091,0.00010000000000000002,-0.33515230481649716
39,8192,2,9,4,0.08356304608208778,0.02280909410606228,0.994758761362084,0.3187861548836882,0.21490145466278787,0.9496874198749286,0.0028000000000000004,0.00028,-0.3372951883135306
19,4096,1,10,8,0.05444823455367024,0.02173965343120712,0.9950049028571231,0.320249149419463,0.22038058903920127,0.9483644643263366,0.009999999999999998,0.0010000000000000002,-0.3325773607942109
