,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
72,8192,1,8,4,0.07896956059298381,0.020063960408145332,0.9954783565129801,0.3105025546218111,0.2045395022743656,0.953135487444926,0.009999999999999998,0.0010000000000000002,-0.3273500710241828
46,4096,1,8,8,0.0582525241263967,0.01325543526447871,0.9970127831667679,0.3133737857935092,0.20476324869120482,0.9530918546334666,0.009999999999999998,0.0010000000000000002,-0.3300199439274311
73,8192,1,8,8,0.050100064687422674,0.010280462907535749,0.997683180368608,0.3137029753385182,0.21168535053967114,0.9515105622698001,0.009999999999999998,0.0010000000000000002,-0.33154164693056487
45,4096,1,8,4,0.0850954093091576,0.022151405476815923,0.9950079001745437,0.3141810603218771,0.20335144107966546,0.9534147135876541,0.009999999999999998,0.0010000000000000002,-0.3315263979638482
75,8192,2,8,4,0.08328969986469388,0.02521236376060735,0.9943183773101507,0.3158483725642471,0.212065666217659,0.951438386159495,0.009999999999999998,0.0010000000000000002,-0.3333945744430955
76,8192,2,8,8,0.05347094796949092,0.014251260111314551,0.9967884590337561,0.3173135746573469,0.21926554021196942,0.9497886311552584,0.009999999999999998,0.0010000000000000002,-0.33673290607912004
49,4096,2,8,8,0.06175633630509725,0.01746239123134375,0.9960648759299469,0.3189925655974305,0.21446852602863928,0.9508782797943386,0.009999999999999998,0.0010000000000000002,-0.33627813089504777
48,4096,2,8,4,0.08987009551788279,0.02752006250679223,0.9937982967580531,0.3207431278918356,0.2129504115282777,0.9512397550965938,0.009999999999999998,0.0010000000000000002,-0.33892818582151607
47,4096,1,8,16,0.045249119768973736,0.013381309844364619,0.9969847668908789,0.3236314132289491,0.21681317667004252,0.9503539253477522,0.009999999999999998,0.0010000000000000002,-0.33923613158627397
74,8192,1,8,16,0.13790222584339956,0.04634137917085771,0.9895553243305937,0.3240723260186348,0.2115453681997992,0.9515141722840218,0.0091,0.00010000000000000002,-0.33690323666462463
77,8192,2,8,16,0.15201092868182464,0.056974401490477646,0.9871605880588674,0.3269413762502051,0.21684965407031495,0.9503114202473526,0.009999999999999998,0.00010000000000000002,-0.3439731240063837
50,4096,2,8,16,0.04837610036333226,0.016712307653147282,0.9962341475257789,0.3295893030251371,0.22837886247738517,0.9477037270827516,0.009999999999999998,0.0010000000000000002,-0.34655689697578734
78,8192,3,8,4,0.09420541114033461,0.0394277974902255,0.9911160057092957,0.3313834350996092,0.23626576618352763,0.9459783027652511,0.009999999999999998,0.0010000000000000002,-0.34984955179715777
79,8192,3,8,8,0.06349175659733285,0.02576773658947027,0.9941942671115477,0.33438897611810686,0.2442493995412219,0.9441802915123961,0.009999999999999998,0.0010000000000000002,-0.3543083344023218
51,4096,3,8,4,0.10021144183696004,0.04180440333690433,0.99058037452093,0.3366357629930638,0.23767230381003018,0.9456479473719102,0.009999999999999998,0.0010000000000000002,-0.3545480640544132
52,4096,3,8,8,0.07168914956443186,0.029163082519231692,0.9934291428438392,0.3375725107676044,0.24159538825365975,0.9447737702252889,0.009999999999999998,0.0010000000000000002,-0.3533405371781656
