SMILES,molar_mass,log_p_sat
CC1(C)C(CC1C(=O)CC=O)ON(=O)=O,215.079372516,-4.229147988357856
CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO,270.110338296,-7.716698771296451
CCCCOC(=O)C,116.083729624,-0.3736596326249576
CCC(C)(C(=O)OON(=O)=O)O,179.042987008,-0.5072396109731625
C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO,254.188194692,-6.950781977329818
CC(C)(C(=O)O)O,104.047344116,-2.962573502059376
CCC(=CC(=O)O)C=O,128.047344116,-2.616184634019569
CCC(=O)C=C(C)C1C(C)(C=O)O1,182.094294308,-3.563837352959244
CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O,294.03354451999996,-7.087246696328677
CC(C)(C(C)(C)ON(=O)=O)O,163.084457896,-1.1951793212788375
CC(C)C(COO)O,120.078644244,-3.024568191490737
Cc1ccc(C)c(c1O)O,138.06807956,-2.939302159646388
CCCC(C)(CC)ON(=O)=O,161.10519334,-0.6345120151091003
CCCCCCC(=O)C(CC(=O)CC)O,214.156894564,-4.684029654543083
CCCC(=O)OCC=O,130.06299418,-1.7328282715969865
CC1=CC(=O)C=CC1=O,122.036779432,-1.7721132953863266
C=C(CC=O)C1CC(C)(C)C1CCC(=O)O,224.1412445,-6.3448615651886175
CC(C)(C(CO)OO)O,136.073558864,-3.142064735280571
C(=O)C1C(C(=O)O)O1,116.01095860800001,-3.72584215073632
C(C(=O)OO)(Cl)O,125.97198625600001,-0.7351821769904635
CCCCOC(=O)C(=O)C,144.078644244,-1.6289321377282635
C(=CC=O)C=O,84.021129368,-0.6020599913279624
CCC(C)(CC(=O)OON(=O)=O)O,193.058637072,-1.3575354797578787
CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO,246.110338296,-6.309803919971486
CCCCC(C(=O)OON(=O)=O)O,193.058637072,-1.138465589140962
CCCC(CC(=O)OON(=O)=O)O,193.058637072,-1.91721462968355
CCC(=O)C(C(C1C(C=O)O1)O)OO,204.063388104,-5.073143291050307
CC(=O)C(C(C(=O)C)OO)O,162.05282342,-3.882728704344236
CC(C)C12C=CC(C(C1O)OO2)O,186.089208928,-6.042392712939905
CCCC(=O)C,86.07316494,0.7442929831226762
CC(=O)CON(=O)=O,119.02185764000001,-0.8096683018297085
CC(=O)C(=O)COO,118.02660867200001,-1.7328282715969865
CCCCC(CC)O,116.120115132,-1.2321023839819094
CCC(=C(C)C(=O)C=O)C(=O)C=O,182.0579088,-2.2781893847874533
CCC1=CC(=O)C=CC1=O,136.052429496,-2.073143291050308
C(=O)C(C(CON(=O)=O)O)O,165.027336944,-2.978810700930062
CCC(=O)CC(CO)ON(=O)=O,177.063722452,-3.7772835288524167
C(C=O)C(CC=O)O,116.047344116,-2.401209493236885
CC(=O)OCCC(=O)O,132.042258736,-4.132532512140949
CC(C)(C1CC(=O)CCC1=O)ON(=O)=O,215.079372516,-4.655607726314889
C(C=O)C(C(=O)CC=O)O,144.042258736,-3.54515513999149
C(C(=O)Cl)ON(=O)=O,138.967235224,0.5670263661590603
CCC12C=CC(C(C1ON(=O)=O)OO2)(O)OO,249.04846631200002,-5.6777807052660805
CCC12C(C(C(=CC1(O)O)C)OO2)ON(=O)=O,247.069201756,-5.903089986991944
CC(=O)C(CC=O)CCOO,160.073558864,-3.616184634019569
C(C(C(CO)(CO)OO)ON(=O)=O)O,213.04846631200002,-6.092588639225414
CC(=O)CC(=O)CON(=O)=O,161.032422324,-2.616184634019569
CC(=O)CC(=O)C(C)ON(=O)=O,175.048072388,-2.472370099128661
CC(=O)C(=O)CC(CO)C(C)(CO)OO,220.094688232,-7.235823867609669
C(C(=O)C(=O)CO)O,118.02660867200001,-2.5100415205751654
C=C(C)C(=O)CCO,114.06807956,-1.4045037781744258
CC(C(=O)C)C(=O)C,114.06807956,-0.7721132953863264
CC(=O)C(CC(=O)O)O,132.042258736,-4.718966632752273
CC(=O)CCC=O,100.052429496,-0.906578314837765
CC(C)C(C(=O)C)OO,132.078644244,-2.0555173278498318
c1ccc(cc1)OO,110.036779432,-1.4647058799572297
CC(=O)C(C(C1(C)C(C=O)O1)O)ON(=O)=O,233.053551692,-4.8297382846050425
C(CCC(=O)OON(=O)=O)CC=O,191.042987008,-1.9507819773298185
C=C(C)C(CCO)ON(=O)=O,161.068807832,-2.494850021680094
CCC(=O)C(CC(=O)C)OO,160.073558864,-3.844663962534938
C=C(CCC=O)C(=O)CC(C)(C)OO,200.104858992,-4.835647144215563
CC(C)OC(C)(C)O,118.099379688,-1.3555614105321614
C=C(CCO)C(=O)OON(=O)=O,177.027336944,-2.162411561764489
CC1C(C)(C(C)(C(=O)O1)OO)O,176.068473484,-6.131355561605174
CC(=O)C(CC(=O)CC(=O)OO)O,190.04773804,-5.696803942579511
CCOC(C)(C)CO,118.099379688,-0.8068754016455384
C=C(CCON(=O)=O)C1CC(C)(C)C1CC=O,241.131408088,-4.51427857351842
C=C(C)C(CCC(=O)O)COO,174.089208928,-4.863279432843593
CC1(C)C(=O)CCC(=O)C1OO,172.073558864,-4.407823242604133
CC1(C)CC(C1CCC(=O)OC)C(=O)O,214.120509056,-5.987162775294828
CC(C(=O)C)C(C)OO,132.078644244,-2.7644715530924517
CC1=CC(=O)OC1=O,112.016043988,-1.987162775294828
C(C(=O)C=O)C(=O)OO,132.005873228,-1.576754126063192
CCC(=O)C(C(C(=O)C)OO)O,176.068473484,-3.844663962534938
CC(=O)CCC(=O)C(C)(C)OO,174.089208928,-3.896196279044043
CCCC12C(C(C=C(C1(O)OO)N(=O)=O)(N(=O)=O)OO2)ON(=O)=O,353.03427279199997,-5.586700235918748
CCC(=O)C(=O)C,100.052429496,0.2718416065364989
CCCC(=O)C(=O)C,114.06807956,0.0
CC(C(=O)OO)O,106.02660867200001,-1.2225731776106885
CCC12C(C(C(=C(C1(O)OO)N(=O)=O)C)(N(=O)=O)OO2)ON(=O)=O,353.03427279199997,-5.261219441515631
C(C(=O)COO)ON(=O)=O,151.01168688,-2.607303046740334
CC(C=O)O,74.036779432,0.2148438480476978
CC(C=O)(CON(=O)=O)O,149.032422324,-1.3635121036466349
