,Average SHAP when zero,Average SHAP when one,ma_shap
methylene bridges connected by non-ring bonds,-1.1075851830885952,-0.3049298197761609,0.8840266148970329
oxygen atoms separated by exactly two bonds,1.137760200063788,0.08748159692828322,0.823979425879386
single bonds between an oxygen and carbon,-1.3516611953417057,-0.5725959693419699,0.662649657045587
oxygens bonded to non-ring atoms with two bonds,0.6686537576808093,-0.15194422402700694,0.4959620835321044
carbonyl groups,0.6655038647074417,0.15215380851892416,0.48423771465902155
hydrogen atoms bonded to heteroatoms,-0.7137973054641562,-0.08379035463570435,0.42206934453323475
hydroxyl groups,-0.7133318076694785,-0.08335775911352052,0.4216357385272007
atoms bonded with at least four bonds to other atoms,0.3430926002624494,-0.38592867889849924,0.4202670959776336
alkane CH bonds,0.4950714440492968,0.67289603578723,0.41845182892796134
ring fragments,-0.28300648324250555,0.0,0.4007417617796331
ethyl groups,0.265577234715034,-0.622608885193679,0.39381358960976975
oxygen atoms,-1.1572248029170658,-0.7665233905905968,0.3162612089479857
oxygens separated by 3 atoms,0.300628221305769,0.06957817239757234,0.29849337690353756
hydroperoxide groups,-0.1982521702836564,0.5312649755348525,0.2888252182819286
hydroxyl groups in an alkyl group,0.2545406338843009,-0.11076994409862807,0.25194984182673075
nitrogen and oxygen atom pairs separated by exactly three atoms,-0.16199603267508442,0.3051335731444491,0.25163448290178486
"heteroatoms bonded to two oxygen atoms, where the heteroatom is also bonded to one other oxygen atom",-0.15352214008943868,0.3692478062606716,0.2303851569790773
oxygen atoms involved in double bonds,-0.3820812741302832,-0.09138206604058505,0.21863647599798944
heteroatoms bonded to a nitrogen atom,0.13876316424106458,0.0,0.19350914543470701
hydroxylamine groups,0.1386876325873171,0.0,0.19350346128894072
ketone groups,-0.15548106374407591,0.1553772475026723,0.1805873530410123
carbon atoms,0.0,-0.03645499343644961,0.1760195716813022
two heteroatoms bonded together,0.1587314937028989,0.07005728341777603,0.17207634884835452
pairs heteroatoms bonded together,0.1589466352754755,0.06999672768613212,0.1720677110104486
heteroatoms bonded to oxygen,0.15893717002832386,0.07010585398649911,0.1720102847502495
methyl groups bonded to the same atom with a single bond between them,0.10521475631388602,-0.32550622075430113,0.16179825818022053
carbons bonded to two oxygens,0.11815927148899069,-0.15580098376272886,0.15920492399874328
bonds between two atoms that each have a ring bond,-0.06581486625457279,0.1394453580354234,0.1545233161973135
heteroatoms bonded to the same nitrogen atom,0.10029364567105423,-0.050550344373346934,0.1502251313808191
carboxylic acids,-0.07847678926975309,0.9685731123222991,0.14589232284395678
methyl groups separated by two bonds from a methine group,0.11211521739595563,-0.07042967066892057,0.14583759261887486
