SMILES,molar_mass,log_p_sat,c,volatility
CC1(C)C(CC1C(=O)CC=O)ON(=O)=O,215.079372516,-4.229147988357856,5296.609601121127,IVOC
CC(=O)CCC(=O)C(C)(C)C(=O)C(=O)C(=O)CCO,270.110338296,-7.716698771296451,2.1646596736364696,SVOC
CCCCOC(=O)C,116.083729624,-0.3736596326249576,20495518.581020698,VOC
CCC(C)(C(=O)OON(=O)=O)O,179.042987008,-0.5072396109731625,23241539.646418914,VOC
C\C1=CCCC(CO)(C2CC(C)(C)C2CC1)OO,254.188194692,-6.950781977329818,11.882849326956697,SVOC
CC(C)(C(=O)O)O,104.047344116,-2.962573502059376,47337.43131328043,IVOC
CCC(=CC(=O)O)C=O,128.047344116,-2.616184634019569,129340.08201905379,IVOC
CCC(=O)C=C(C)C1C(C)(C=O)O1,182.094294308,-3.563837352959244,20749.430245499683,IVOC
CC1=C(C2(C(C(C)(C1(O)OO)OO2)O)N(=O)=O)N(=O)=O,294.03354452,-7.087246696328677,10.039159955676618,SVOC
CC(C)(C(C)(C)ON(=O)=O)O,163.084457896,-1.1951793212788375,4342906.146953889,VOC
CC(C)C(COO)O,120.078644244,-3.024568191490737,47363.60770507572,IVOC
Cc1ccc(C)c(c1O)O,138.06807956,-2.939302159646388,66273.25714955344,IVOC
CCCC(C)(CC)ON(=O)=O,161.10519334,-0.6345120151091003,15600722.661554044,VOC
CCCCCCC(=O)C(CC(=O)CC)O,214.156894564,-4.684029654543083,1850.3317334633875,IVOC
CCCC(=O)OCC=O,130.06299418,-1.7328282715969865,1004321.2852952763,IVOC
CC1=CC(=O)C=CC1=O,122.036779432,-1.7721132953863266,860844.3505242626,IVOC
C=C(CC=O)C1CC(C)(C)C1CCC(=O)O,224.1412445,-6.3448615651886175,42.28705151093724,SVOC
CC(C)(C(CO)OO)O,136.073558864,-3.142064735280571,40950.21621929129,IVOC
C(=O)C1C(C(=O)O)O1,116.010958608,-3.72584215073632,9103.409009471092,IVOC
C(C(=O)OO)(Cl)O,125.971986256,-0.7351821769904635,9674733.062575407,VOC
CCCCOC(=O)C(=O)C,144.078644244,-1.6289321377282635,1413235.9173445825,IVOC
C(=CC=O)C=O,84.021129368,-0.6020599913279624,8767498.78747086,VOC
CCC(C)(CC(=O)OON(=O)=O)O,193.058637072,-1.3575354797578787,3537536.6432527835,VOC
CCC12C=C(C)C(C(CC)(C1O)OO2)(O)OO,246.110338296,-6.309803919971486,50.3353541340925,SVOC
CCCCC(C(=O)OON(=O)=O)O,193.058637072,-1.138465589140962,5858289.611947095,VOC
CCCC(CC(=O)OON(=O)=O)O,193.058637072,-1.91721462968355,975038.5736528175,IVOC
CCC(=O)C(C(C1C(C=O)O1)O)OO,204.063388104,-5.073143291050307,719.7289850477075,IVOC
CC(=O)C(C(C(=O)C)OO)O,162.05282342,-3.882728704344236,8860.843961617496,IVOC
CC(C)C12C=CC(C(C1O)OO2)O,186.089208928,-6.042392712939905,70.44913544011193,SVOC
CCCC(=O)C,86.07316494,0.7442929831226762,199392099.62136784,VOC
CC(=O)CON(=O)=O,119.02185764,-0.8096683018297085,7700263.972195197,VOC
CC(=O)C(=O)COO,118.026608672,-1.7328282715969865,911378.6443856388,IVOC
CCCCC(CC)O,116.120115132,-1.2321023839819094,2840221.854189923,IVOC
CCC(=C(C)C(=O)C=O)C(=O)C=O,182.0579088,-2.2781893847874533,400467.573340074,IVOC
CCC1=CC(=O)C=CC1=O,136.052429496,-2.073143291050308,479855.1955068285,IVOC
C(=O)C(C(CON(=O)=O)O)O,165.027336944,-2.978810700930062,72325.65602539845,IVOC
CCC(=O)CC(CO)ON(=O)=O,177.063722452,-3.7772835288524167,12342.219118351275,IVOC
C(C=O)C(CC=O)O,116.047344116,-2.401209493236885,192297.17463800558,IVOC
CC(=O)OCCC(=O)O,132.042258736,-4.132532512140949,4061.8850019091956,IVOC
CC(C)(C1CC(=O)CCC1=O)ON(=O)=O,215.079372516,-4.655607726314889,1983.9842743182564,IVOC
C(C=O)C(C(=O)CC=O)O,144.042258736,-3.54515513999149,17134.915772680666,IVOC
C(C(=O)Cl)ON(=O)=O,138.967235224,0.5670263661590603,214035580.2667918,VOC
CCC12C=CC(C(C1ON(=O)=O)OO2)(O)OO,249.048466312,-5.6777807052660805,218.29830186555225,SVOC
CCC12C(C(C(=CC1(O)O)C)OO2)ON(=O)=O,247.069201756,-5.903089986991944,128.90679660645728,SVOC
CC(=O)C(CC=O)CCOO,160.073558864,-3.616184634019569,16168.962640721073,IVOC
C(C(C(CO)(CO)OO)ON(=O)=O)O,213.048466312,-6.092588639225414,71.85168610626677,SVOC
