Num,Ligand_SMILES,Product_SMILES,Temp (K),∆∆G (Kcal/mol),ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ref
1,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.346452165721493,-27.9881409798312,L1,Ligand_352,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
2,CC([C@@H]1N=C(C2=NC=CC=C2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.478484781281722,-37.7498961850257,L2,Ligand_353,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
3,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=NC=CC=C1,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.0480124146992594,-3.98289601153031,L3,Ligand_354,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
4,[H][C@@]12N=C(C3=NC=CC=C3)O[C@]1([H])CC4=C2C=CC=C4,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.15141648170304,-12.5017360092806,L4,Ligand_355,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
5,C1(C2=N[C@@H](CC3=CC=CC=C3)CO2)=NC=CC=C1,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.253107122592745,-20.7040702126592,L5,Ligand_356,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
6,CC([C@@H]1N=C(C2=NC=CC3=C2C=CC=C3)OC1)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.976619608229728,-66.9915009421768,L6,Ligand_357,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
7,CC([C@@H]1N=C(C2=NC3=CC=CC=C3C=C2)OC1)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.0702888286819833,-5.82732469272266,L7,Ligand_358,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
8,CC([C@@H]1N=C(C2=NC3=CC=CC=C3C=C2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.113229916670745,-9.37044976904891,L8,Ligand_359,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
9,FC(C1=CN=C(C2=N[C@@H](C(C)C)CO2)C=C1)(F)F,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.844075500014752,-60.4734552700042,L9,Ligand_360,Pyox,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
10,CC([C@@H]1N=C(CC2=N[C@@H](C(C)(C)C)CO2)OC1)(C)C,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)C,303.15,0.0853065224358369,-7.06858647122128,L10,Ligand_55,Box,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
11,CC(C1=N[C@H](C(C)C)CO1)(C2=N[C@H](C(C)C)CO2)C,O=C(C1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C,303.15,0.246877822760553,-20.2086787250419,L11,Ligand_56,Box,P_1,NiH,HTE,10.1002/anie.202011342,"Angew. Chem. Int. Ed. 2021, 60, 1605−1609"
