Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind,Dipole X,Dipole Y,Dipole Z,Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV),Cavity surface area,Cavity volume,1_Ele,2_Ele,3_Ele,4_Ele,5_Ele,1_Nuc,2_Nuc,3_Nuc,4_Nuc,5_Nuc,1_Population,1_Net charge,1_Effective V,1_polarizabilities,1_Isotropic,1_Anisotropy,2_Population,2_Net charge,2_Effective V,2_polarizabilities,2_Isotropic,2_Anisotropy,3_Population,3_Net charge,3_Effective V,3_polarizabilities,3_Isotropic,3_Anisotropy,4_Population,4_Net charge,4_Effective V,4_polarizabilities,4_Isotropic,4_Anisotropy,5_Population,5_Net charge,5_Effective V,5_polarizabilities,5_Isotropic,5_Anisotropy,1_NBO,2_NBO,3_NBO,4_NBO,5_NBO,Volume (right),Overall_surface (right),Fast_dis (right),Radius (right),Lengh_X (right),Lengh_Y (right),Lengh_Z (right),Mulliken (right),Hardness (right),Ele_ind (right),Softness (right),Nuc_ind (right),Dipole X (right),Dipole Y (right),Dipole Z (right),Dipole Tot (right),HOMO(a.u.) (right),HOMO(eV) (right),LUMO(a.u.) (right),LUMO(eV) (right),gap(a.u.) (right),gap(eV) (right),Temp (K),∆∆G (Kcal/mol)
1,1408.19985,784.3679,10.413,6.406,12.803,6.955,6.36,0.138697,0.321288,0.029937,3.112471,0.101457,0.1834,-1.0916,-0.2191,1.1284,-0.233741,-6.360409,-0.045638,-1.241861,0.188103,5.118548,232.443,213.365,0.0538,0.02451,0.01419,0.01356,0.0712,0.15768,0.25007,0.06832,0.07462,0.39802,5.46645488,0.53354512,30.179,11.299,33.0626,62.1941,8.48894184,-0.48894184,20.266,5.393,165.1293,159.9284,6.06175553,-0.06175553,28.48,10.663,123.7103,77.986,6.01228605,-0.01228605,29.857,11.179,118.7093,50.7265,7.48290002,-0.48290002,24.732,7.26,25.1943,261.312,0.5509,-0.51531,-0.12369,-0.10716,-0.5249,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.346452165721493
2,1534.2557,832.81432,10.441,6.42,12.823,7.323,6.474,0.138821,0.318992,0.030206,3.134872,0.101351,-0.2821,1.074,-0.1017,1.1151,-0.233846,-6.363268,-0.046246,-1.258412,0.1876,5.104857,248.888,230.783,0.05433,0.02455,0.0138,0.01263,0.06983,0.15556,0.24731,0.06644,0.07304,0.385,5.46099944,0.53900056,30.142,11.286,33.0583,62.8539,8.49030217,-0.49030217,20.261,5.392,163.8261,161.3844,6.06170961,-0.06170961,28.511,10.675,122.1042,75.7415,6.00873029,-0.00873029,30.012,11.237,114.464,42.4698,7.48856777,-0.48856777,24.591,7.219,27.4006,266.9276,0.54223,-0.52021,-0.12381,-0.12439,-0.49998,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.478484781281722
3,1566.73719,872.03087,11.805,7.102,14.072,7.944,5.701,0.138478,0.309923,0.030937,3.226606,0.099379,0.1867,-0.8685,-0.4692,1.0047,-0.235819,-6.416973,-0.048861,-1.329588,0.186958,5.087385,256.728,240.492,0.05456,0.02493,0.01332,0.01365,0.06868,0.11012,0.16118,0.05803,0.05212,0.22088,5.46581762,0.53418238,30.085,11.264,30.1567,66.2975,8.48306392,-0.48306392,20.242,5.387,164.2496,170.0595,6.05145693,-0.05145693,28.292,10.593,114.657,68.4834,6.1016418,-0.1016418,29.734,11.133,119.2416,49.8926,7.47824111,-0.47824111,24.684,7.246,31.2877,253.5974,0.54174,-0.55397,-0.11738,-0.11535,-0.47845,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.0480124146992594
4,1613.37485,886.83442,10.744,6.572,13.101,8.067,6.945,0.137398,0.308911,0.030556,3.237176,0.101032,-0.7151,2.2117,-1.1708,2.6026,-0.234165,-6.371964,-0.046821,-1.274073,0.187344,5.09789,257.68,246.377,0.05016,0.01991,0.01004,0.01435,0.06505,0.11929,0.13069,0.03375,0.04244,0.25264,5.46437047,0.53562953,30.241,11.322,34.5299,62.9592,8.5257303,-0.5257303,20.084,5.345,138.8743,161.6795,5.89129042,0.10870958,29.254,10.953,107.3688,54.5075,6.13716431,-0.13716431,29.717,11.126,111.0733,39.1121,7.43240552,-0.43240552,25.006,7.34,23.1233,273.9292,0.53481,-0.55733,0.07199,-0.09859,-0.4589,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.15141648170304
5,1695.68021,936.20571,12.139,7.27,14.514,9.033,5.413,0.135062,0.303012,0.030101,3.300202,0.106782,2.4299,1.6491,0.2642,2.9485,-0.228416,-6.215506,-0.049231,-1.339647,0.179185,4.875859,274.187,257.928,0.051,0.0219,0.01358,0.01274,0.06736,0.11223,0.14665,0.04985,0.05339,0.17104,5.46899556,0.53100444,30.1,11.27,35.1301,64.0179,8.51659171,-0.51659171,20.089,5.346,163.8284,180.7852,6.05459278,-0.05459278,28.265,10.583,118.8229,68.0083,6.01952179,-0.01952179,29.633,11.095,119.3093,42.6049,7.44340178,-0.44340178,24.621,7.227,22.7506,283.9435,0.54283,-0.56228,0.26296,-0.08291,-0.45815,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.253107122592745
6,1737.21383,929.25579,9.718,6.059,11.969,9.448,6.564,0.143987,0.279596,0.037076,3.576594,0.110534,-0.2742,1.3026,0.1194,1.3365,-0.224663,-6.113383,-0.064886,-1.765648,0.159776,4.347735,273.041,260.263,0.0381,0.02012,0.01474,0.01267,0.05555,0.07818,0.12623,0.05043,0.05241,0.24918,5.4243573,0.5756427,30.145,11.287,32.4955,63.2531,8.48420656,-0.48420656,20.319,5.407,155.881,169.9652,6.06423761,-0.06423761,28.391,10.63,121.4543,66.7721,6.01264083,-0.01264083,29.763,11.144,117.437,39.3584,7.50421249,-0.50421249,24.313,7.137,22.5498,276.9958,0.55251,-0.52758,-0.12174,-0.11141,-0.51741,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.976619608229728
7,1742.86717,944.64103,12.614,7.507,14.999,7.883,6.638,0.14418,0.286899,0.036229,3.485546,0.104359,-0.2779,0.783,0.0697,0.8338,-0.230839,-6.281436,-0.060749,-1.653062,0.17009,4.628374,279.256,262.198,0.03462,0.01569,0.01282,0.01269,0.06284,0.1055,0.15405,0.05013,0.05734,0.30437,5.46753806,0.53246194,30.172,11.297,32.7203,62.2693,8.49073485,-0.49073485,20.269,5.394,166.0527,159.7826,6.06167248,-0.06167248,28.479,10.663,123.6109,78.4683,6.01225458,-0.01225458,29.847,11.175,118.5024,50.8036,7.48164554,-0.48164554,24.708,7.253,19.5072,268.3687,0.55725,-0.50968,-0.11707,-0.11848,-0.51948,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.0702888286819833
8,1868.95262,993.10977,12.636,7.518,15.012,7.84,6.615,0.144339,0.2855,0.036486,3.502623,0.104143,-0.4353,0.7619,0.0641,0.8798,-0.231054,-6.2873,-0.061198,-1.665278,0.169856,4.622021,295.846,279.632,0.03504,0.01562,0.01246,0.01181,0.06195,0.10552,0.15482,0.04904,0.05624,0.29877,5.46208829,0.53791171,30.137,11.284,32.7296,63.4849,8.49207273,-0.49207273,20.263,5.392,164.7913,161.251,6.06167536,-0.06167536,28.511,10.675,121.9509,76.2841,6.00867806,-0.00867806,30.005,11.234,114.2312,42.5976,7.48741418,-0.48741418,24.568,7.212,21.5682,274.0917,0.5512,-0.51486,-0.11717,-0.11788,-0.51348,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.113229916670745
9,1620.13848,901.01744,11.574,7.122,14.027,6.641,6.317,0.155368,0.310046,0.038929,3.225333,0.090161,-2.6996,-0.8879,-0.4455,2.8766,-0.245037,-6.667791,-0.066342,-1.805252,0.178695,4.862539,278.702,257.784,0.05758,0.028,0.01727,0.01639,0.085,0.14796,0.23994,0.06335,0.06855,0.35431,5.46118259,0.53881741,30.115,11.275,33.6761,61.9623,8.48911712,-0.48911712,20.245,5.388,164.3686,159.2753,6.06311629,-0.06311629,28.434,10.646,123.3691,79.0008,6.01438236,-0.01438236,29.819,11.165,118.494,50.9348,7.47933268,-0.47933268,24.679,7.245,17.7652,271.9768,0.54179,-0.55453,0.07952,-0.10205,-0.45917,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.844075500014752
10,2086.71478,1087.73736,11.698,7.049,13.894,8.288,6.591,0.108642,0.38197,0.01545,2.618008,0.095914,0.684,-0.5007,-0.9908,1.3039,-0.239283,-6.511216,0.020222,0.550277,0.259505,7.061493,328.287,310.459,0.03573,0.0137,0.00654,0.00661,0.03712,0.09065,0.21938,0.05645,0.05188,0.24014,5.43280067,0.56719933,30.239,11.322,34.0355,68.544,8.48862398,-0.48862398,20.172,5.368,156.4229,180.81,6.06193926,-0.06193926,28.595,10.706,121.9815,74.9668,6.01530173,-0.01530173,30.011,11.237,114.5184,44.2359,7.4609057,-0.4609057,24.71,7.254,28.135,250.1751,0.50976,-0.5202,-0.12133,-0.10761,-0.46824,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.0853065224358369
