Num,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),ExactMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumHBD (#1),NumHBA (#1),NumAmideBonds (#1),NumHeteroAtoms (#1),NumHeavyAtoms (#1),NumAtoms (#1),NumStereocenters (#1),NumUnspecifiedStereocenters (#1),NumRings (#1),NumAromaticRings (#1),NumSaturatedRings (#1),NumAliphaticRings (#1),NumAromaticHeterocycles (#1),NumSaturatedHeterocycles (#1),NumAliphaticHeterocycles (#1),NumAromaticCarbocycles (#1),NumSaturatedCarbocycles (#1),NumAliphaticCarbocycles (#1),FractionCSP3 (#1),Chi0v (#1),Chi1v (#1),Chi2v (#1),Chi3v (#1),Chi4v (#1),Chi1n (#1),Chi2n (#1),Chi3n (#1),Chi4n (#1),HallKierAlpha (#1),kappa1 (#1),kappa2 (#1),kappa3 (#1),slogp_VSA1 (#1),slogp_VSA2 (#1),slogp_VSA3 (#1),slogp_VSA4 (#1),slogp_VSA5 (#1),slogp_VSA6 (#1),slogp_VSA7 (#1),slogp_VSA8 (#1),slogp_VSA9 (#1),slogp_VSA10 (#1),slogp_VSA11 (#1),slogp_VSA12 (#1),smr_VSA1 (#1),smr_VSA2 (#1),smr_VSA3 (#1),smr_VSA4 (#1),smr_VSA5 (#1),smr_VSA6 (#1),smr_VSA7 (#1),smr_VSA8 (#1),smr_VSA9 (#1),smr_VSA10 (#1),peoe_VSA1 (#1),peoe_VSA2 (#1),peoe_VSA3 (#1),peoe_VSA4 (#1),peoe_VSA5 (#1),peoe_VSA6 (#1),peoe_VSA7 (#1),peoe_VSA8 (#1),peoe_VSA9 (#1),peoe_VSA10 (#1),peoe_VSA11 (#1),peoe_VSA12 (#1),peoe_VSA13 (#1),peoe_VSA14 (#1),MQN1 (#1),MQN2 (#1),MQN3 (#1),MQN4 (#1),MQN5 (#1),MQN6 (#1),MQN7 (#1),MQN8 (#1),MQN9 (#1),MQN10 (#1),MQN11 (#1),MQN12 (#1),MQN13 (#1),MQN14 (#1),MQN15 (#1),MQN16 (#1),MQN17 (#1),MQN18 (#1),MQN19 (#1),MQN20 (#1),MQN21 (#1),MQN22 (#1),MQN23 (#1),MQN24 (#1),MQN25 (#1),MQN26 (#1),MQN27 (#1),MQN28 (#1),MQN29 (#1),MQN30 (#1),MQN31 (#1),MQN32 (#1),MQN33 (#1),MQN34 (#1),MQN35 (#1),MQN36 (#1),MQN37 (#1),MQN38 (#1),MQN39 (#1),MQN40 (#1),MQN41 (#1),MQN42 (#1),Temp (K),∆∆G (Kcal/mol)
1,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,1.883,55.352,83.8437403486609,34.48,190.246,190.110613068,3,0,2,0,3,0,3,14,28,1,0,2,1,0,1,1,0,1,0,0,0,0.454545454545455,8.47388387778808,4.89136795159229,3.77159872437895,2.32744758367152,1.36032388154878,4.89136795159229,3.77159872437895,2.32744758367152,1.36032388154878,-1.38,9.18580868162696,3.78003488851021,1.76163071666042,0,23.5304466589657,4.73686295380005,5.91790604616139,19.5414023942297,29.3883495096336,0,0,0,0,0,0,4.73686295380005,0,4.98397852094721,10.9103107787971,19.8893152285292,6.60688196451292,30.0898727718464,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,0,0,19.9138414678429,18.0506401830846,6.19684357161308,6.04184082914796,12.3008099593614,0,5.89774534435761,0,0,11,0,0,0,0,0,0,0,2,0,1,14,4,0,0,7,4,0,2,4,3,0,0,0,0,2,0,1,0,8,3,0,0,0,1,1,0,0,0,0,0,0,303.15,0.346452165721493
2,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,2.2731,59.969,90.2086824630575,34.48,204.273,204.126263132,3,0,1,0,3,0,3,15,31,1,0,2,1,0,1,1,0,1,0,0,0,0.5,9.39653360859846,5.19200921447451,4.8420573235171,2.53469384785224,1.44693624931911,5.19200921447451,4.8420573235171,2.53469384785224,1.44693624931911,-1.38,10.1484816818593,3.64552626692145,2.16845361955586,0,23.5304466589657,4.73686295380005,5.41499046939678,26.4651395939203,29.3883495096336,0,0,0,0,0,0,4.73686295380005,0,4.98397852094721,10.4073952020324,26.8130524282198,6.60688196451292,30.0898727718464,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,0,0,26.8375786675335,17.54772460632,6.19684357161308,6.04184082914796,12.3008099593614,0,5.89774534435761,0,0,12,0,0,0,0,0,0,0,2,0,1,15,5,0,0,7,4,0,1,4,3,0,0,0,0,3,0,0,1,8,3,0,0,0,1,1,0,0,0,0,0,0,303.15,0.478484781281722
3,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,2.5997,65.909,99.8060082115351,34.48,224.263,224.094963004,3,0,2,0,3,0,3,17,29,1,0,3,2,0,1,1,0,1,1,0,0,0.142857142857143,9.28328495454659,5.60269281699747,3.88671552225562,2.71936902784306,1.84923570499286,5.60269281699747,3.88671552225562,2.71936902784306,1.84923570499286,-2.16,10.023557980377,4.37395125152972,2.03990882190158,0,17.4886058298177,4.73686295380005,0,17.2992203156934,59.7201848519416,0,0,0,0,0,0,4.73686295380005,0,4.98397852094721,4.99240473263567,6.04184082914796,6.60688196451292,65.9851596058514,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,0,0,36.3982024107697,17.6961856286202,6.19684357161308,0,18.3426507885093,0,5.89774534435761,0,0,14,0,0,0,0,0,0,0,2,0,1,17,2,0,0,10,7,0,2,4,3,0,0,0,0,0,0,0,0,13,4,0,0,0,1,2,0,0,0,0,0,0,303.15,0.0480124146992594
4,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,2.5244,68.534,105.165119172402,34.48,236.274,236.094963004,3,0,1,0,3,0,3,18,30,2,0,4,2,0,2,1,0,1,1,0,1,0.2,9.78328495454659,6.15327333339145,4.65330790772862,3.5503517696362,2.71197999018261,6.15327333339145,4.65330790772862,3.5503517696362,2.71197999018261,-2.16,9.82791026005112,3.66747886114414,1.36802700584493,0,16.9856902530531,11.1576845767261,0,22.8626718073904,53.65381778348,0,0,0,0,0,0,4.73686295380005,0,4.98397852094721,4.99240473263567,18.5666288398223,0,65.4822440290868,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,0,0,30.3318353423081,23.2596371203172,12.6176651945391,0,17.8397352117447,0,5.89774534435761,0,0,15,0,0,0,0,0,0,0,2,0,1,18,1,0,0,13,7,0,1,4,3,0,0,0,0,0,0,0,0,12,6,0,0,0,2,2,0,0,0,0,4,2,303.15,0.15141648170304
5,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,2.4697,70.66,106.170950325932,34.48,238.29,238.110613068,3,0,3,0,3,0,3,18,32,1,0,3,2,0,1,1,0,1,1,0,0,0.2,9.99039173573314,6.0758193634598,4.30378035494244,2.91042982756881,2.03556851969849,6.0758193634598,4.30378035494244,2.91042982756881,2.03556851969849,-2.16,10.9605735084156,5.00142290887798,2.39903950097655,0,23.5304466589657,11.1576845767261,0,11.2573794865455,59.7201848519416,0,0,0,0,0,0,4.73686295380005,0,4.98397852094721,4.99240473263567,12.462662452074,6.60688196451292,65.9851596058514,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,0,0,36.3982024107697,24.1170072515462,6.19684357161308,6.04184082914796,12.3008099593614,0,5.89774534435761,0,0,15,0,0,0,0,0,0,0,2,0,1,18,3,0,0,10,7,0,3,4,3,0,0,0,0,0,1,0,0,13,4,0,0,0,1,2,0,0,0,0,0,0,303.15,0.253107122592745
6,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,3.0362,72.858,106.525404880396,34.48,240.306,240.126263132,3,0,2,0,3,0,3,18,34,1,0,3,2,0,1,1,0,1,1,0,0,0.333333333333333,10.6285844161673,6.30205155411525,4.93731538027258,3.31965243256761,2.15054851176023,6.30205155411525,4.93731538027258,3.31965243256761,2.15054851176023,-1.9,11.2052776166784,4.40690976350905,1.85672378204587,0,23.5304466589657,4.73686295380005,5.91790604616139,19.5414023942297,41.5210836465568,0,10.7724484289296,0,0,0,0,4.73686295380005,0,4.98397852094721,10.9103107787971,19.8893152285292,6.60688196451292,42.2226069087696,0,0,16.6701937732872,4.73686295380005,4.98397852094721,4.99240473263567,0,0,38.1129426732277,17.3704973290878,11.5830677860779,6.04184082914796,12.3008099593614,0,5.89774534435761,0,0,15,0,0,0,0,0,0,0,2,0,1,18,4,0,0,10,6,0,2,4,3,0,0,0,0,2,0,1,0,10,5,0,0,0,1,2,0,0,0,0,2,1,303.15,0.976619608229728
7,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,3.0362,72.858,106.525404880396,34.48,240.306,240.126263132,3,0,2,0,3,0,3,18,34,1,0,3,2,0,1,1,0,1,1,0,0,0.333333333333333,10.6285844161673,6.30613459671288,4.94581369218783,3.26097338861931,2.05620041042249,6.30613459671288,4.94581369218783,3.26097338861931,2.05620041042249,-1.9,11.2052776166784,4.40690976350905,1.96402707770229,0,23.5304466589657,4.73686295380005,5.91790604616139,19.5414023942297,41.3906071434053,0,10.9029249320811,0,0,0,0,4.73686295380005,0,4.98397852094721,10.9103107787971,19.8893152285292,6.60688196451292,42.0921304056181,0,0,16.8006702764387,4.73686295380005,0,9.97638325358288,0,0,38.1129426732277,18.0506401830846,5.3862242144648,11.5585415467642,12.3008099593614,0,5.89774534435761,0,0,15,0,0,0,0,0,0,0,2,0,1,18,4,0,0,10,6,0,2,4,3,0,0,0,0,2,0,1,0,10,5,0,0,0,1,2,0,0,0,0,2,1,303.15,0.0702888286819833
8,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,3.4263,77.475,112.890346994793,34.48,254.333,254.141913196,3,0,1,0,3,0,3,19,37,1,0,3,2,0,1,1,0,1,1,0,0,0.375,11.5512341469777,6.6067758595951,6.01627229132598,3.46821965280004,2.14281277819283,6.6067758595951,6.01627229132598,3.46821965280004,2.14281277819283,-1.9,12.15013568707,4.33504682278197,2.32549966942989,0,23.5304466589657,4.73686295380005,5.41499046939678,26.4651395939203,41.3906071434053,0,10.9029249320811,0,0,0,0,4.73686295380005,0,4.98397852094721,10.4073952020324,26.8130524282198,6.60688196451292,42.0921304056181,0,0,16.8006702764387,4.73686295380005,0,9.97638325358288,0,0,45.0366798729183,17.54772460632,5.3862242144648,11.5585415467642,12.3008099593614,0,5.89774534435761,0,0,16,0,0,0,0,0,0,0,2,0,1,19,5,0,0,10,6,0,1,4,3,0,0,0,0,3,0,0,1,10,5,0,0,0,1,2,0,0,0,0,2,1,303.15,0.113229916670745
9,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,2.9018,60.354,102.705288671836,34.48,258.243,258.097997696,3,0,2,0,3,0,6,18,31,1,0,2,1,0,1,1,0,1,0,0,0,0.5,10.0304270276261,5.61899826362909,4.48649432826357,2.75336312287225,1.55911390865441,5.61899826362909,4.48649432826357,2.75336312287225,1.55911390865441,-1.59,12.8563094189829,4.58768718921513,2.62654994622376,0,23.5304466589657,10.9131614712435,5.91790604616139,25.1048538859267,23.321982441172,0,0,0,13.1712451430245,0,0,17.9081080968245,0,4.98397852094721,10.9103107787971,26.0656137459727,6.60688196451292,29.5869571950818,0,0,5.89774534435761,4.73686295380005,4.98397852094721,4.99240473263567,13.1712451430245,0,13.8474743993812,18.0506401830846,6.19684357161308,11.605292320845,12.3008099593614,0,5.89774534435761,0,6.17629851744347,12,3,0,0,0,0,0,0,2,0,1,18,8,0,0,7,4,0,2,4,3,0,0,0,0,5,0,1,1,7,4,0,0,0,1,1,0,0,0,0,0,0,303.15,0.844075500014752
10,3.1776,68.7652,101.294707952403,29.1,225.291,225.1153641,2,1,3,1,1,1,2,17,32,1,0,2,2,0,0,0,0,0,2,0,0,0.133333333333333,9.75910125154975,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,5.6801918886571,3.97185855532377,2.68315095694934,1.69454981081168,-2.09,11.3970261341985,5.30238854959231,2.93910990914875,5.31678860400633,5.90717972935151,0,0,28.8870181963044,60.6636706846161,0,0,0,0,0,0,4.79453718407182,0,5.31678860400633,0,12.9655780288386,0,71.7905736680101,0,0,5.90717972935151,5.31678860400633,4.79453718407182,0,0,0,48.5309365476929,24.6199228283108,5.563451491697,6.04184082914796,0,0,0,5.90717972935151,0,15,0,0,0,0,0,0,1,0,1,0,17,5,1,0,6,6,0,3,3,2,1,1,0,0,2,1,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0,3.0633,77.8770000000001,115.854513753058,43.18,266.385,266.199428072,4,0,2,0,4,0,4,19,45,2,0,2,0,0,2,0,0,2,0,0,0,0.866666666666667,12.9869446538665,7.05016356595167,7.60810749886866,3.71707818476037,2.05696896944143,7.05016356595167,7.60810749886866,3.71707818476037,2.05696896944143,-1.06,14.3512358372853,4.80160519658779,3.4847161754606,0,37.092936276037,9.4737259076001,10.8299809387936,47.9632448210698,9.98480946527134,0,0,0,0,0,0,9.4737259076001,0,0,20.8147904040649,60.0469264793657,13.2137639290258,0,0,0,11.7954906887152,9.4737259076001,0,9.98480946527134,0,0,41.5424231981437,10.8299809387936,0,18.5045032812219,13.2137639290258,11.7954906887152,0,0,0,15,0,0,0,0,0,0,0,2,0,2,19,10,0,0,8,2,0,2,6,4,0,0,0,0,6,1,0,2,6,4,0,0,0,2,0,0,0,0,0,0,0,303.15,0.0853065224358369
