P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674
P_2,1778.33085,969.57322,11.773,7.087,14.052,8.976,6.585,0.126535,0.325209,0.024616,3.074949,0.106622,0.3479,-0.2153,-3.1394,3.1659,-0.228575,-6.219853,-0.02623,-0.713747,0.202346,5.506106
P_3,1780.93107,971.53466,11.452,6.926,13.635,8.494,7.051,0.13011,0.33498,0.025268,2.985251,0.094813,0.1607,0.9852,-3.2067,3.3585,-0.240386,-6.541249,-0.025437,-0.692174,0.21495,5.849075
P_4,1911.53393,974.37727,8.717,5.559,10.335,10.06,7.717,0.117756,0.329308,0.021054,3.036671,0.11085,-1.2056,-3.2265,2.408,4.2026,-0.224348,-6.10481,-0.011081,-0.301532,0.213267,5.803278
P_5,1830.26749,989.94625,10.904,6.652,13.173,9.298,7.308,0.123939,0.319317,0.024053,3.131685,0.105835,2.5878,3.4226,-2.3296,4.8825,-0.229363,-6.241287,-0.026105,-0.710358,0.203258,5.530929
P_6,1966.84013,987.45587,10.086,6.243,12.431,10.01,7.192,0.11027,0.324907,0.018712,3.077806,0.121121,-1.9128,1.2444,-2.3402,3.2686,-0.214078,-5.825353,-0.004848,-0.131922,0.20923,5.693431
P_7,1864.78862,1024.52644,12.193,7.432,14.802,9.26,6.564,0.143588,0.325425,0.031678,3.072902,0.087496,-2.6261,0.8178,-3.246,4.2546,-0.247699,-6.74023,-0.034806,-0.947113,0.212893,5.793117
P_8,1811.47996,999.92182,12.732,7.566,14.969,8.907,7.046,0.127652,0.316253,0.025763,3.162025,0.111158,-0.3828,-0.9543,-2.8792,3.0573,-0.224039,-6.0964,-0.027768,-0.755607,0.196271,5.340793
P_9,1992.13055,1084.26793,12.6,7.635,15.211,8.703,7.471,0.142785,0.329112,0.030974,3.038476,0.086077,2.7311,1.2817,3.3337,4.4961,-0.249119,-6.778866,-0.033002,-0.898031,0.216117,5.880836
P_10,1937.87158,992.06584,9.186,5.793,11.248,10.252,7.885,0.121557,0.31801,0.023232,3.144552,0.114244,-1.1503,-2.7753,2.0639,3.6449,-0.220953,-6.01243,-0.022008,-0.598858,0.198945,5.413572
P_11,2635.14283,1360.2362,11.612,7.006,13.015,9.97,8.405,0.103197,0.326307,0.016318,3.064601,0.135542,-3.2995,0.6333,0.7651,3.4458,-0.199655,-5.432887,-0.004715,-0.128292,0.19494,5.304595
P_12,2666.65308,1352.16585,14.699,8.55,16.645,12.024,7.398,0.116793,0.317418,0.021487,3.150421,0.11957,0.0146,2.2813,-2.1934,3.1647,-0.215626,-5.867477,-0.011259,-0.306377,0.204367,5.5611
P_13,1898.07472,1025.59505,9.708,6.054,11.225,11.901,7.052,0.131292,0.286168,0.030118,3.494446,0.119155,-1.3513,-1.3923,2.0412,2.8162,-0.216039,-5.878721,-0.049405,-1.344369,0.166634,4.534352
