L_DFT,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV),Cavity surface area,Cavity volume,1_Ele,2_Ele,3_Ele,4_Ele,5_Ele,1_Nuc,2_Nuc,3_Nuc,4_Nuc,5_Nuc,1_Population,1_Net charge,1_Effective V,1_polarizabilities,1_Isotropic,1_Anisotropy,2_Population,2_Net charge,2_Effective V,2_polarizabilities,2_Isotropic,2_Anisotropy,3_Population,3_Net charge,3_Effective V,3_polarizabilities,3_Isotropic,3_Anisotropy,4_Population,4_Net charge,4_Effective V,4_polarizabilities,4_Isotropic,4_Anisotropy,5_Population,5_Net charge,5_Effective V,5_polarizabilities,5_Isotropic,5_Anisotropy,1_NBO,2_NBO,3_NBO,4_NBO,5_NBO
Ligand_1,3792.66965,1806.0572,15.906,9.153,18.122,11.543,9.151,0.105552,0.352943,0.015783,2.833316,0.103351,-0.2078,0.6622,-2.4956,2.5903,-0.231846,-6.308844,0.018537,0.504425,0.250383,6.813269,536.972,546.048,0.02238,0.00463,0.00477,0.00532,0.02852,0.03929,0.09772,0.0331,0.03749,0.17786,5.39673202,0.60326798,30.512,11.424,28.7615,69.1655,8.50035085,-0.50035085,20.179,5.37,152.3823,166.7867,6.06198706,-0.06198706,28.499,10.67,119.0663,70.7141,6.03941022,-0.03941022,29.795,11.156,120.6877,39.6728,7.47699908,-0.47699908,24.562,7.21,30.052,267.487,0.59347,-0.543,-0.12074,-0.10229,-0.51958
Ligand_2,3610.61556,1717.00115,13.289,7.844,15.478,9.818,10.67,0.119252,0.307602,0.023116,3.250953,0.108464,0.2457,1.1305,-3.2139,3.4158,-0.226731,-6.16967,-0.009609,-0.261481,0.217122,5.90819,513.838,534.185,0.00523,-0.00098,0.00236,0.00599,0.00773,0.01134,0.0119,0.01077,0.02049,0.06104,5.37506393,0.62493607,30.712,11.499,25.1275,76.7126,8.50164245,-0.50164245,20.176,5.369,123.9331,151.2041,5.89124778,0.10875222,29.424,11.017,107.5578,53.8695,6.13936861,-0.13936861,29.798,11.157,112.634,35.1534,7.46965064,-0.46965064,24.906,7.311,41.3413,243.6311,0.6095,-0.53987,0.08875,-0.10689,-0.52606
Ligand_3,2284.66332,1235.11581,17.408,9.904,19.732,6.434,6.422,0.13331,0.303148,0.029312,3.298715,0.096187,0,0,0.1372,0.1372,-0.23901,-6.503803,-0.038284,-1.041755,0.200727,5.462049,369.584,348.714,0.05225,0.02368,0.01077,0.01091,0.06141,0.05266,0.07083,0.02487,0.03443,0.11929,5.47772925,0.52227075,30.06,11.255,40.5654,68.5871,8.49066289,-0.49066289,20.2,5.376,164.8655,177.0583,6.05972104,-0.05972104,28.394,10.631,120.2773,70.1865,6.02325359,-0.02325359,29.755,11.141,118.8868,59.1373,7.44858199,-0.44858199,24.877,7.303,7.6722,288.9241,0.50781,-0.51809,-0.12587,-0.10631,-0.46794
Ligand_4,1707.4861,948.93125,11.692,7.046,14.072,7.069,5.437,0.13783,0.340919,0.027861,2.933245,0.090962,0,0,0.3226,0.3226,-0.244228,-6.645784,-0.036054,-0.981086,0.208174,5.664698,282.88,258.196,0.07692,0.03217,0.01521,0.01516,0.09095,0.10613,0.16697,0.05513,0.05977,0.28783,5.47258047,0.52741953,30,11.232,41.4584,71.3843,8.49391219,-0.49391219,20.199,5.375,160.0832,172.9568,6.05949257,-0.05949257,28.399,10.633,118.5889,69.9667,6.00945596,-0.00945596,29.825,11.167,115.5174,48.0823,7.4592511,-0.4592511,24.67,7.242,7.5648,293.4526,0.51098,-0.51773,-0.12426,-0.11475,-0.47026
Ligand_5,2896.04717,1469.55184,12.467,7.433,14.356,13.099,8.629,0.137226,0.286032,0.032918,3.496112,0.10482,2.9693,2.1078,2.0104,4.1595,-0.230377,-6.268888,-0.051873,-1.411533,0.178505,4.857355,449.76,450.528,0.04977,0.01748,0.00555,0.01039,0.06362,0.05466,0.04915,0.00601,0.02062,0.09645,5.45338291,0.54661709,30.279,11.337,33.6534,60.6306,8.54872584,-0.54872584,19.972,5.315,127.346,128.3457,5.85422923,0.14577077,30.609,11.46,95.5308,46.2002,6.11448631,-0.11448631,30.142,11.285,108.0152,31.8467,7.4473191,-0.4473191,24.821,7.286,27.8095,267.4191,0.55004,-0.55743,0.26856,-0.08736,-0.46502
Ligand_6,2889.14484,1438.74952,12.516,7.458,14.131,13.235,8.653,0.137828,0.288806,0.032888,3.462535,0.102131,1.5343,0.3563,2.7878,3.202,-0.233066,-6.342053,-0.050675,-1.378933,0.182391,4.963121,430.94,446.252,0.05259,0.01811,0.00645,0.01087,0.06508,0.05477,0.04244,0.00346,0.01897,0.12431,5.45489658,0.54510342,30.343,11.361,32.4139,61.3496,8.5495699,-0.5495699,19.973,5.315,126.9976,129.0879,5.84980207,0.15019793,30.707,11.497,95.5954,47.8201,6.13421824,-0.13421824,30.416,11.388,111.8244,32.8133,7.43732258,-0.43732258,24.891,7.307,25.3172,267.5476,0.54589,-0.55928,0.27203,-0.09164,-0.46049
Ligand_7,2776.43053,1408.02596,12.476,7.438,14.385,13.166,8.292,0.133879,0.289213,0.030987,3.457657,0.106878,-0.4868,1.1353,2.1362,2.4676,-0.22832,-6.212913,-0.048016,-1.306587,0.180304,4.906326,416.201,411.899,0.0481,0.01643,0.00528,0.0099,0.0628,0.06578,0.06179,0.00595,0.02543,0.12832,5.45324398,0.54675602,30.293,11.342,33.9345,60.6257,8.55050485,-0.55050485,19.98,5.317,127.8009,130.5202,5.85391047,0.14608953,30.611,11.461,95.6217,46.1218,6.11545145,-0.11545145,30.166,11.294,107.173,31.231,7.44576017,-0.44576017,24.83,7.289,26.3917,269.6862,0.54742,-0.55895,0.26804,-0.08694,-0.46121
Ligand_8,2747.28954,1366.45453,13.412,7.906,14.99,10.286,9.441,0.134259,0.335319,0.026878,2.982239,0.09199,-0.4063,-0.258,-0.3079,0.5713,-0.243207,-6.618001,-0.031187,-0.848631,0.21202,5.76937,423.174,398.976,0.0724,0.03064,0.01478,0.01454,0.08293,0.08552,0.14387,0.05253,0.05469,0.23887,5.48498522,0.51501478,30.074,11.26,39.9832,71.5113,8.48435593,-0.48435593,20.158,5.365,155.1419,167.7196,6.06763644,-0.06763644,28.385,10.628,118.2178,64.0221,6.03074548,-0.03074548,29.724,11.129,117.4917,37.2032,7.4433398,-0.4433398,24.467,7.182,12.0741,294.823,0.51655,-0.52286,-0.12408,-0.1145,-0.48096
Ligand_9,2021.56394,1108.7638,14.406,8.403,16.789,7.61,7.258,0.135069,0.31142,0.029291,3.211094,0.093431,0,0.3925,-0.0001,0.3925,-0.241766,-6.578792,-0.043033,-1.170998,0.198733,5.407794,328.242,312.005,0.06913,0.0299,0.01354,0.01445,0.08245,0.04339,0.06117,0.03724,0.03032,0.07756,5.47432658,0.52567342,29.97,11.221,38.8268,70.8041,8.4868139,-0.4868139,20.165,5.367,159.5293,181.2782,6.05199696,-0.05199696,28.24,10.573,115.2714,69.2969,6.10874302,-0.10874302,29.656,11.104,118.5758,52.9358,7.4474194,-0.4474194,24.741,7.263,12.5379,284.5011,0.51145,-0.51588,-0.11798,-0.1237,-0.4647
Ligand_10,1956.50498,1029.96512,11.449,6.925,13.739,7.105,6.799,0.137261,0.335908,0.028044,2.977002,0.091672,0,0,0.3701,0.3701,-0.24352,-6.626525,-0.036373,-0.989764,0.207147,5.636761,312.014,293.203,0.07597,0.03218,0.01497,0.01426,0.08932,0.09971,0.15895,0.05308,0.05939,0.27245,5.4685869,0.5314131,30.058,11.254,41.5324,72.2442,8.49516718,-0.49516718,20.194,5.374,160.0143,173.932,6.06252598,-0.06252598,28.471,10.66,122.4475,76.3333,6.01839694,-0.01839694,29.952,11.214,113.4826,44.2632,7.45833652,-0.45833652,24.662,7.24,9.4824,295.3557,0.51138,-0.51752,-0.12302,-0.11376,-0.47215
